Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
440,Mu 1 Bootis,15,20.7,37,44,15h23m48.1272s,+37d22m44.2686s,37,2636,4.5,F0,-0.145,-0.138,0.013,0.008,0.02,2.5,16,,3483.00,A,15 20 42.6,+37 43 39,4.31,F2   IVa,MU1 Boo,0.171,300,0.0290,4.3,G,15 24 29.3,+37 22 37
,,,,,,,,,,,,,,,,,,,,3483.00,B,15 20 44.0,+37 41 51,6.50,G1   V,MU2 Boo,0.182,305,,,,15 24 30.8,+37 20 51
441,Delta Serpentis,15,30.0,10,52,15h34m47.195s,+10d31m56.3741s,,,4.2,F0,0.058,-0.056,0.016,7.0,21.0,3.0,21,,3517.00,A,15 30 01.4,+10 52 23,3.80,F0   IV,DEL Ser,0.077,278,0.0172,5.8,G,15 34 48.1,+10 32 21
,,,,,,,,,,,,,,,,,,,,3517.00,B,15 30 01.3,+10 52 18,3.80,F0   IV,DEL Ser,0.076,265,,,,15 34 48.0,+10 32 14
442,Delta Serpentis,15,30.0,10,52,15h34m47.195s,+10d31m56.3741s,,,5.2,F0,-0.065,-0.067,0.012,7.0,21.0,3.0,21,,3517.00,A,15 30 01.4,+10 52 23,3.80,F0   IV,DEL Ser,0.077,278,0.0172,5.8,G,15 34 48.1,+10 32 21
,,,,,,,,,,,,,,,,,,,,3517.00,B,15 30 01.3,+10 52 18,3.80,F0   IV,DEL Ser,0.076,265,,,,15 34 48.0,+10 32 14
,Mean (Sigma 1954),,,,,0,0,11,2821,,F0,,,0.014,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
443,Chi Herculis,15,49.2,42,44,15h52m23.5997s,+42d26m08.0891s,42,2648,4.6,G0,0.448,0.455,0.06,7.0,23.0,3.3,22,,3596.00,,15 49 12.9,+42 43 52,4.62,F8   VFe-*,CHI Her,0.765,35,0.0592,6.1,G,15 52 40.4,+42 27 05
444,m1 36 Herculis,16,35.6,4,24,16h39m57.9787s,+04d12m13.7644s,4,3234,6.9,A0,-0.012,0.019,-0.008,6.0,17.0,2.8,16,*,3788.00,A,16 35 40.7,+04 24 52,5.77,A1   V,37 Her,0.002,143,-0.0010,7.3,G,16 40 38.7,+04 13 11
,,,,,,,,,,,,,,,,,,,*,3788.00,B,16 35 37.1,+04 24 07,6.93,A3   IV,36 Her,0.004,135,,,,16 40 35.1,+04 12 26
445,m2 37 Herculis,16,35.7,4,25,16h39m57.9421s,+04d13m13.7619s,4,3235,5.7,A0,-0.003,0.022,0,7.0,20.0,3.0,16,*,3788.00,A,16 35 40.7,+04 24 52,5.77,A1   V,37 Her,0.002,143,-0.0010,7.3,G,16 40 38.7,+04 13 11
,,,,,,,,,,,,,,,,,,,*,3788.00,B,16 35 37.1,+04 24 07,6.93,A3   IV,36 Her,0.004,135,,,,16 40 35.1,+04 12 26
,"Mean(Sigma 31, Ap1)",,,,,0,0,,,,,,,-0.005,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
446,Epsilon Herculis,16,56.5,31,4,16h59m50.04s,+30d55m03.6149s,31,2947,3.9,A0,0.042,-0.062,0.013,7.0,19.0,2.9,15,*,3865.00,,16 56 27.7,+31 04 24,3.92,A0   V,EPS Her,0.056,298,0.0242,7.8,F,17 00 17.4,+30 55 34
447,Lal 31174,17,3.4,4,34,17h07m57.1631s,+04d26m07.6056s,4,3336,7.2,G0,- .055*,-0.038,-0.003,11.0,30.0,2.7,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
448,Psi 1 Draconis,17,43.7,72,12,17h41m12.9395s,+72d09m23.6656s,72,804,4.9,F3,0.015,0.027,0.032,6.0,22.0,3.5,24,*,4069.00,A,17 43 42.8,+72 11 52,4.58,F5   IV-V,PSI1 Dra,0.268,178,0.0521,5.4,G,17 41 56.2,+72 08 55
,,,,,,,,,,,,,,,,,,,*,4069.00,B,17 43 44.6,+72 12 22,5.79,G0   V,PSI1 Dra,0.277,176,,,,17 41 58.0,+72 09 25
449,Psi 2 Draconis,17,43.7,72,12,17h41m12.9395s,+72d09m23.6656s,72,805,6.1,F7,0.021,0.02,0.056,8.0,25.0,3.1,22,*,4069.00,A,17 43 42.8,+72 11 52,4.58,F5   IV-V,PSI1 Dra,0.268,178,0.0521,5.4,G,17 41 56.2,+72 08 55
,,,,,,,,,,,,,,,,,,,*,4069.00,B,17 43 44.6,+72 12 22,5.79,G0   V,PSI1 Dra,0.277,176,,,,17 41 58.0,+72 09 25
,Mean (Sigma 2241),,,,,0,0,,,,F5,,,0.037,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
450,Zeta 1 Lyrae,18,41.3,37,30,18h44m26.43s,+37d36m11.5249s,37,3222,4.3,A3,0.03,0.049,0.021,7.0,19.0,2.6,15,*,4327.00,A,18 41 19.6,+37 30 02,4.36,A4m,ZET1 Lyr,0.018,46,0.0272,6.5,G,18 44 46.2,+37 36 18
,,,,,,,,,,,,,,,,,,,*,4327.00,D,18 41 21.4,+37 29 24,5.73,F0   IV,ZET2 Lyr,0.034,58,,,,18 44 48.2,+37 35 40
451,Zeta 2 Lyrae,18,41.4,37,29,18h44m26.4908s,+37d35m11.5292s,37,3223,5.9,A3,0.023,0.028,0.025,8.0,20.0,2.5,14,*,4327.00,A,18 41 19.6,+37 30 02,4.36,A4m,ZET1 Lyr,0.018,46,0.0272,6.5,G,18 44 46.2,+37 36 18
,,,,,,,,,,,,,,,,,,,*,4327.00,D,18 41 21.4,+37 29 24,5.73,F0   IV,ZET2 Lyr,0.034,58,,,,18 44 48.2,+37 35 40
,Mean,,,,,0,0,,,,,,,0.023,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
452,W2 18h 979,18,34.4,28,51,18h37m54.5395s,+28d56m13.2173s,28,3039,8.2,G5,- .039*,-0.048,0.047,5.0,15.0,3.0,18,,4296.00,,18 34 21.8,+28 51 01,8.42,G5   V,G 206-036,0.466,187,0.0416,7.0,G,18 38 16.0,+28 55 31
453,Lal 35248,18,50.6,-5,52,18h55m20.6121s,-05d44m23.3198s,-5,4811,8.2,G5,- .191*,-0.2,0.032,11.0,26.0,2.4,14,*,4381.00,,18 50 33.6,-05 51 44,7.46,K0   IV-V,CI 18-2471,0.438,208,0.0318,9.0,G,18 55 52.9,-05 44 41
454,3 Cygni,19,21.3,24,44,19h25m09.5651s,+24d55m50.8834s,24,3737,6.2,F8,-0.184,-0.163,0.025,10.0,26.0,2.7,15,,4545.00,,19 21 17.4,+24 43 54,6.19,F7   V,,0.636,197,0.0269,10.7,G,19 25 25.7,+24 54 46
455,Chi Aquilae (M),19,37.9,11,35,19h41m42.2711s,+11d49m02.0595s,11,3955,5.3,F2,0.004,0.005,-0.001,4.0,12.0,3.1,18,*,4629.00,M,19 37 51.6,+11 35 27,5.27,"G0:+AIII,V",CHI Aql,0.009,140,0.0021,7.2,,19 42 34.0,+11 49 35
,,,,,,,,,,,,,,,,,,,*,4629.00,A,19 37 51.6,+11 35 27,5.27,,CHI Aql,0.009,140,0.0021,7.2,,19 42 34.0,+11 49 35
456,Gamma Aquilae,19,41.5,10,22,19h45m45.1217s,+10d36m33.8667s,10,4043,2.8,K2,0.017,-0.003,0,7.0,19.0,2.7,14,*,4645.00,A,19 41 30.2,+10 22 10,2.72,K3   II,GAM Aql,0.016,89,0.0134,6.5,G,19 46 15.5,+10 36 48
457,Delta Sagittae,19,42.9,18,17,19h46m27.4368s,+18d31m40.573s,18,4240,3.8,Map,0.005,0.008,-0.012,7.0,21.0,2.9,18,,4658.00,M,19 42 55.6,+18 17 14,3.82,"M2+A0II,V",DEL Sge,0.011,32,0.0003,8.9,G,19 47 23.2,+18 32 03
,,,,,,,,,,,,,,,,,,,,4658.00,A,19 42 55.6,+18 17 14,3.82,,DEL Sge,0.011,32,0.0003,8.9,G,19 47 23.2,+18 32 03
458,Epsilon Draconis (Br),19,48.5,70,1,19h47m37.5353s,+70d16m08.6914s,69,1070,4,K0,0.084,0.087,-0.003,10.0,24.0,2.3,13,,4689.00,A,19 48 30.8,+70 00 47,3.83,G7   IIIb*,EPS Dra,0.093,56,0.0129,6.9,G,19 48 10.4,+70 16 05
459,24 Vulpeculae,20,12.5,24,22,20h16m16.5733s,+24d40m27.4349s,24,4075,5.4,K0,0.022,-0.004,-0.031,7.0,18.0,2.6,13,,4828.00,,20 12 30.2,+24 21 46,5.32,G8   III,24 Vul,0.021,136,-0.0026,5.3,F,20 16 47.0,+24 40 15
460,Groom. 3196,20,26.7,45,35,20h29m17.6979s,+45d55m03.9553s,45,3196,6.6,K0,+ .074*,0.075,0.004,7.0,21.0,2.9,17,,4879.00,,20 26 41.2,+45 35 19,6.41,K2   III,,0.171,25,0.0062,11.1,,20 29 59.9,+45 55 43
461,Lal 39956,20,36.2,19,34,20h40m30.4095s,+19d55m16.8029s,19,4484,6.4,G5,+ .130*,0.136,0.05,7.0,16.0,2.5,15,*,4932.00,A,20 36 13.8,+19 34 18,6.45,G5   V,,0.338,22,0.0513,2.5,G,20 40 45.2,+19 56 08
,,,,,,,,,,,,,,,,,,,*,4932.00,B,20 36 12.0,+19 34 00,11.87,,G 144-026,0.330,22,,,,20 40 43.3,+19 55 49
462,Delta Equulei(Mean),21,9.6,9,36,21h13m51.8884s,+10d00m46.3866s,9,4746,4.6,F5,0.045,0.029,0.067,7.0,20.0,3.0,22,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
463,Alpha Cephei,21,16.2,62,10,21h18m20.8281s,+62d35m19.6371s,61,2111,2.6,A5,0.156,0.12,0.066,7.0,18.0,2.8,16,*,5139.00,,21 16 11.5,+62 09 42,2.44,A7   V,ALP Cep,0.158,71,0.0664,5.6,F,21 18 34.8,+62 35 08
464,B. D. +32  4134,21,17.1,32,11,21h21m12.6281s,+32d36m30.577s,32,4134,6,A0,0.032,0.029,0.01,11.0,32.0,2.9,17,,5148.00,,21 17 09.1,+32 11 15,6.04,A1   V,,0.014,94,0.0052,12.5,,21 21 21.9,+32 36 46
465,Omega Sigma 455 (Br),21,51.9,15,38,21h55m47.4504s,+16d06m26.4318s,15,4528,8.3,F8,,-0.018,0.018,9.0,22.0,2.6,17,,5303.00,A,21 51 53.0,+15 38 58,8.30,F5   d,,0.054,233,0.0220,13.9,,21 56 40.3,+16 07 25
,,,,,,,,,,,,,,,,,,,,5303.00,B,21 51 52.3,+15 38 58,10.00,G5   d,,0.051,230,,,,21 56 39.6,+16 07 25
466,Zeta 1 Aquarii,22,23.7,0,32,22h28m06.6504s,+01d02m36.777s,,,4.6,F2,0.175,0.174,-0.003,10.0,22.0,2.3,13,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
467,Zeta 2 Aquarii,22,23.7,0,32,22h28m06.6504s,+01d02m36.777s,,,4.4,F2,0.21,0.175,-0.008,10.0,26.0,2.5,14,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean (Sigma 2909),,,,,0,0,0,4365,,F2,,,-0.006,7.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
468,55 Pegasi,23,2.0,8,52,23h07m02.2346s,+09d24m26.1336s,8,4997,4.7,Ma,0.01,0.003,-0.006,7.0,17.0,2.4,14,,5596.00,,23 01 57.9,+08 52 09,4.52,M1   IIIab,55 Peg,0.013,131,0.0160,7.8,F,23 07 00.2,+09 24 34
469,Gamma Cephei,23,35.2,77,4,23h39m07.9403s,+77d37m14.5585s,76,928,3.4,K0,-0.059,-0.052,0.063,8.0,19.0,2.6,15,,5725.00,,23 35 14.3,+77 04 27,3.21,K1   III-*,GAM Cep,0.171,338,0.0640,5.2,G,23 39 20.9,+77 37 57
470,Sigma 16,0,11.4,54,8,00h16m18.5082s,+54d41m21.0219s,53,31,7.5,A3,,-0.028,0.012,9.0,22.0,2.4,13,,44.00,A,00 11 22.7,+54 06 16,7.80,A6n  d,SIG 16A,0.022,307,0.0178,8.7,G,00 16 41.3,+54 39 38
,,,,,,,,,,,,,,,,,,,,44.00,B,00 11 24.0,+54 06 00,8.70,,SIG 16B,0.021,307,,,,00 16 42.7,+54 39 21
471,10 Arietis,1,58.0,25,27,02h03m39.734s,+25d55m52.3643s,25,341,5.7,F5,0.14,0.125,0.021,10.0,28.0,2.8,14,,425.00,,01 57 58.5,+25 27 13,5.63,F8   IV,10 Ari,0.151,78,0.0241,15.4,,02 03 39.3,+25 56 08
472,9H Camelop,3,48.6,60,49,03h56m31.6919s,+61d06m40.3224s,60,768,5.2,K0,0.003,-0.023,0.01,10.0,28.0,2.8,16,,859.00,,03 48 36.2,+60 48 57,5.00,K3+A3I-II*,,0.012,110,0.0143,15.4,,03 57 08.3,+61 06 32
473,55 Tauri,4,14.2,16,18,04h19m42.8513s,+16d32m31.9923s,16,579,6.9,G0,,0.111,0.043,6.0,19.0,3.2,15,,955.00,,04 14 11.2,+16 16 53,6.88,F7   V,55 Tau,0.120,103,0.0193,6.0,X,04 19 54.8,+16 31 21
474,OmegaSigma 82,4,17.1,14,51,04h22m39.7569s,+15d05m08.4952s,14,690,7.1,G0,,0.103,0.028,7.0,21.0,3.1,15,,964.00,A,04 17 03.6,+14 49 16,6.99,F8   IV,OSIG  82,0.126,98,0.0295,8.4,G,04 22 44.2,+15 03 22
475,Pi 256,5,48.5,31,41,05h54m29.8451s,+31d42m16.5048s,31,1139,5.8,A3,- .051*,-0.045,0.021,5.0,17.0,3.4,17,,1355.00,,05 48 29.5,+31 41 11,5.90,A5   IV,,0.185,193,0.0237,8.4,,05 54 59.0,+31 42 05
476,74 Orionis,6,10.8,12,18,06h15m36.4418s,+12d16m08.0464s,12,1084,5.1,F5,0.091,0.074,0.039,6.0,20.0,3.2,15,,1459.00,,06 10 49.6,+12 18 00,5.04,F5   IV-V,74 Ori,0.202,23,0.0430,9.8,,06 16 26.6,+12 16 19
477,Gr. 1214,6,37.3,40,44,06h44m00.4825s,+40d38m07.5405s,40,1696,6.9,Ma,- .017*,-0.024,0.005,7.0,22.0,3.3,17,,1566.00,A,06 37 17.1,+40 43 33,6.84,M4   III,Lal 12831,0.169,187,0.0002,8.1,G,06 44 17.3,+40 37 21
478,Theta Gem,6,46.2,34,5,06h52m35.5301s,+33d57m52.1158s,34,1481,3.6,A2,0.007,0.006,0.021,9.0,27.0,2.8,14,*,1601.00,,06 46 11.8,+34 04 54,3.60,A3   III,THE Gem,0.050,181,0.0222,10.2,G,06 52 47.3,+33 57 40
479,15 Lyncis,6,48.6,58,33,06h56m39.7s,+58d25m26.2105s,58,982,4.5,G0,0.006,0.005,0.005,6.0,19.0,3.0,16,,1611.00,,06 48 37.1,+58 33 14,4.35,G5   III-*,OSIG  159,0.143,185,0.0162,5.0,G,06 57 16.5,+58 25 21
480,Lal 15394,7,49.1,19,31,07h54m48.9166s,+19d15m19.5941s,19,1869,7.9,K2,+ .110*,0.1,0.031,8.0,26.0,3.2,15,*,1869.00,,07 49 04.5,+19 30 36,7.78,K6   d,Lal 15394,0.461,168,0.0358,4.4,G,07 54 54.0,+19 14 10
481,7 Sextantis,9,47.0,2,55,09h52m10.7602s,+02d26m51.2702s,3,2280,5.9,A0,-0.18,-0.168,0.003,9.0,24.0,2.6,14,,2337.00,,09 47 02.6,+02 55 14,6.02,A0   V s,7 Sex,0.208,293,0.0121,5.6,F,09 52 12.1,+02 27 14
482,Zeta Leonis,10,11.1,23,55,10h16m33.5722s,+23d25m06.8798s,24,2209,3.6,F0,0.024,0.05,0.006,7.0,24.0,2.7,15,,2412.00,,10 11 07.7,+23 54 56,3.44,F0   III,ZET Leo,0.022,121,0.0132,8.9,G,10 16 41.4,+23 25 02
483,Gamma 1 Leonis,10,14.5,20,21,10h19m28.6826s,+19d50m55.4588s,,,2.6,K0,0.305,0.352,0.004,11.0,32.0,2.8,15,,2420.00,,10 14 11.1,+20 22 21,9.40,M3.5eV,G 054-023,0.506,264,0.2046,2.8,G,10 19 36.2,+19 52 11
,,,,,,,,,,,,,,,,,,,*,2423.00,A,10 14 27.5,+20 20 50,2.61,K1-  IIIb*,GAM1 Leo,0.342,116,0.0225,5.9,G,10 19 58.3,+19 50 29
,,,,,,,,,,,,,,,,,,,*,2423.00,B,10 14 27.8,+20 20 48,3.47,G7   IIIF*,GAM2 Leo,0.358,119,,,,10 19 58.6,+19 50 25
484,Gamma 2 Leonis,10,14.5,20,21,10h19m28.6826s,+19d50m55.4588s,,,3.8,G5,0.305,0.354,0.018,14.0,40.0,2.8,15,,2420.00,,10 14 11.1,+20 22 21,9.40,M3.5eV,G 054-023,0.506,264,0.2046,2.8,G,10 19 36.2,+19 52 11
,,,,,,,,,,,,,,,,,,,*,2423.00,A,10 14 27.5,+20 20 50,2.61,K1-  IIIb*,GAM1 Leo,0.342,116,0.0225,5.9,G,10 19 58.3,+19 50 29
,,,,,,,,,,,,,,,,,,,*,2423.00,B,10 14 27.8,+20 20 48,3.47,G7   IIIF*,GAM2 Leo,0.358,119,,,,10 19 58.6,+19 50 25
,Mean,,,,,0,0,20,2467,,K0,,,0.009,9.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
485,88 Leonis,11,26.6,14,55,11h31m12.1548s,+14d21m54.2004s,15,2345,6.2,G0,-0.33,-0.299,0.026,7.0,18.0,2.5,13,,2665.00,A,11 26 35.1,+14 55 17,6.20,G0   V,88 Leo,0.383,240,0.0316,7.7,F,11 31 44.9,+14 21 52
,,,,,,,,,,,,,,,,,,,,2665.00,B,11 26 34.5,+14 55 29,9.22,K6   IV,,0.369,241,,,,11 31 44.4,+14 22 05
486,Lal 21947,11,28.6,37,22,11h33m20.2813s,+36d48m51.8113s,37,2195,6.3,K0,- .176*,-0.104,-0.019,12.0,30.0,2.4,13,,2673.00,,11 28 37.3,+37 22 09,6.40,K0   III,,0.141,249,-0.0152,18.2,,11 33 56.2,+36 48 56
487,61 Urs. Maj.,11,35.8,34,46,11h40m16.3309s,+34d12m44.9543s,35,2270,5.5,G5,-0.007,-0.015,0.105,8.0,23.0,2.8,15,*,2699.00,,11 35 47.0,+34 45 59,5.33,G8   V,61 UMa,0.386,182,0.1117,2.1,G,11 41 02.9,+34 12 05
488,44 Bootis,15,0.5,48,3,15h03m22.2048s,+47d39m33.0077s,,,5.3,G0,-0.424,-0.394,0.053,9.0,26.0,3.0,17,,3410.00,A,15 00 29.3,+48 02 36,4.76,F9-G1Vn,SIG 1909,0.396,274,0.0840,4.6,G,15 03 47.5,+47 39 15
,,,,,,,,,,,,,,,,,,,,3410.00,B,15 00 30.0,+48 03 00,5.96,"G2+G2V,V",,0.447,,,,,15 03 52.0,+47 39 37
489,44 Bootis,15,0.5,48,3,15h03m22.2048s,+47d39m33.0077s,,,6,G0,-0.384,-0.447,0.078,9.0,28.0,3.0,17,,3410.00,A,15 00 29.3,+48 02 36,4.76,F9-G1Vn,SIG 1909,0.396,274,0.0840,4.6,G,15 03 47.5,+47 39 15
,,,,,,,,,,,,,,,,,,,,3410.00,B,15 00 30.0,+48 03 00,5.96,"G2+G2V,V",,0.447,,,,,15 03 52.0,+47 39 37
,Mean,,,,,0,0,48,2259,4.9,G0,,,0.065,6.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
490,Psi Serp,15,39.0,2,50,15h44m02.2484s,+02d31m01.1389s,2,2989,5.8,G5,-0.082,-0.054,0.043,8.0,20.0,2.4,16,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
491,Sigma 2052,16,24.5,18,37,16h28m26.3492s,+18d23m42.4513s,18,3182,7,K0,- .326*,-0.314,0.05,8.0,25.0,2.9,14,*,3745.00,M,16 24 28.7,+18 37 25,7.02,"K3+K3V,V",Lal 30024,0.514,318,0.0502,5.1,G,16 28 52.6,+18 24 49
,,,,,,,,,,,,,,,,,,,*,3745.00,A,16 24 28.7,+18 37 25,7.70,K3   V,Lal 30024,0.514,318,0.0502,5.1,G,16 28 52.6,+18 24 49
492,Mu Drac,,,,,0,0,,,5.8,F8,,-0.114,0.029,13.0,30.0,2.4,11,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
493,Mu Drac,,,,,0,0,,,5.8,F8,,-0.114,0.05,13.0,30.0,2.4,11,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,17,3.3,54,36,17h05m05.366s,+54d27m55.4348s,54,1857,,F5,-0.068,,0.039,9.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
494,Lal 34496,18,30.9,34,20,18h33m36.8573s,+34d24m37.3383s,34,3239,7.8,F8p,+ .191*,0.188,-0.005,8.0,21.0,2.6,14,,4277.00,,18 30 52.1,+34 19 51,7.56,F6p,CI 18-2438,0.285,46,-0.0030,12.5,,18 34 30.7,+34 24 56
495,Weisse 1339,18,45.4,34,25,18h48m37.5387s,+34d31m46.6398s,34,3326,8.4,F5,0.062,0.061,-0.001,9.0,22.0,2.4,14,,4351.00,,18 45 22.9,+34 25 16,8.40,F6   d,CI 18-2464,0.242,13,0.0014,13.9,,18 49 00.9,+34 32 29
496,11 Aquilae,18,54.5,13,29,18h58m36.1441s,+13d37m07.5327s,13,3841,5.4,F5,0.005,0.009,0.031,9.0,22.0,2.4,13,,4403.00,,18 54 29.4,+13 29 20,5.23,F8   V,SIG 2424,0.122,178,0.0372,11.1,G,18 59 05.6,+13 37 19
497,Sigma 2481 B.C.,,,,,0,0,,,8,K0,,-0.246,0.003,6.0,20.0,3.0,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
498,Sigma 2481 A,,,,,0,0,,,7.5,G4,,-0.235,-0.01,8.0,24.0,3.0,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,19,7.7,38,37,19h10m25.1012s,+38d46m52.0406s,38,3466,,G5,- .246*,,-0.002,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
499,Pi 233,19,35.2,49,3,19h37m46.2363s,+49d16m38.4497s,48,2922,6.5,K0,+ .027*,0.033,0.003,6.0,16.0,2.6,15,*,4616.00,,19 35 10.0,+49 03 10,6.47,G6   V,,0.144,12,0.0056,9.8,,19 37 56.6,+49 17 04
500,Omicron Aquilae,19,46.2,10,10,19h50m45.7801s,+10d25m13.0574s,10,4073,5.2,G0,0.236,0.242,0.046,10.0,27.0,2.7,17,,4670.00,A,19 46 14.1,+10 09 55,5.11,F8   V,OMI Aql,0.274,120,0.0461,11.6,G,19 51 01.6,+10 24 56
501,Pi 306,19,47.4,11,23,19h51m43.2108s,+11d38m20.6691s,11,4019,6.2,G0,- .345*,-0.344,0.021,10.0,25.0,2.5,15,*,4678.00,,19 47 22.5,+11 22 51,6.13,G0   V,,0.484,227,0.0233,15.4,,19 52 03.4,+11 37 41
502,Omega Sigma 389,19,47.8,30,53,19h50m55.9645s,+31d08m17.6114s,30,3779,6.9,A5,,0.026,0.024,8.0,18.0,2.4,14,,4681.00,M,19 47 45.2,+30 53 05,7.06,A8n  g,,0.009,97,0.0269,12.5,,19 51 41.4,+31 08 28
,,,,,,,,,,,,,,,,,,,,4681.00,A,19 47 45.2,+30 53 05,7.06,,,0.009,97,0.0269,12.5,,19 51 41.4,+31 08 28
,,,,,,,,,,,,,,,,,,,,4681.00,C,19 47 48.0,+30 53 00,9.70,,,,,,,,19 51 44.2,+31 08 24
503,Weisse 1190,19,49.2,1,41,19h54m03.6469s,+01d56m37.4895s,1,4134,8.5,K0,-0.14*,0.017,0.018,11.0,29.0,2.6,16,*,4697.00,A,19 49 11.2,+01 41 24,8.77,K0   d,,0.270,179,0.0275,8.5,G,19 54 14.9,+01 56 36
,,,,,,,,,,,,,,,,,,,*,4697.00,B,19 49 22.0,+01 41 15,8.96,K1   d,,0.268,179,,,,19 54 25.7,+01 56 28
504,Weisse 1196,19,49.4,1,41,19h54m03.6469s,+01d56m37.4895s,1,4135,8.7,K0,+ .000*,-0.005,0.049,15.0,39.0,2.6,16,*,4697.00,A,19 49 11.2,+01 41 24,8.77,K0   d,,0.270,179,0.0275,8.5,G,19 54 14.9,+01 56 36
,,,,,,,,,,,,,,,,,,,*,4697.00,B,19 49 22.0,+01 41 15,8.96,K1   d,,0.268,179,,,,19 54 25.7,+01 56 28
505,Eta Cygni,19,52.6,34,49,19h55m45.2823s,+35d04m55.5891s,34,3798,4,K0,-0.031,-0.014,0.007,5.0,14.0,2.8,16,,4716.00,,19 52 33.2,+34 49 03,3.89,K0   III,ETA Cyg,0.043,234,0.0113,7.0,G,19 56 18.4,+35 05 00
506,27 Cygni,20,2.6,35,42,20h05m44.6109s,+35d59m11.5026s,35,3959,5.5,K0,-0.229,-0.219,0.022,6.0,17.0,2.9,18,*,4774.00,,20 02 38.8,+35 41 49,5.36,K0   IV,27 Cyg,0.507,207,0.0326,4.8,G,20 06 21.8,+35 58 20
507,Lal 38613,20,5.0,16,30,20h09m33.4339s,+16d47m36.9346s,16,4166,7.7,K0,- .010*,-0.009,0.015,7.0,18.0,2.6,16,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
508,Gr. 3150,20,16.5,66,32,20h16m50.5779s,+66d50m44.0743s,66,1281,6.1,F8,0.478,0.462,0.05,7.0,21.0,2.8,18,,4849.00,,20 16 32.3,+66 31 55,5.93,G3   V,Groom 3150,0.549,58,0.0682,6.8,G,20 17 31.2,+66 51 13
509,Iota Delph,20,25.5,10,34,20h29m47.1152s,+10d54m02.163s,10,4303,5.9,A0,0.019,0.029,-0.005,11.0,31.0,2.8,16,,4876.00,,20 25 30.6,+10 33 39,6.08,A1eSh,1 Del,0.026,54,-0.0019,16.8,,20 30 18.0,+10 53 46
510,Kappa Delph,20,34.3,9,44,20h38m49.2708s,+10d05m04.335s,9,4600,5.2,G5,0.319,0.334,0.014,9.0,24.0,2.6,15,,4912.00,,20 34 16.2,+09 44 01,5.05,G2   IV,KAP Del,0.320,86,0.0252,8.4,G,20 39 07.7,+10 05 09
,,,,,,,,,,,,,,,,,,,*,4918.00,,20 34 30.5,+09 43 22,8.56,K2   V,Lal 39872,0.310,85,0.0132,14.2,G,20 39 22.0,+10 04 32
511,Gamma 1 Delph,20,42.0,15,46,20h46m38.5975s,+16d07m57.2676s,,,5.5,F8,-0.016,-0.011,0.019,0.006,0.015,2.6,17,,4958.00,A,20 42 01.0,+15 45 49,4.27,K1   IV,GAM2 Del,0.197,190,0.0243,4.8,G,20 46 39.4,+16 07 27
,,,,,,,,,,,,,,,,,,,,4958.00,B,20 42 00.2,+15 45 49,5.14,F7   V,GAM1 Del,0.194,187,,,,20 46 38.7,+16 07 27
512,Gamma 2 Delph,20,42.0,15,46,20h46m38.5975s,+16d07m57.2676s,,,4.5,K0,-0.029,-0.031,0.021,5.0,13.0,2.6,17,,4958.00,A,20 42 01.0,+15 45 49,4.27,K1   IV,GAM2 Del,0.197,190,0.0243,4.8,G,20 46 39.4,+16 07 27
,,,,,,,,,,,,,,,,,,,,4958.00,B,20 42 00.2,+15 45 49,5.14,F7   V,GAM1 Del,0.194,187,,,,20 46 38.7,+16 07 27
