Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
385,25 Cancri,8,20.2,17,23,08h25m41.0202s,+17d03m29.9234s,17,1842,6.2,F2,-0.184,-0.188,0.033,8.0,20.0,2.5,14,,1999.00,,08 20 10.2,+17 22 32,6.14,F6   V,25 Cnc,0.246,231,0.0356,12.5,,08 25 49.8,+17 02 46
386,Gr. 1678,10,37.7,46,44,10h42m55.5251s,+46d12m36.4108s,46,1657,5.3,FO,-0.277,-0.267,0.015,6.0,16.0,2.6,14,*,2505.00,,10 37 40.3,+46 43 46,5.18,F5   III,,0.280,255,0.0210,7.7,G,10 43 32.8,+46 12 14
,,,,,,,,,,,,,,,,,,,*,2507.00,,10 38 08.3,+46 43 56,7.32,F9   V,,0.272,258,0.0020,15.0,,10 44 00.6,+46 12 24
387,Sigma 1774,13,36.4,51,1,13h39m59.5256s,+50d30m35.8969s,51,1859,6.3,F8,-0.146,-0.136,0.046,10.0,21.0,2.2,14,,3125.00,A,13 36 25.2,+51 01 26,6.32,F7-9 V,,0.143,295,0.0494,15.4,,13 40 23.1,+50 31 10
,,,,,,,,,,,,,,,,,,,,3125.00,B,13 36 24.0,+51 01 00,10.46,,,,,,,,13 40 23.3,+50 30 38
388,Rho Herc,17,20.2,37,14,17h23m27.4065s,+37d08m26.8229s,37,2878,4.5,AO,-0.034,0.044,-0.006,9.0,22.0,2.5,17,*,3953.00,A,17 20 13.8,+37 14 15,4.52,B9.5 III,RHO Her,0.041,279,-0.0024,9.4,G,17 23 40.9,+37 08 45
,,,,,,,,,,,,,,,,,,,*,3953.00,B,17 20 13.6,+37 14 18,5.47,A0   Vn,RHO Her,0.044,274,,,,17 23 40.7,+37 08 47
389,Lal 32151,17,29.1,63,56,17h29m37.0779s,+63d51m32.3654s,63,1358,7.4,GO,0 .000*,0.008,0.005,10.0,25.0,2.6,14,,3988.00,,17 29 07.3,+63 55 54,7.63,F9   V,Lal 32151,0.187,185,0.0127,11.1,G,17 29 44.3,+63 51 09
390,Beta 1251,17,37.5,16,0,17h41m29.2867s,+15d56m58.7237s,16,3256,5.6,F5,0.001,-0.01,0.026,10.0,27.0,2.7,15,,4037.00,,17 37 29.3,+15 59 53,5.52,F4   V w,,0.120,4,0.0334,11.6,G,17 41 58.7,+15 57 08
391,Beta 1255,18,52.1,48,44,18h54m38.8576s,+48d51m42.2383s,48,2793,5.9,F5,-0.053,-0.06,0.014,8.0,20.0,2.6,16,,4395.00,,18 52 08.7,+48 44 03,5.77,F3   III,,0.142,206,0.0165,12.5,,18 54 47.0,+48 51 34
392,Beta Sagittae,19,36.6,17,15,19h40m29.3763s,+17d28m53.2597s,17,4048,4.4,KO,0.005,-0.005,0.033,8.0,19.0,2.3,13,,4624.00,,19 36 33.4,+17 14 39,4.37,G8   IIIa*,BET Sge,0.032,165,0.0100,5.7,F,19 41 02.9,+17 28 33
393,Lal 38287,19,58.0,15,20,20h02m35.3738s,+15d36m44.5474s,15,4026,7.2,G5,- .171*,-0.135,0.024,10.0,22.0,2.2,14,,4747.00,,19 57 59.8,+15 19 44,7.16,G7   V,Lal 38287,0.598,196,0.0544,10.7,P,20 02 34.1,+15 35 31
394,Munich 25146,20,30.2,5,47,20h34m56.4195s,+06d07m37.4037s,5,4556,8.7,K2,+ .358*,0.385,0.001,9.0,22.0,2.4,15,*,4896.00,,20 30 13.6,+05 47 20,8.93,K6   d,CI 18-2668,0.441,121,0.0205,8.4,G,20 35 12.6,+06 07 36
395,Bradley 2725,20,53.2,48,49,20h56m16.1311s,+49d12m03.9142s,48,3249,6,KO,,0.007,0.003,7.0,19.0,2.6,15,,5027.00,,20 53 09.5,+48 48 39,5.90,G8   II-I*,,0.021,41,0.0053,11.1,,20 56 25.9,+49 11 45
396,34 Vulpec,21,16.6,23,26,21h20m29.435s,+23d51m25.7075s,23,4294,5.8,A2,0.216,0.239,-0.008,10.0,27.0,2.7,17,,5142.00,,21 16 33.0,+23 26 04,5.57,K1   III,,0.269,116,-0.0052,15.4,,21 21 04.4,+23 51 21
397,Gr. 3703,22,7.3,50,20,22h10m51.6461s,+50d49m33.7645s,50,3602,5.4,KO,0.145,0.123,0.004,8.0,21.0,2.7,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
398,14 Andr,23,26.4,38,41,23h30m52.5534s,+39d14m05.6042s,38,5023,5.3,KO,0.286,0.278,0.011,7.0,19.0,2.6,12,,5691.00,,23 26 22.1,+38 41 12,5.22,K0   III,14 And,0.302,106,0.0143,11.1,,23 31 17.4,+39 14 09
