Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate
289,104 Tauri,5,2,18,31,05h07m51.0264s,+18d38m57.0785s,18,779,5,G0,0.54,0.055,8.0,26.0
290,18 Camelopardi,5,24,57,9,05h32m32.6823s,+57d13m36.6126s,57,889,6.5,G0,0.25,0.009,6.0,19.0
291,Groombridge 990,5,30,51,23,05h37m53.8042s,+51d26m47.3577s,51,1094,7.9,K0,0.56,0.035,6.0,16.0
292,Piazzi 146,5,33,53,26,05h41m06.8334s,+53d29m20.3234s,53,934,6.4,K0,0.51,0.083,6.0,20.0
293,Lalande 10797,5,39,37,15,05h45m48.7884s,+37d17m33.7125s,37,1312,7.3,K0,0.71,0.086,6.0,20.0
294,Delta Aurigae,5,51,54,17,05h59m13.252s,+54d17m42.7434s,54,970,3.9,K,0.15,0.023,9.0,28.0
295,Lalande 16933,8,32,26,24,08h37m58.731s,+26d03m05.3335s,26,1816,7.6,G5,0.24,0.022,10.0,29.0
296,81 Cancri,9,7,15,24,09h12m31.9355s,+14d59m23.431s,15,2003,6.4,G0,0.57,0.065,8.0,24.0
297,Theta Ursae Majoris,9,26,52,8,09h32m51.5258s,+51d41m32.6739s,52,1401,3.3,F8,1.09,0.057,9.0,22.0
298,Lalande 18721,9,27,27,26,09h32m49.2409s,+26d59m30.1178s,27,1775,7.1,K0,0.28,0.05,9.0,28.0
299,20 Leonis Minoris,9,55,32,25,10h00m50.0872s,+31d56m13.1459s,32,1964,5.6,F2,0.68,0.069,9.0,25.0
300,Groombridge 1603,9,58,38,30,10h03m59.6806s,+38d00m59.6206s,38,2096,6.8,F5,0.17,0.027,10.0,28.0
301,37 Ursae Majoris,10,29,57,36,10h35m25.3123s,+57d05m00.6781s,57,1277,5.2,F0,0.07,0.029,11.0,26.0
302,47 Ursae Majoris,11,54,40,58,11h59m09.1024s,+40d24m35.6438s,41,2147,5.1,F0,0.32,0.075,10.0,26.0
303,Lalande 22908,12,8,11,24,12h13m06.1776s,+10d50m37.5455s,11,2439,7.9,G5,0.59,0.023,10.0,26.0
304,10 Canum Venaticorum,12,40,39,49,12h44m47.0936s,+39d16m09.6187s,40,2570,6,F0,0.38,0.058,5.0,11.0
305,Lalande 23900,12,44,25,23,12h48m54.7774s,+24d50m16.4664s,25,2568,6.4,F2,0.37,0.021,12.0,31.0
306,Piazzi 200,13,42,56,23,13h45m40.2232s,+55d52m57.6622s,56,1683,6.4,F0,0.37,0.022,8.0,21.0
307,B. D. +19  2881,14,49,19,33,14h53m35.4929s,+19d08m29.7579s,19,2881,6,K0,0.48,0.081,8.0,16.0
308,Lalande 27922,15,15,-8,18,15h20m22.5225s,-08d39m43.9358s,-8,3949,7.9,F8,0.21,-0.01,9.0,22.0
309,Groombridge 2273. . . .,15,42,53,18,15h44m39.8804s,+52d59m14.2125s,53,1806,7.3,G5,0.26,0.01,10.0,26.0
310,12 Ophiuchi,16,31,-2,7,16h36m12.202s,-02d19m17.906s,-2,3220,5.9,F0,0.55,0.083,9.0,26.0
311,35 Draconis,17,54,76,59,17h49m30.089s,+76d57m47.8678s,76,667,5,F5,0.24,0.033,11.0,27.0
312,B. D. +8  3692,18,22,8,34,18h26m47.2992s,+08d37m32.9875s,8,3692,8.5,G5,0.51,0.037,12.0,24.0
313,Weisse 1064,18,37,31,28,18h40m46.6254s,+31d33m38.5393s,31,3330,8.7,K2,0.82,0.028,8.0,19.0
314,Lalande 39866,20,35,4,37,20h39m58.7242s,+04d58m11.6429s,4,4510,8.4,K5,0.84,0.045,11.0,28.0
315,56 Cygni,20,47,43,41,20h50m32.2039s,+44d03m26.3425s,43,3739,5.1,A8,0.18,0.029,6.0,15.0
316,Fedorenko 3638,20,52,74,23,20h51m12.6322s,+74d45m44.7282s,74,889,7.8,G5,0.69,0.037,9.0,23.0
317,Nu Pegasi,22,1,4,34,22h06m01.9145s,+05d03m11.2023s,4,4800,4.9,K0,0.14,0.01,9.0,19.0
318,Delta Cephei,22,25,57,54,22h28m42.326s,+58d24m41.3009s,57,2548,Var.,G0,0.02,0.006,6.0,15.0
319,Iota Cephei,22,46,65,40,22h49m34.6717s,+66d11m45.9162s,65,1814,3.7,K0,0.14,0.027,7.0,21.0
320,Piazzi 267,0,0,34,6,00h05m08.4133s,+34d39m24.4533s,33,4828,6.2,F0,0.77,0.04,0.009,0.024
321,Sigma 42 (brighter),0,31,29,27,00h36m18.5527s,+30d00m03.0026s,,,9,,0.45,0.032,6.0,17.0
322,Sigma 42 (fainter),0,31,29,27,00h36m18.5527s,+30d00m03.0026s,,,9.8,,,0.013,10.0,28.0
,Mean,,,,,0,0,29,105,8.6,F8,,0.027,5.0,
323,54 Piscium,0,34,20,43,00h39m15.5481s,+21d15m59.028s,20,85,6.1,K0,0.6,0.096,7.0,24.0
324,55 Piscium,0,35,20,53,00h40m15.8424s,+21d25m57.6136s,20,87,5.6,K0,0.05,0.003,6.0,17.0
325,Lalande 1045,0,35,39,39,00h40m25.7092s,+40d11m57.4962s,39,154,7.5,K0,0.8,0.086,6.0,15.0
326,Beta Andromedae,1,4,35,5,01h09m34.6245s,+35d37m00.0561s,34,198,2.4,Ma,0.22,0.033,7.0,19.0
327,Piazzi 142,1,36,42,7,01h41m58.4163s,+42d37m20.4901s,41,328,5.1,F8,0.82,0.081,7.0,22.0
328,9 Lambda Arietis,1,52,23,7,01h57m35.1057s,+23d36m18.3342s,22,288,4.8,A5,0.09,0.023,8.0,21.0
329,8 Delta Trianguli,2,11,33,46,02h16m57.1301s,+34d13m51.7006s,33,395,5.1,G0,0.081,0.062,8.0,22.0
330,Piazzi 123,2,31,6,25,02h36m17.0451s,+06d51m10.7387s,6,398,5.9,K0,2.32,0.145,8.0,23.0
331,10 Tauri,3,32,0,5,03h37m07.8536s,+00d24m48.3788s,0,572,4.4,G5,0.53,0.055,10.0,29.0
332,38 Omicron Persei,3,38,31,58,03h44m16.3638s,+32d17m01.6153s,31,642,3.9,B1,0.028,0,7.0,19.0
333,Groombridge 864,4,35,41,56,04h42m00.3093s,+42d07m37.8896s,41,931,7.3,G0,0.69,0.021,7.0,23.0
334,Companion to Capella,5,10,45,44,05h17m21.965s,+45d50m42.3516s,,,10.5,,0.42,0.71,8.0,21.0
335,Eta Geminorum,6,9,22,32,06h15m02.7174s,+22d30m14.8677s,22,1241,Var.,Ma,0.06,0.016,8.0,28.0
336,Lalande 12293,6,22,36,33,06h28m45.7385s,+36d29m18.4291s,36,1442,7.1,G0,0.39,0.032,7.0,21.0
337,19 Lyncis (fainter),7,15,55,28,07h23m09.5041s,+55d16m41.9269s,,,6.5,A,,-0.004,7.0,22.0
338,19 Lyncis (brighter),7,15,55,28,07h23m09.5041s,+55d16m41.9269s,,,5.6,B8,,0.007,8.0,23.0
,Mean,,,,,0,0,55,1192,,,0.033,0.001,5.0,
339,Omicron Leonis,9,36,10,21,09h41m21.1849s,+09d53m44.5943s,36,2044,3.8,F5,0.15,0.024,8.0,24.0
340,60 Leonia,10,57,20,43,11h02m20.3521s,+20d10m44.4678s,20,2547,4.4,A,0.029,0.007,8.0,20.0
341,Piazzi 40,12,14,17,6,12h19m04.4736s,+16d32m40.6383s,17,2462,7,G5,0.24,0.019,8.0,21.0
342,Lalande 24414,13,4,5,46,13h09m03.7037s,+05d13m59.2985s,6,2697,6.7,G0,0.68,0.035,9.0,24.0
343,Sigma 2106,16,46,9,35,16h50m46.1115s,+09d24m43.7644s,9,3287,6.8,F8,,-0.004,9.0,26.0
344,Sigma 2128,17,2,59,43,17h03m26.2558s,+59d34m44.1841s,59,1783,9.1,K0,0.43,0.039,8.0,20.0
345,Weisse 1805,17,58,26,20,18h02m01.2413s,+26d20m00.1124s,26,3151,7.1,K0,0.72,0.035,11.0,27.0
346,Lalande 33439,18,6,38,27,18h09m21.2993s,+38d28m07.1625s,38,3095,6.4,G,0.58,0.095,6.0,16.0
347,111 Herculis,18,43,18,4,18h47m24.5001s,+18d10m32.8503s,18,3823,4.4,A3,0.13,0.051,9.0,26.0
348,31 b Aquilae,19,20,11,44,19h24m41.1799s,+11d55m44.8549s,11,3833,5.2,G5,0.96,0.055,11.0,28.0
349,38 Mu Aquilae,19,29,7,10,19h33m51.6668s,+07d22m58.6899s,7,4132,4.6,K,0.27,0.016,8.0,18.0
350,Groombridge 2875,19,29,58,23,19h30m45.9446s,+58d35m46.2187s,58,1929,6.7,K0,0.66,0.025,6.0,16.0
351,Lalande 37120,19,30,32,59,19h33m47.2028s,+33d12m02.4216s,32,3474,6.6,G0,0.52,0.027,10.0,24.0
352,17 Cygni,19,43,33,30,19h46m47.6669s,+33d44m45.8255s,33,3587,5,F5,0.45,0.03,7.0,18.0
353,Lalande 38383,20,0,23,5,20h04m17.9949s,+23d21m58.5574s,22,3908,7.2,K2,1.37,0.038,7.0,20.0
354,Lalande 38380,20,0,29,38,20h04m01.5113s,+29d54m57.5237s,29,3872,5.7,K,0.86,0.044,7.0,18.0
355,Groombridge 3243,20,34,42,29,20h37m31.6105s,+42d49m59.9447s,42,3807,7.1,F8,0.2,-0.005,9.0,26.0
356,Oeltzen 21338,20,51,61,48,20h53m03.6702s,+62d10m47.3679s,61,2068,8.6,K0,0.77,0.134,7.0,18.0
357,Lalande 40848,20,59,45,29,21h02m30.9379s,+45d52m42.1607s,45,3371,8.1,K2,0.4,0.044,9.0,20.0
358,Beta 1138,20,59,45,27,21h02m31.0505s,+45d50m42.1665s,45,3374,6.2,B8,,-0.004,11.0,28.0
359,Lalande 41685,21,21,0,41,21h26m06.0636s,+01d06m55.3925s,0,4726,6.4,F2,0.19,0.047,10.0,24.0
360,Lalande 41818,21,25,11,50,21h29m49.7629s,+12d16m16.4918s,11,4578,7.7,G0,0.18,0.001,8.0,23.0
361,Lalande 42286,21,37,26,18,21h41m28.9433s,+26d45m18.2581s,26,4237,7.4,G5,0.36,0.028,7.0,18.0
362,Mu Cephei,21,40,58,19,21h43m03.2736s,+58d46m29.7145s,58,2316,Var.,Ma,0.004,0.005,8.0,25.0
363,Lalande 42843,21,53,3,18,21h58m03.1164s,+03d46m36.1359s,3,4644,7.1,F8,0.31,0.025,10.0,28.0
364,Lalande 43492,22,12,12,24,22h16m54.0573s,+12d53m55.7345s,12,4797,6.9,G0,0.85,0.033,9.0,23.0
365,Piazzi 218,23,48,74,59,23h52m46.0838s,+75d32m22.8169s,74,1047,6.5,K0,0.33,0.092,5.0,15.0
