No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
3100,83 U Maj,13,37.0,55,11,13h40m47.7638s,+54d40m39.1805s,55,1625.0,4.8,Ma,0.025,-0.022,-0.005,0.01,5; 20,11.5,31,,3127.00,,13 36 56.7,+55 11 15,4.66,1.64,M2   IIIa*,83 UMa,0.029,242,0.0136,8.4,,13 40 44.2,+54 40 53
1101,Nu Boot,13,44.7,16,18,13h48m50.1678s,+15d48m07.674s,16,2564.0,4.3,K5,0.104,-0.098,-0.084,0.013,6; 22,11,27,,3156.00,,13 44 39.2,+16 17 37,4.07,1.52,K5.5 III,UPS Boo,0.112,292,0.0107,8.7,F,13 49 28.6,+15 47 52
1102,12 Boot,14,5.8,25,34,14h09m34.0331s,+25d05m36.7145s,25,2737.0,4.8,F5,0.073,-0.02,-0.002,0.036,8; 30,12.6,32,,3221.00,,14 05 50.2,+25 33 55,4.83,0.54,F9   IV w,12 Boo,0.068,200,0.0401,12.5,,14 10 23.9,+25 05 30
1103,9 Serp,15,21.2,15,47,15h25m38.4444s,+15d25m53.8733s,15,2858.0,5.5,Ma,0.03,-0.016,-0.032,0.011,5; 19,11.4,29,,3486.00,,15 21 09.0,+15 46 46,5.17,1.66,M1   III,TAU1 Ser,0.017,233,0.0144,8.4,,15 25 47.4,+15 25 40
1104,106 Herc,18,16.1,21,55,18h20m13.7275s,+21d57m38.2983s,21,3390.0,5,K5,0.063,0.014,0.014,0.013,5; 19,11.4,29,,4214.00,,18 16 03.9,+21 55 07,4.95,1.59,M1   III,106 Her,0.066,151,0.0156,7.3,G,18 20 17.9,+21 57 40
1105,Sigma 2587Bt,19,46.5,3,50,19h50m59.1526s,+04d05m13.9248s,3,4172.0,6.6,K0,,,-0.002,-0.004,6; 24,9.7,31,,4672.00,,19 46 27.7,+03 50 02,6.60,,K0,,0.013,207,-0.0004,9.8,,19 51 26.9,+04 05 18
1106,Lal 38442,20,1.8,7,17,20h05m52.4343s,+07d34m08.2352s,7,4367.0,6.9,A0,,,0.014,0.017,6; 24,10.8,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1107,Lal 38426,20,1.8,7,16,20h05m52.4683s,+07d33m08.2374s,7,4366.0,7.5,A,,,0.008,0.005,6; 22,10.2,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,,,0.011,4,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1108,Lal 39934,20,34.9,38,17,20h37m44.8618s,+38d38m00.6938s,38,4172.0,6.8,G0,0.259,0.17,0.189,0.045,6; 23,10.1,30,,4921.00,A,20 34 53.2,+38 17 19,6.75,0.62,G2   V,,0.290,134,0.0479,9.8,,20 38 40.2,+38 38 05
1109,Grb 3500,21,31.0,51,15,21h34m26.8002s,+51d41m44.7564s,51,3091.0,6,B9,0.01,0.01,0.005,-0.009,5; 18,10.7,30,,5205.00,,21 31 00.6,+51 15 09,6.15,0.02,B9   IIIe,,0.011,0,-0.0067,8.4,,21 34 27.5,+51 41 54
1110,Grb 3847,22,34.7,56,17,22h37m54.8779s,+56d48m11.3187s,56,2821.0,5.5,Mb,0.058,0.053,0.06,-0.014,6; 22,11.1,31,,5483.00,,22 34 41.7,+56 16 33,5.21,1.58,M4+  III,,0.055,109,-0.0117,9.8,,22 38 37.9,+56 47 44
1111,Sigma 3046Bt,,,,,0,0,,,8,G5,,,-0.302,0.008,7; 25,10.4,31,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1112,Sigma 3046Ft,,,,,0,0,,,8.5,G5,,,-0.306,0.031,6; 23,10.4,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,M-Lal 46916,23,51.3,-10,3,23h56m08.0327s,-09d29m36.2094s,-10,6203.0,,,0.281,-0.274,,0.02,5,,,,5781.00,A,23 51 15.0,-10 03 14,8.00,,G3   d,,0.275,257,0.0259,7.3,F,23 56 21.2,-09 29 57
,,,,,,,,,,,,,,,,,,,,5781.00,B,23 51 18.0,-10 03 00,8.50,,K3   d,,0.280,257,,,,23 56 24.2,-09 29 43
1113,Lal 4718,23,57.7,1,35,00h02m07.3787s,+02d08m24.576s,1,4820.0,7.7,G0,,,0.034,0.015,7; 26,11.8,31,,5811.00,,23 57 39.3,+01 34 33,7.70,,G2   IV,,0.112,149,0.0188,11.1,,00 02 47.1,+02 07 48
1114,Brad 3212,0,1.4,28,28,00h06m08.5299s,+29d01m24.3359s,28,4704.0,6.2,K0,0.417,0.376,0.36,0.071,5; 22,12.4,35,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1115,Nu Andr,1,30.9,40,54,01h35m53.4731s,+41d24m41.9741s,40,332.0,4.2,G0,0.417,-0.175,-0.185,0.061,4; 10,10.7,14,*,331.00,,01 30 55.4,+40 54 19,4.09,0.54,F8   V,UPS And,0.415,204,0.0568,4.1,G,01 36 47.8,+41 24 19
1116,Lal 3137 A,1,36.8,-11,49,01h40m55.9968s,-11d18m37.613s,-12,315.0,5.8,F5,0.409,0.041,0.048,0.027,7; 29,10.1,26,,355.00,A,01 36 48.6,-11 49 07,5.75,0.44,"F5+F7V,V",,0.411,174,0.0333,7.1,G,01 41 44.8,-11 19 29
,,,,,,,,,,,,,,,,,,,,355.00,B,01 36 48.0,-11 49 00,6.80,,F7   V,,0.409,174,,,,01 41 44.2,-11 19 21
1117,Lal 3137 B,1,36.8,-11,49,01h40m55.9968s,-11d18m37.613s,-12,315.0,7.5,F5,0.409,0.041,0.038,0.025,8; 31,10.1,24,,355.00,A,01 36 48.6,-11 49 07,5.75,0.44,"F5+F7V,V",,0.411,174,0.0333,7.1,G,01 41 44.8,-11 19 29
,,,,,,,,,,,,,,,,,,,,355.00,B,01 36 48.0,-11 49 00,6.80,,F7   V,,0.409,174,,,,01 41 44.2,-11 19 21
1118,30 Arie B,2,31.2,24,13,02h36m45.1604s,+24d39m09.4661s,24,376.0,7.4,F5,0.145,0.145,0.141,0.009,4;19,11.2,30,,525.00,A,02 31 14.3,+24 12 43,6.50,0.41,F6   III,30 Ari,0.134,95,0.0190,4.2,G,02 37 00.5,+24 38 50
,,,,,,,,,,,,,,,,,,,,525.00,B,02 31 11.5,+24 12 46,7.09,0.50,F4   V,30 Ari,0.137,94,,,,02 36 57.7,+24 38 53
1119,30 Arie A,2,31.2,24,13,02h36m45.1604s,+24d39m09.4661s,24,375.0,6.6,F5,0.138,0.138,0.13,0.011,5;21,11.2,30,,525.00,A,02 31 14.3,+24 12 43,6.50,0.41,F6   III,30 Ari,0.134,95,0.0190,4.2,G,02 37 00.5,+24 38 50
,,,,,,,,,,,,,,,,,,,,525.00,B,02 31 11.5,+24 12 46,7.09,0.50,F4   V,30 Ari,0.137,94,,,,02 36 57.7,+24 38 53
1120,Beta 306,2,38.0,25,13,02h43m48.4221s,+25d38m30.498s,25,441.0,6.4,A2,0.003,-0.009,-0.003,-0.004,6;20,11,20,,553.00,,02 38 02.8,+25 12 47,6.35,0.08,A2   Vp:,,0.006,347,-0.0004,9.8,,02 43 51.2,+25 38 17
1121,Rho Arie,2,50.8,17,37,02h55m36.7947s,+18d01m21.2272s,17,458.0,5.6,F5,0.347,0.277,0.24,0.032,5;19,10.2,20,,609.00,,02 50 47.2,+17 37 28,5.63,0.43,F6   V,RHO3 Ari,0.347,127,0.0366,8.4,,02 56 26.1,+18 01 23
1122,47 Arie,2,52.4,20,16,02h57m41.8567s,+20d40m08.9417s,20,480.0,5.8,F0,0.234,0.232,0.175,0.027,5;17,11.9,23,,615.00,,02 52 21.6,+20 16 03,5.80,0.41,F5   IV,47 Ari,0.235,96,0.0300,8.4,,02 58 05.2,+20 40 07
1123,Algol,3,1.7,40,34,03h07m30.338s,+40d57m10.9027s,40,673.0,Var,B8,0.006,0.006,-0.01,0.035,8;35,10.4,33,*,646.00,A,03 01 39.5,+40 34 13,2.12,-0.05,B8   V,BET Per,0.004,61,0.0383,3.4,F,03 08 10.1,+40 57 20
1124,Alpha Pers,3,17.2,49,30,03h24m08.2625s,+49d51m24.705s,49,917.0,1.9,F5,0.035,0.025,0.023,0.004,4;22,9.8,34,*,707.00,,03 17 10.7,+49 30 19,1.79,0.48,F5   Ib,ALP Per,0.033,130,0.0109,4.7,G,03 24 19.3,+49 51 40
1125,34 Pers,3,22.2,49,10,03h29m08.9763s,+49d30m50.7897s,49,645.0,4.7,B8,0.039,0.027,0.007,0.009,5;15,10.1,13,,719.00,,03 22 12.8,+49 09 45,4.67,-0.09,B3   V,34 Per,0.025,148,0.0152,8.4,,03 29 22.0,+49 30 32
1126,WB 811,3,44.4,1,4,03h49m09.7638s,+01d22m22.1455s,0,659.0,8.6,G5,0.657,0.252,0.239,0.019,5;22,10.7,29,*,838.00,,03 44 24.0,+01 03 35,8.59,0.84,K1   V,CI 18-513,0.659,155,0.0284,6.2,G,03 49 35.6,+01 20 54
1127,Grb 745,3,38.4,75,53,03h50m33.4226s,+76d11m39.0613s,75,154.0,8.3,K5,0.627,0.351,0.332,0.043,5;18,11.2,21,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1128,46 Taur,3,8.2,7,28,03h13m20.6641s,+07d50m29.9235s,7,617.0,5.4,F0,0.009,-0.001,-0.012,0.016,7;31,10.9,28,,932.00,,04 08 09.9,+07 27 38,5.29,0.36,"F2+F5V,V",46 Tau,0.010,309,0.0269,5.4,G,04 13 33.1,+07 42 57
1129,Alpha Taur,4,30.2,16,18,04h35m43.9187s,+16d30m23.8858s,16,629.0,1.1,K5,0.202,0.069,0.077,0.037,5;28,10.5,39,,1014.00,A,04 30 10.8,+16 18 29,0.85,1.54,K5+  III,ALP Tau,0.200,161,0.0486,3.0,G,04 35 55.2,+16 30 32
,,,,,,,,,,,,,,,,,,,,1015.01,,04 30 18.0,+16 20 00,11.20,,K7   d,ADS 3321CD,0.200,160,0.0426,12.0,,04 36 02.5,+16 32 02
1130,Sigma 612 B,4,48.8,7,13,04h53m23.729s,+07d22m56.949s,7,754.0,7.9,K0,0.3,0.226,0.242,0.028,3;17,11,33,*,1094.00,A,04 48 51.2,+07 12 53,8.20,0.83,K2   d,SIG 612A,0.326,131,0.0340,3.5,G,04 54 16.6,+07 22 21
,,,,,,,,,,,,,,,,,,,*,1094.00,B,04 48 50.9,+07 12 38,8.70,,K1   d,SIG 612B,0.321,131,,,,04 54 16.3,+07 22 07
1131,Sigma 612 A,4,48.8,7,13,04h53m23.729s,+07d22m56.949s,7,754.0,7.6,K0,0.323,0.253,0.245,0.03,3;14,11,33,*,1094.00,A,04 48 51.2,+07 12 53,8.20,0.83,K2   d,SIG 612A,0.326,131,0.0340,3.5,G,04 54 16.6,+07 22 21
,,,,,,,,,,,,,,,,,,,*,1094.00,B,04 48 50.9,+07 12 38,8.70,,K1   d,SIG 612B,0.321,131,,,,04 54 16.3,+07 22 07
1132,WB 1189,4,55.9,-5,52,04h59m54.3337s,-05d42m59.7058s,-5,1123.0,6.5,K0,1.223,0.557,0.546,0.1,4;14,10.6,22,,1129.00,,04 55 51.0,-05 52 16,6.22,1.06,K3   V,CI 18-648,1.222,153,0.1141,1.6,G,05 00 49.0,-05 45 12
1133,Capella,5,9.3,45,54,05h16m22.6346s,+46d00m50.8688s,45,1077.0,0.2,G0,0.435,0.084,0.074,0.067,4;20,11.5,35,*,1187.00,M,05 09 17.9,+45 53 47,0.08,0.80,"G5+G0III,*",ALP Aur,0.431,169,0.0791,4.6,G,05 16 41.3,+45 59 53
,,,,,,,,,,,,,,,,,,,*,1187.00,A,05 09 17.9,+45 53 47,0.08,0.80,G5   III,ALP Aur,0.431,169,0.0791,4.6,G,05 16 41.3,+45 59 53
,,,,,,,,,,,,,,,,,,,,1188.00,,05 09 18.0,+45 54 00,11.70,,,Cambr IVA-1,0.430,169,0.0155,7.4,,05 16 41.4,+46 00 06
1134,Capella H,5,10.0,45,44,05h17m21.965s,+45d50m42.3516s,,,10.5,M1,0.435,0.084,0.063,0.079,3;16,11.5,35,,1193.00,A,05 10 00.0,+45 44 00,10.16,1.50,M2   d,Capella H,0.430,169,0.0760,3.6,G,05 17 22.7,+45 50 00
,,,,,,,,,,,,,,,,,,,,1193.00,B,05 10 00.0,+45 44 00,13.70,,M4:,Capella L,,,,,,05 17 21.9,+45 50 42
1135,Lal 9913,5,13.3,44,2,05h20m14.5173s,+44d08m17.1442s,19,893.0,6.2,K0,0.045,0.035,-0.017,0.009,6;19,11,17,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1136,Beta Auri,5,52.2,11,56,05h57m35.6386s,+11d56m45.4834s,44,1328.0,2.1,A0p,0.051,-0.051,-0.062,0.036,4;23,9.5,44,*,1373.00,A,05 52 11.5,+44 56 14,1.90,0.03,A2   IV,BET Aur,0.056,269,0.0434,6.5,G,05 59 31.7,+44 56 50
1137,Lal 12494,6,26.2,11,37,06h31m34.5592s,+11d32m48.84s,11,1209.0,5.1,A2,0.15,0.015,-0.018,0.008,5;20,11.1,26,,1515.00,,06 26 13.6,+11 36 50,5.23,0.15,A3   V,,0.018,34,0.0116,8.4,,06 31 48.2,+11 32 38
1138,23 H Caml,6,29.2,79,40,06h46m07.3577s,+79d34m32.7977s,79,212.0,5.6,F8,0.616,-0.084,-0.069,0.047,4;18,11.7,24,,1530.00,,06 29 10.2,+79 40 22,5.45,0.50,F8   V,Piazzi VI 7,0.613,186,0.0471,6.1,G,06 46 14.1,+79 33 53
1139,Sirius,6,40.7,-16,35,06h44m28.1361s,-16d41m07.3466s,-16,1591.0,-1.6,A0,1.324,-0.537,-0.471,0.367,4;20,10.4,37,*,1577.00,A,06 40 44.5,-16 34 43,-1.46,0.00,A1   Vm,ALP CMa,1.328,204,0.3816,2.2,G,06 45 08.8,-16 42 57
,,,,,,,,,,,,,,,,,,,*,1577.00,B,06 40 42.0,-16 35 00,8.44,-0.03,DA2,,,,,,,06 45 10.2,-16 41 13
1140,Lal 13427,6,54.0,48,32,07h01m33.4788s,+48d23m39.9332s,48,1469.0,8.2,K0,0.709,0.553,0.551,0.035,6;22,11.3,20,*,1640.00,,06 53 59.6,+48 31 46,8.00,0.99,K3   V,Lal 13427,0.700,127,0.0354,6.8,G,07 01 38.6,+48 22 43
1141,Lal 13972,7,7.8,25,11,07h13m07.0848s,+25d00m56.6922s,25,1613.0,8.4,K0,0.426,-0.414,-0.402,0.027,6;23,10.5,21,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1142,Procyon,7,34.1,5,29,07h39m18.8469s,+05d15m19.3918s,5,1739.0,0.5,F5,1.25,-0.706,-0.705,0.293,6;30,10.3,34,*,1805.00,A,07 34 04.0,+05 28 53,0.38,0.42,F5   IV-V,ALP CMi,1.247,214,0.2867,2.1,G,07 39 18.1,+05 13 29
1143,Pollux,7,39.2,28,16,07h45m11.9055s,+28d01m36.1954s,28,1463.0,1.2,K0,0.625,-0.623,-0.634,0.094,5;25,10.4,39,*,1826.00,,07 39 11.8,+28 16 04,1.14,1.00,K0   IIIb,BET Gem,0.628,265,0.0976,4.2,G,07 45 18.9,+28 01 34
1144,Lal 15333,7,48.3,34,53,07h54m29.3974s,+34d37m24.7136s,34,1705.0,7.7,G0,0.218,-0.127,-0.114,0.02,6;16,10.1,15,,1862.00,,07 48 20.1,+34 53 06,7.70,,G3   d,,0.213,213,0.0241,9.8,,07 54 48.5,+34 37 11
1145,WB 181,8,12.0,30,56,08h18m13.5476s,+30d37m25.4669s,31,1781.0,8.5,F5,0.874,-0.291,-0.295,0.043,5;18,11.1,20,,1973.00,,08 11 59.4,+30 55 59,8.83,1.14,K4   V,G 051-006,0.872,199,0.0466,6.3,G,08 18 10.7,+30 36 03
1146,Grb 1450,8,26.4,38,22,08h32m31.0191s,+38d01m44.812s,38,1920.0,6,K5,0.194,-0.095,-0.102,0.01,6;20,11.5,21,,2029.00,,08 26 24.9,+38 21 33,5.90,1.11,K1.5 III *,,0.201,210,0.0131,9.8,,08 32 54.9,+38 00 58
1147,Lal 18522,9,19.5,30,56,09h24m57.9007s,+30d30m13.293s,31,1978.0,7.8,G0,0.198,0.075,0.072,0.004,6;20,10,23,,2239.00,,09 19 31.1,+30 55 43,7.80,,G7   IV,,0.202,161,0.0089,9.8,,09 25 29.3,+30 29 35
1148,Epsilon Leon,9,40.2,24,14,09h45m40.9128s,+23d46m23.8008s,24,2129.0,3.1,G0p,0.015,-0.044,-0.02,-0.002,7;20,10.7,20,,2310.00,,09 40 10.5,+24 14 05,2.98,0.80,G1   II,EPS Leo,0.048,251,0.0065,11.1,,09 45 51.1,+23 46 27
1149,15 L Min,9,42.1,46,29,09h48m24.8442s,+46d01m12.2248s,46,1551.0,5.2,G0,0.245,0.224,0.228,0.062,5;21,11.2,28,,2316.00,,09 42 08.4,+46 29 13,5.09,0.62,G0.5 Va,15 LMi,0.242,113,0.0739,4.9,G,09 48 35.3,+46 01 15
1150,39 Leon,10,11.7,23,36,10h16m33.1803s,+23d06m06.8926s,23,2207.0,5.8,F5,0.422,-0.408,-0.407,0.056,5;18,10.5,28,,2413.00,,10 11 44.5,+23 36 28,5.82,0.50,F8   Vb w,39 Leo,0.429,255,0.0577,5.3,G,10 17 14.5,+23 06 22
1151,Mu U Maj,10,16.4,42,0,10h21m58.2697s,+41d29m46.9865s,42,2115.0,3.2,K5,0.086,-0.082,-0.082,0.029,7;23,10,22,,2430.00,,10 16 22.3,+42 00 09,3.05,1.59,M0   III,MU UMa,0.088,290,0.0326,8.2,G,10 22 19.7,+41 29 58
1152,Grb 1646,10,21.9,49,19,10h27m10.0014s,+48d48m28.413s,49,1961.0,6.5,G0,0.896,0.081,0.096,0.05,4;17,11.4,32,,2449.00,A,10 21 53.6,+49 19 08,6.44,0.60,F9   V,Groom 1646,0.886,175,0.0501,5.4,G,10 28 03.8,+48 47 05
1153,38 L Min,10,33.4,38,26,10h38m45.0906s,+37d54m48.942s,38,2166.0,5.8,G5p,0.224,-0.219,-0.216,0.034,5;19,11.4,30,,2490.00,,10 33 24.5,+38 25 52,5.85,0.57,F9   V,38 LMi,0.228,257,0.0257,4.8,F,10 39 07.5,+37 54 35
1154,46 L Min,10,47.7,34,45,10h52m35.0687s,+34d13m08.7368s,34,2172.0,3.9,K0,0.3,0.09,0.118,0.007,6;17,11.2,17,,2532.00,,10 47 43.2,+34 45 14,3.83,1.04,K0+  III-*,46 LMi,0.296,163,0.0234,7.2,F,10 53 18.7,+34 12 53
1155,51 L Min,10,59.9,25,45,11h04m23.4143s,+25d12m39.9336s,25,2335.0,7.5,G0,0.408,-0.401,-0.388,0.008,4;15,11.7,30,*,2580.00,,10 59 55.2,+25 44 35,7.64,0.58,G0   d,51 LMi,0.407,260,0.0115,7.2,,11 05 15.4,+25 12 06
1156,Delta Leon,11,8.8,21,4,11h13m18.23s,+20d31m21.7052s,21,2298.0,2.6,A3,0.201,0.146,0.149,0.026,5;25,11,47,*,2614.00,,11 08 47.4,+21 04 18,2.56,0.12,A4   V,DEL Leo,0.196,133,0.0461,7.3,P,11 14 06.5,+20 31 25
1157,Chi U Maj,11,40.8,48,18,11h45m18.6162s,+47d44m41.1565s,48,1966.0,3.8,K0,0.139,-0.138,-0.08,0.008,7;19,10.8,18,,2721.00,,11 40 46.2,+48 20 02,3.71,1.18,K0.5 IIIb,CHI UMa,0.142,280,0.0168,9.4,G,11 46 03.0,+47 46 46
1158,Delta U Maj,12,10.5,57,35,12h14m56.0641s,+57d01m38.3866s,57,1363.0,3.4,A2,0.106,0.106,0.139,0.046,5;24,11,39,*,2824.00,,12 10 28.6,+57 35 17,3.31,0.08,A3   V,DEL UMa,0.102,87,0.0568,7.8,G,12 15 25.5,+57 01 57
1159,7 C Ven,12,25.3,52,5,12h29m47.1303s,+51d31m49.7238s,52,1631.0,6.2,F8,0.289,-0.289,-0.279,0.033,6;20,12.1,20,*,2882.00,,12 25 19.0,+52 05 15,6.21,0.51,F6-8 V,7 CVn,0.295,274,0.0362,9.8,,12 30 02.8,+51 32 08
1160,Mizar A,13,19.9,55,27,13h23m00.8549s,+54d55m39.3427s,55,1598.0,2.4,A2p,0.127,0.124,0.142,0.037,6;19,10.6,21,*,3062.00,A,13 19 53.9,+55 26 51,2.27,0.02,A1   VpSr*,ZET UMa,0.121,102,0.0417,5.8,G,13 23 55.5,+54 55 31
,,,,,,,,,,,,,,,,,,,*,3062.00,B,13 19 54.8,+55 26 38,3.95,0.13,A1m,ZET UMa,0.120,106,,,,13 23 56.3,+54 55 17
1161,Lal 25087,13,29.2,0,12,13h34m07.4383s,-00d18m46.7125s,0,3075.0,7.4,K0,0.24,-0.24,-0.225,0.011,6;24,11.1,35,,3099.00,M,13 29 10.2,+00 11 54,7.41,0.92,K4   III,,0.225,273,0.0336,6.5,F,13 34 16.2,-00 18 51
,,,,,,,,,,,,,,,,,,,,3099.00,A,13 29 10.2,+00 11 54,7.41,0.92,,,0.225,273,0.0336,6.5,F,13 34 16.2,-00 18 51
1162,84 Virg,13,38.0,4,3,13h43m03.6191s,+03d32m45.2052s,4,2775.0,5.6,K0,0.303,-0.293,-0.248,0.005,4;19,11.3,39,,3129.00,M,13 38 01.9,+04 02 37,5.36,1.11,K2   III,84 Vir,0.280,257,0.0052,5.9,G,13 43 03.7,+03 32 16
1163,Eta Boot,13,49.9,18,54,13h53m46.3134s,+18d24m27.5528s,19,2725.0,2.8,G0,0.37,-0.063,-0.06,0.087,7;30,11,39,,3175.00,,13 49 55.3,+18 53 56,2.68,0.58,G0   IV,ETA Boo,0.369,190,0.0870,1.8,F,13 54 41.1,+18 23 51
1164,Alpha Drac,14,1.7,64,51,14h03m44.0846s,+64d22m14.413s,65,975.0,3.6,A0p,0.055,-0.053,0.021,0.006,5;25,11.1,41,,3209.00,,14 01 40.8,+64 51 13,3.65,-0.05,A0   III,ALP Dra,0.060,285,0.0148,7.5,G,14 04 23.3,+64 22 32
1165,Alpha Boot,14,11.1,19,42,14h15m41.4264s,+19d14m05.2626s,19,2777.0,0.2,K0,2.284,-1.098,-1.097,0.086,6;26,11.6,42,*,3242.00,,14 11 05.9,+19 42 10,-0.04,1.23,K1.5 IIIF*,ALP Boo,2.281,209,0.0884,1.8,G,14 15 39.6,+19 10 56
1166,Lal 26196,14,14.4,-4,41,14h19m13.8374s,-05d08m38.8482s,-4,3665.0,7.6,K0,0.675,-0.115,-0.623,0.044,6;20,11.8,24,,3255.00,A,14 14 25.2,-04 41 15,7.58,0.84,K1   V,G 124-024,0.643,259,0.0528,6.4,G,14 19 34.9,-05 09 04
1167,Gamma Boot,14,28.1,38,45,14h32m02.598s,+38d18m29.7796s,38,2565.0,3,F0,0.186,0.071,-0.109,0.009,5;24,11.5,42,*,3294.00,A,14 28 03.0,+38 44 44,3.03,0.19,A7   III,GAM Boo,0.189,322,0.0159,7.7,G,14 32 04.6,+38 18 29
1168,Grb 2146,14,39.6,64,41,14h41m07.4696s,+64d15m24.7292s,61,1451.0,6.2,F2,0.08,0.071,0.103,0.014,4;18,10.8,33,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1169,Pi 235,14,53.1,50,2,14h56m18.0795s,+49d37m49.8509s,50,2126.0,5.7,F5,0.255,0.108,0.109,0.021,5;24,11.1,37,,3382.00,,14 53 03.8,+50 02 14,5.63,0.50,F7   V,,0.252,155,0.0261,7.3,G,14 56 23.0,+49 37 42
1170,Lal 27744,15,8.8,0,58,15h13m06.0442s,+00d35m29.2891s,0,2944.0,6.7,K0,1.376,-1.284,-1.214,0.056,4;17,10.9,37,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1171,6 Serp,15,15.9,1,5,15h20m05.7896s,+00d43m15.1383s,1,3067.0,5.5,K0,0.121,-0.046,-0.041,-0.001,6;15,10.7,15,,3468.00,M,15 15 56.4,+01 04 44,5.35,1.19,K3   III,6 Ser,0.126,201,0.0063,7.1,G,15 21 01.9,+00 42 54
1172,53 Boot,15,28.2,41,14,15h31m35.0785s,+40d53m38.2531s,41,2611.0,5,A2,0.026,-0.02,0.0,0.012,6;20,11.4,23,*,3508.00,,15 28 12.1,+41 14 19,5.02,0.07,A5   V,NU2 Boo,0.029,248,0.0115,4.9,G,15 31 46.9,+40 53 58
1173,Grb 2270,15,40.1,52,41,15h42m43.9969s,+52d22m00.0289s,52,1898.0,5.5,A0p,0.069,-0.064,-0.054,0.003,4;16,10.7,30,,3565.00,,15 40 07.4,+52 40 35,5.51,-0.07,B9pSiCr,,0.079,292,0.0082,7.2,,15 42 50.7,+52 21 39
1174,Theta Drac,16,0.0,58,50,16h01m56.6052s,+58d33m25.0689s,58,1608.0,4.1,F8,0.461,-0.318,-0.315,0.043,5;22,12.1,37,,3644.00,,16 00 00.7,+58 49 56,4.01,0.52,F8   IV,THE Dra,0.467,316,0.0487,8.4,,16 01 53.2,+58 33 55
1175,Lal 30338,16,35.9,-2,39,16h40m13.3914s,-02d50m45.1841s,-2,4230.0,7.1,G0,0.443,-0.027,-0.023,0.037,5;16,11.5,20,*,3790.00,,16 35 54.9,-02 39 04,7.25,0.62,G2   d,,0.440,183,0.0450,6.7,G,16 41 08.2,-02 51 26
1176,Lal 30664,16,45.1,37,12,16h48m31.3888s,+37d01m30.2705s,37,2804.0,8.2,K0,0.392,-0.071,-0.053,0.042,5;16,11.3,16,,3827.00,,16 45 04.6,+37 11 53,8.41,0.82,K2   V,G 181-009,0.369,192,0.0346,2.8,P,16 48 35.4,+37 00 48
1177,52 Herc,16,46.3,46,9,16h48m55.5805s,+45d58m36.0961s,46,2220.0,4.9,A2p,0.066,0.023,0.047,0.001,5;22,10.5,32,,3830.00,,16 46 18.4,+46 09 25,4.82,0.09,A2   VpSr*,52 Her,0.048,160,0.0049,8.4,,16 49 14.1,+45 58 59
1178,Lal 31055,16,59.8,-4,54,17h04m18.6342s,-05d02m24.8077s,-4,4225.0,7.9,K5p,1.463,-0.929,-0.926,0.095,6;19,11.8,20,*,3878.00,A,16 59 50.8,-04 53 46,7.73,1.16,K5   V,Lal 31005,1.471,219,0.1011,3.3,P,17 05 03.4,-05 03 59
,,,,,,,,,,,,,,,,,,,*,3878.00,B,16 59 48.0,-04 54 00,10.20,,M3   V,,1.446,219,,,,17 05 00.7,-05 04 11
,,,,,,,,,,,,,,,,,,,,3880.00,,17 00 00.0,-04 56 58,10.08,1.44,M0   V,G 019-014,1.461,219,0.1051,7.8,F,17 05 12.7,-05 07 09
1179,Sigma 2146,17,10.9,54,14,17h12m06.4699s,+54d06m55.1428s,54,1869.0,7,F0,0.1,-0.024,0.021,0.001,7;21,10.6,16,,3915.00,,17 11 00.0,+54 15 11,6.90,0.29,A9   III,,0.059,349,0.0048,11.1,,17 13 06.1,+54 08 21
1180,Brad 2228,17,37.0,24,34,17h41m06.6222s,+24d30m57.0783s,24,3225.0,6.5,K0,0.059,-0.023,-0.033,-0.009,6;19,11,20,,4030.00,,17 36 58.9,+24 33 45,6.36,1.20,"K1+F4III,V",,0.046,343,0.0036,7.8,F,17 41 05.5,+24 30 46
