Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag. ,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
654,"W, 17h, 517    ",17,29.9,6,4,6,3455,8.5,G,- .473*,-0.456,0.002,10,26,2.6,14
655,Bu 8068A    ,17,30,6,6,6,3456,7.9,F8,,0.022,0.005,7,18,2.6,14
656,Barnard's Star..,17,52.9,4,25,,,9.7,Mb     ,,-0.739,0.55,7,19,2.6,17
657,Xi Herc,17,53.9,29,16,29,3156,3.8,K0,0.09,0.081,0.018,8,23,2.9,15
658,70 Ophiuc    ,18,0.4,2,31,2,3482,4.1,K0,0.253,0.132,0.184,0.009,0.025,2.9,16
659,Gr 2571    ,18,23.9,46,1,45,2716,8.3,G5,- .340*,-0.356,0.013,7,17,2.3,13
660,Kappa Cygni    ,19,14.8,53,11,53,2216,4,K0,0.068,0.061,0.027,8,23,2.8,17
661,Beta 1 Cygni    ,19,26.7,27,45,27,3410,3.2,K0,0.001,-0.024,-0.01,8,20,2.7,15
662,Beta 2 Cygni    ,19,26.7,27,45,27,3411,5.4,B9,-0.007,-0.028,0.014,10,27,2.5,15
663,Beta Aquilae    ,19,50.4,6,9,6,4357,3.9,K0,0.036,0.022,0.078,5,18,2.6,14
664,Gamma Sagittae    ,19,54.3,19,13,19,4229,3.7,K5,0.064,0.02,0.003,11,25,2.3,12
665,Epsilon Cygni    ,20,42.2,33,36,33,4018,2.6,K0,0.364,0.349,0.054,5,14,2.6,15
666,Eta Cephei    ,20,43.3,61,27,61,2050,3.6,K0,0.103,0.087,0.066,7,17,2.4,17
667,P.G.C. 5511,21,21.7,46,17,46,3305,5.5,F0,0.203,0.182,0.016,11,27,2.5,15
668,Omicron Cephei ,23,14.5,67,34,67,1514,4.9,G5+,0.065,0.06,0.027,1,26,2.4,14
669,Kappa Andr    ,23,35.5,43,47,43,4522,4.3,A0,0.081,0.085,0.005,8,23,2.7,17
670,Lal 1299    ,0,43.1,4,46,4,123,5.8,G5,0.751,0.72,0.137,5,17,3.8,26
671,Wolf 28    ,0,43.1,4,55,,,12.3,F,,1.202,0.239,9,34,3.6,24
672,"Weisse 3h, 113",3,9.4,8,37,8,482,7.7,K0,.426*,0.386,0.038,5,20,3.7,21
673,Omicron 2 Eridani     ,4,10.7,-7,49,-7,780,4.5,G5,-2.194,-2.233,0.198,6,24,4.1,25
674,Delta 1 Tauri    ,4,17.1,17,18,17,712,3.9,K0,0.113,0.105,0.013,7,27,3.9,22
675,132 Tauri    ,5,42.9,24,32,24,970,5,K0,0.006,0.003,0.002,4,14,3.7,19
676,136 Tauri    ,5,47,27,35,27,899,4.5,A0,0.014,0.027,0.016,6,22,3.7,19
677,38 Aurigae    ,5,56.1,42,55,42,1473,6.1,G5,0.125,0.11,0.011,4,17,4.1,22
678,Psi Aurigae    ,6,17,49,20,49,1488,5.1,K2,0.013,0 .000,0 .000,5,19,3.8,20
679,17 Monoc    ,6,41.9,8,9,8,1496,5,K0,-0.018,-0.022,0.012,5,21,4.3,26
680,56 Gem    ,7,16,20,38,20,1775,5.2,K2,-0.058,-0.062,-0.001,4,18,4.1,24
681,74 Gem    ,7,33.7,17,54,18,1701,5.2,K5,0.006,-0.002,0 .000,4,19,4.4,28
682,Alpha Lyncis    ,9,15,34,49,35,1979,3.3,K5,-0.214,-0.223,0.022,7,27,3.7,23
683,Lal 19267    ,9,44.5,11,34,11,2108,7.5,F8,- .341*,-0.299,0.012,7,24,3.4,23
684,Lal 19821    ,10,6.3,24,15,24,2193,8.6,G0,- .409*,-0.396,0.015,4,16,3.8,22
685,Lal 20253    ,10,21.8,20,20,20,2488,8.9,F8,- .184*,-0.172,0.033,7,25,3.7,24
686,6 Comae    ,12,10.9,18,27,15,2436,5.1,A2,-0.069,-0.042,0.018,4,16,3.6,22
687,Lal 24760    ,13,15.5,38,41,38,2431,7.9,K0,- .389*,-0.418,0.02,7,25,3.6,25
688,69 H. Urs. Maj.,13,24.8,60,28,60,1461,5.4,A0,-0.082,-0.057,0.017,5,17,3.5,23
689,Rad 3328    ,15,3.4,54,56,55,1730,5.2,G5,0.047,0.049,0.025,5,19,3.5,22
690,Lal 29644    ,16,9.3,39,36,39,2963,8.2,G0,- .258*,-0.271,0.006,7,24,3.6,22
691,Nu 1 Cor. Bor    ,16,18.6,34,1,34,2773,5.4,Ma,0.009,0.022,-0.003,6,19,3.5,21
692,Nu 2 Cor. Bor    ,16,18.7,33,56,34,2774,5.3,K5,0.008,0.006,0.022,7,24,3.6,22
693,Beta Herc,16,25.9,21,24,21,2934,2.8,K0,-0.101,-0.092,0.009,5,23,4.3,36
694,Lal 30189    ,16,30.6,9,2,9,3230,9.4,G,+ .064*,0.075,0.004,5,20,3.8,28
695,51 Herc    ,16,47.6,24,49,24,3069,5.2,K0,0.02,0.022,0.007,7,24,3.4,20
696,e Ophiuc,17,13.9,10,58,11,3156,5.3,K5,0.001,0 .000,-0.005,7,26,3.8,23
697,Lambda Herc    ,17,26.7,26,11,26,3034,4.5,K0,0.019,-0.014,0.007,5,19,4.1,26
698,42 Drac    ,18,25.7,65,30,65,1271,5,K0,0.103,0.102,0.016,7,25,3.6,28
699,R Scuti    ,18,42.1,-5,49,-5,4760,var.,K0p,-0.061,-0.043,-0.006,6,21,3.7,27
700,Lal 35346    ,18,51.7,23,26,23,3500,8.4,K0,+ .124*,0.12,0.039,5,18,3.5,24
701,Lal 36268    ,19,11.9,14,22,14,3852,5.5,A0,0.016,0.001,0.016,6,23,3.6,25
702,4 Cygni    ,19,22.6,36,7,36,3557,5.2,A0p,0.01,0.001,-0.014,7,24,3.5,22
703,Lal 36921    ,19,25,34,24,34,3566,8.2,G5,+ .050*,0.05,0.002,5,18,3.4,20
704,"W2 19h, 721",19,25.5,31,25,31,3618,7,G5,- .023*,-0.025,0.046,6,22,3.7,26
705,Lal 37074    ,19,29.1,27,10,27,3428,8.5,F5,- .083*,-0.07,0.003,5,19,3.5,23
706,9 Cygni    ,19,30.9,29,15,29,3651,5.4,F5**,0.021,0.014,0.016,4,16,4,27
707,Zeta Sagittae    ,19,44.5,18,53,18,4254,5,A2,0.022,0.011,0.004,5,21,3.9,26
708,Eta Aquilae    ,19,47.4,0,45,0,4337,var.,G0p,0.011,0.01,0.003,6,20,3.5,27
709,T Cygni    ,20,43.2,34,0,33,4028,5.2,K0,0.049,0.033,0.001,4,15,3.7,24
710,Lal 40604    ,20,53.1,42,30,42,3915,7.9,K0,+ .186*,0.209,0.001,6,23,3.6,23
711,B.D. +3  4492    ,20,58.9,3,43,3,4492,8.5,K5,-0.009,0.004,0.014,6,22,3.5,26
712,"Weisse 20h, 1453",20,59.1,3,35,3,4493,8.5,G5,- .093*,-0.076,0.008,6,20,3.6,27
713,35 Vulpec    ,21,23.3,27,10,26,4164,5.4,A0,0.039,0.044,0.01,5,18,3.8,27
714,Sigma 57    ,21,32.3,66,17,66,1415,7,K0,-0.018,-0.035,0.0158,8,24,3,19
715,Sigma 57    ,21,32.5,66,20,66,1416,7.2,K2,0.031,-0.018,0.002,6,20,3.1,20
,Mean    ,,,,,,,,,,,0.008,5,,,
716,"Pi 22h, 195    ",22,37,14,0,13,4974,6.1,K0,0.096,0.073,-0.011,7,23,3.2,20
717,Brad 3054    ,22,59.7,66,40,66,1575,5.5,K0,0.028,-0.006,-0.007,6,20,3.4,21
718,6 Andr    ,23,5.8,43,0,42,4592,5.8,F5,-0.198,-0.194,0.005,6,20,3.4,22
719,Mayer 968    ,23,24.4,-5,5,-5,5999,6.4,K2,0.175,0.173,0.006,5,19,3.4,23
720,47 Piscium    ,0,22.8,17,20,17,55,5.3,Mb,0.119,0.092,0.01,7,28,4,26
721,Alpha Cass,0,34.8,55,59,55,139,2.5,K0,0.053,0.049,0.004,5,23,4.3,31
722,Phi Cass ,1,13.8,57,42,57,260,5.2,F5p,0.011,-0.001,-0.008,4,19,4.2,28
723,Lal 3972,2,5.9,56,44,56,449,7,G0,+ .266*,0.258,0.018,6,22,4,25
724,84 Ceti    ,2,36.1,-1,7,-1,377,5.7,F5,0.213,211,0.032,5,22,4.4,27
725,Omega Persei,3,4.8,39,14,39,724,4.8,K0,-0.02,-0.026,0.019,4,20,4.6,30
726,Gamma Camel    ,3,39.8,71,1,70,259,4.7,A0,0.028,0.027,0.006,4,17,4.4,27
727,Mu Persei,4,7.6,48,9,48,1063,4.3,G0,0.014,0.005,0.005,5,20,4.5,27
728,58 Persei    ,4,29.8,41,4,40,1000,4.5,G4p,-0.005,-0.021,0.016,4,17,4.5,28
729,111 Tauri    ,5,18.6,17,17,17,920,5.1,G0,0.247,0.256,0.062,6,27,4.5,26
730,56 Orion    ,5,47.2,1,50,1,1151,5,K0,0.003,-0.007,0.003,4,21,4.7,29
731,40 Aurigae    ,5,59.7,38,30,38,1377,5.3,A3,0.014,0.004,-0.003,5,22,4.4,26
732,"W1 6h, 1500   ",6,51.4,1,18,1,1600,7.7,G5,+ .000*,-0.002,0.031,4,20,4.5,27
733,64 Gem    ,7,23.1,28,19,28,1396,5,A2,-0.03,-0.037,0.003,4,16,4.4,27
734,76 Gem    ,7,38,26,1,26,1633,5.4,K5,-0.018,-0.008,0.002,4,20,4.5,28
735,Lal 17050    ,8,34.4,6,7,6,2007,7.8,G5,+ .167*,0.185,0.034,6,24,4.3,29
736,Lal 17053    ,8,34.4,6,8,,,,,+ .153*,0.187,-0.022,6,26,4.3,29
,Mean    ,,,,,,,,,,,0.006,0.004,,,
737,Fed 1466    ,9,12,65,26,65,703,7.6,G5,-0.141*,-0.139,0.02,5,0.004,4.2,27
738,Pi 96    ,10,27.7,49,42,49,1966,7.6,F8,0.267,0.329,0.017,6,23,4,27
739,65 Leonis    ,11,1.8,2,30,2,2387,5.7,G5,-0.373,-0.381,0.032,6,23,3.8,24
740,23 Comae    ,12,29.9,23,11,23,2475,4.8,A0,-0.069,0.001,-0.003,6,23,3.7,26
741,82 Virginis    ,13,36.4,-8,12,-7,3674,5.2,Ma,-0.099,-0.063,0.008,7,24,3.6,27
742,Mayer 576    ,14,31.7,-11,53,-11,3770,6.2,F8,-0.868,-0.863,0.031,5,20,3.9,27
743,Omicron Bootis,14,40.6,17,23,17,2780,4.7,K0,-0.053,-0.032,0.039,5,19,4.1,29
744,110 Virginis,14,57.8,2,29,2,2905,4.6,K0,-0.046,-0.047,0.016,6,25,4.1,32
745,Lal 28017    ,15,13.5,67,44,67,876,5.2,G0,0.218,0.22,0.043,7,26,3.8,27
746,5 Herc    ,15,56.7,18,6,18,3101,5.3,G5,-0.049,-0.053,-0.011,4,17,4,30
747,Delta Ophiuc,16,9.1,-3,26,-3,3903,3,Ma,-0.046,-0.036,0.026,4,18,4.2,32
748,42 Herc    ,16,36,49,7,49,2531,5.1,Ma,-0.031,-0.057,0.014,7,27,3.8,27
749,60 Herc,17,0.7,12,53,12,3142,4.9,A3,0.057,0.064,0.015,5,20,4.1,30
750,Lal 31478    ,17,14.6,-7,55,-7,4427,8,G0,- .009*,-0.005,0.007,6,23,4.1,34
751,Zeta Serp,17,55.2,-3,41,-3,4217,4.6,F0,0.147,0.162,0.048,5,21,4.1,28
752,Omicron Herc,18,3.6,28,45,28,2925,3.8,A0,0.007,0.001,-0.011,5,21,3.9,27
753,Brad 2293 ,18,11.6,-3,2,-3,4263,6.1,G5,0.016,0.031,0.002,6,27,4.8,40
754,Kappa Lyrae,18,16.4,36,1,36,3094,4.3,K0,-0.018,-0.014,0.007,5,18,3.8,26
755,45 Drac,18,30.8,56,58,56,2113,5,F8p,0,-0.006,0.005,5,20,4.2,28
756,Lal 35488    ,18,55,30,2,29,3423,6.6,G0,+ .039*,0.048,0.038,4,18,4.1,30
757,Gamma Lyrae,18,55.2,32,33,32,3286,3.3,A0p,0.001,-0.004,0.009,4,18,4.3,30
758,12 Aquilae    ,18,56.3,-5,53,-5,4840,4.2,K0,-0.028,-0.028,0.014,6,21,3.8,27
759,23 Aquilae    ,19,13.5,0,54,0,4168,5.3,K0,0.006,0.002,-0.007,6,21,3.6,24
760,Nu Aquilae,19,21.4,0,8,0,4206,4.9,F0,-0.007,0.013,-0.009,7,25,3.8,29
761,Sigma Drac ,19,32.6,69,29,69,1053,4.8,K0,0.547,0.564,0.177,7,25,3.7,28
762,13 Vulpec    ,19,49.2,23,49,23,3820,4.5,A0,0.033,0.008,0 .000,6,22,3.9,28
763,Lal 38683,20,6.6,15,53,15,4074,7.3,K0,- .419*,-0.427,0.028,6,22,4,30
764,41 Cygni    ,20,25.3,30,2,29,4057,4.1,F5p,0.013,0.005,0.011,6,23,4,27
765,52 Cygni    ,20,41.5,30,21,30,4167,4.3,K0,-0.01,-0.022,0.009,5,19,4,28
766,Epsilon Aquarii,20,42.3,-9,52,-10,5506,3.8,A0,0.031,0.018,0.002,6,21,3.8,28
767,Alpha Equulei    ,21,10.8,4,50,4,4635,4.1,F8,0.06,0.054,0.002,4,18,4.1,30
768,Gr 3436    ,21,16.8,52,33,52,2916,6.9,G5,-0.002,0.006,-0.003,5,19,3.7,28
769,Gr 3436    ,21,16.8,52,33,33,,,,,-0.001,-0.002,4,16,3.7,28
,Mean    ,,,,,,,,,,,-0.002,3,,,
770,12 Pegasi    ,21,41.5,22,29,22,4472,5.4,K0,0.011,-0.004,0.002,5,18,3.8,26
771,Lal 42883    ,21,54.3,29,21,29,4550,6.8,F5,-0.383,-0.371,0.024,6,23,4,29
772,32 Aquarii    ,21,59.6,-1,23,-1,4242,5.2,A3,-0.013,-0.037,0.004,6,21,3.7,28
773,Brad 2935    ,22,1.8,82,23,82,673,7.1,F5,-0.136,-0.132,0.007,7,25,3.8,29
774,Gr 3709    ,22,1.9,82,23,82,674,7.4,F5,-0.138,-0.139,0.007,6,22,3.8,29
,Mean,,,,,,,,,,,0.007,5,,,
775,37 Pegasi    ,22,24.9,3,55,3,4713,5.5,F5,-0.028,-0.055,0.031,6,22,3.9,29
776,Lambda Aquarii,22,47.4,-8,7,-8,5968,3.8,Ma,0.007,-0.003,0.009,5,19,3.8,28
777,56 Pegasi    ,23,2.2,24,56,24,4716,5,K0,0.003,-0.026,-0.008,6,24,3.7,28
778,57 Pegasi    ,23,4.5,8,8,7,4981,5.4,Mb,0.006,-0.029,0.007,5,21,4.1,29
779,59 Pegasi    ,23,6.7,8,11,7,4991,5.2,A3,-0.013,-0.023,0.019,6,22,4,27
