Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
37,71 Cygni,21 26 0.00,+46 6 0.00,21 29 26.9,+46 32 26,+45˚3558,5.3,K,40,8;23,,24,4.9,5183.0--,
38,Epsilon Pegasi,21 39 0.00,+9 25 0.00,21 44 11.1,+09 52 30,+9˚4891,2.5,K,-22,9;29,,4,8.6,5242.0--,
39,Xi Cephei (prec),22 1 0.00,+64 8 0.00,22 03 47.4,+64 37 40,+63˚1802,6.5,,24,9;25,,30,6.4,5333.0A,
40,Xi Cephei (fol),22 1 0.00,+64 8 0.00,22 03 47.4,+64 37 40,+63˚1802,4.4,A8,45,12;31,,30,6.4,5333.0A,
,Mean,,,,,,,,32,7;--,,,,0.00,
41,Pi Pegasi,22 6 0.00,+32 41 0.00,22 09 59.2,+33 10 41,+32˚4652,4.4,F5,None,7;24,,4,11.0,5364.0--,
42,Zeta Cephei,22 7 0.00,+57 42 0.00,22 10 51.2,+58 12 04,+57˚2475,3.6,K,23,9;27,,14,9.0,5372.0--,
43,Iota Lacertae,22 12 0.00,+37 15 0.00,22 15 58.2,+37 44 55,+37˚4526,4.2,K,None,10;20,,,8.9,5393.0--,
44,3 Lacertae,22 20 0.00,+51 44 0.00,22 23 33.6,+52 13 44,+51˚3358,4.6,K,12,8;23,,19,9.6,5418.0--,
45,35 Pegasi,22 23 0.00,+4 12 0.00,22 27 51.5,+04 41 44,+3˚4710,4.9,K,28,7;19,,22,7.5,5428.0--,
46,7 Lacertae,22 27 0.00,+49 46 0.00,22 31 17.4,+50 16 56,+49˚3875,3.9,A,39,9;26,,35,10.2,5449.0--,
47,Eta Pegasi,22 38 0.00,+29 42 0.00,22 43 00.1,+30 13 16,+29˚4741,3.1,G,-2,13;37,,17,4.1,5503.0A,
48,2 Andromedae,22 58 0.00,+42 13 0.00,23 02 36.3,+42 45 28,+41˚4665,5.1,A2,50,8;20,,19,10.1,5580.0A,
49,Kappa Piscium,23 22 0.00,+0 42 0.00,,,+0˚4998,4.9,A2,38,11;26,,,,0.00,
50,Omega Piscium,23 54 0.00,+6 19 0.00,23 59 18.6,+06 51 47,+6˚5227,4,F5,-2,9;17,,17,8.2,5795.0--,
51,Lambda Aurigae,05 12 0.00,+40 1 0.00,05 19 08.4,+40 05 57,+39˚1248,4.8,G0,62,7;19,,73,5.7,1199.0--,
52,Omicron Aurigae,05 38 0.00,+49 47 0.00,05 45 53.9,+49 49 34,+49˚1398,5.5,A0,12,7;20,,16,11.1,1312.0--,
53,4 Geminorum,06 4 0.00,+23 1 0.00,06 10 29.9,+22 59 52,+23˚1232,6.7,B9,None,7;20,,2,11.1,1420.0A,
54,Omicron Sigma 149,06 30 0.00,+27 21 0.00,06 36 26.2,+27 16 41,+27˚1164,6.9,G0,21,4;10,,23,3.8,1535.0M,
55,Xi Geminorum,06 40 0.00,+13 0 0.00,06 45 17.3,+12 53 43,+13˚1396,3.4,F5,55,8;23,,53,9.6,1573.0--,
56,18 Monocerotis,06 43 0.00,+2 31 0.00,06 47 51.6,+02 24 44,+2˚1397,4.7,K0,19,10;25,,15,9.3,1589.0--,
57,Tau Geminorum,07 5 0.00,+30 25 0.00,07 11 08.3,+30 14 42,+30˚1439,4.5,K0,5,10;25,,7,6.0,1676.0--,
58,Delta Geminorum,07 14 0.00,+22 10 0.00,07 20 07.4,+21 58 56,+22˚1645,3.5,F0,55,7;19,,57,5.9,1718.0A,
59,6 Canis Minoris,07 24 0.00,+12 13 0.00,07 29 47.7,+12 00 23,+12˚1567,4.8,K0,19,8;19,,26,9.6,1770.0--,
60,Nu Geminorum,07 30 0.00,+27 7 0.00,07 35 55.3,+26 53 44,+27˚1424,4.2,K5,10,10;25,,13,10.7,1788.0--,
61,Sigma Geminorum,07 37 0.00,+29 8 0.00,,,+29˚1590,4.3,K0,15,6;13,,,,0.00,
62,Kappa Geminorum,07 30 0.00,+24 38 0.00,07 44 26.8,+24 23 52,+24˚1759,3.7,G5,25,7;20,,24,7.7,1824.0--,
63,13 Canis Minoris,07 57 0.00,+2 37 0.00,08 02 15.9,+02 20 04,+2˚1854,4.5,K0,-17,7;20,,21,7.6,1908.0--,
