Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
516,Omega Sigma (App.) 226,21 51 0.00,+67 39 0.00,21 52 55.9,+68 05 55,+67˚1372,7.6,K0,-19,7;17,15,,,5297.0B,
,Mean,,,,,,,,-14,5;--,,,,0.00,
517,Lal 43751,22 19 30.00,+38 4 0.00,22 23 54.2,+38 34 25,+37˚4560,6.2,F8,-13,6;15,14,-3,8.7,5417.0--,
518,Fed 4220,22 33 36.00,+72 22 0.00,22 36 08.7,+72 52 52,+72˚1050,7.5,F5,34,10;25,14,37,10.3,5478.0M,
519,Fed 4221,22 33 42.00,+72 21 0.00,22 36 08.7,+72 52 52,+72˚1051,8.3,G,32,9;21,12,37,10.3,5478.0M,
,Mean,,,,,,,,33,7;--,,,,0.00,
520,Omega Sigma 478,22 39 36.00,+38 56 0.00,22 44 05.2,+39 27 56,+38˚4855,6.1,K5,3,6;18,15,5,7.8,5507.0A,
521,Omicron Pegasi,22 47 18.00,+9 18 0.00,22 52 24.1,+09 50 08,+9˚5122,5.3,F5,28,9;23,15,44,7.6,5539.0A,
522,Pi Cephei,23 4. 42.00,+74 51 0.00,23 07 53.9,+75 23 15,+74˚1006,4.6,G5,3,8;25,15,5,8.0,5607.0--,
523,70 Pegasi,23 24 6.00,+12 13 0.00,23 29 09.3,+12 45 37,+11˚5009,4.7,K0,-11,9;26,15,16,10.2,5686.0--,
524,72 Pegasi,23 29 0.00,+30 46 0.00,23 33 57.2,+31 19 30,+30˚4978,5.2,K2,3,11;28,13,6,16.8,5698.0--,
525,Lamda Piscium,23 36 54.00,+1 14 0.00,23 42 02.7,+01 46 47,+0˚5037,4.6,A5,27,12;29,14,25,11.0,5734.0--,
526,Anonymous,23 37 6.00,+1 7 0.00,23 42 14.2,+01 40 16,,10,,18,9;22,15,8,9.8,5738.0--,
527,Lal 7116,03 46 12.00,+22 22 0.00,03 52 05.5,+22 40 19,+22˚583,7.8,G0,31,9;24,13,35,10.6,846.0--,
528,Lal 8758,04 35 0.00,+38 5 0.00,04 41 50.2,+38 16 48,+37˚954,5.8,F5,20,10;32,14,22,15.4,1035.0--,
529,Lal 11870,06 8. 36.00,+2 51 0.00,,,+2˚1163,7.9,K0,4,6;20,18,,,0.00,
530,58 Cancri,08 49 42.00,+28 19 0.00,08 55 39.6,+27 55 39,+28˚1666,5.2,G5,-8,8;21,17,-5,12.5,2131.0--,
531,Mu Virginis,14 37 48.00,-5 13 0.00,14 43 03.6,-05 39 29,-5˚3936,4,F5,30,5;15,16,44,6.2,3325.0--,
532,Lal 33251,18 1. 12.00,+33 16 0.00,,,+33˚3019,7.6,G0,7,7;19,17,,,0.00,
533,Theta Cass,01 5. 0.00,+54 37 0.00,01 11 06.1,+55 09 00,+54˚236,4.5,A5,3,6;22,22,8,6.4,241.0--,
534,33 Arietis,02 34 48.00,+26 38 0.00,02 40 41.0,+27 03 38,+26˚443,5.4,A2,-7,6;22,21,-1,9.8,539.0--,
535,Rho Tauri,04 28 12.00,+14 38 0.00,04 33 50.8,+14 50 39,+14˚720,4.8,A5,20,6;20,19,24,8.2,1003.0--,
536,Lal 10262,05 23 12.00,+12 28 0.00,05 28 51.6,+12 33 02,+12˚801,6.8,F8,36,6;23,19,39,9.8,1240.0A,
537,Gr. 1216,06 38 12.00,+44 20 0.00,06 45 28.9,+44 14 00,+44˚1528,7.8,G0,11,4;15,21,13,7.2,1568.0--,
538,Rad 1805,06 39 54.00,+55 49 0.00,06 48 12.2,+55 42 15,,6.3,,28,7;23,18,31,8.3,1574.0A,
539,Rad 1806,06 39 54.00,+55 49 0.00,06 48 12.2,+55 42 15,,6.3,,27,8;27,18,31,8.3,1574.0A,
,Mean Sigma 958,,,,,+55˚1122,,F5,28,5;--,,,,0.00,
540,Lal 16469,08 19 30.00,+0 49 0.00,,,+0˚1987,6.8,G0,38,6;20,20,,,0.00,
541,Sigma 1311,09 1. 42.00,+23 23 0.00,,,,7.1,F4,3,7;23,18,,,0.00,
542,Sigma 1311,09 1. 42.00,+23 23 0.00,,,+23˚2048,6.7,F3,-12,6;19,18,,,0.00,
,Mean,,,,,,6.3,F5,6,5;--,,,,0.00,
543,Lamda Leonis,09 26 0.00,+23 25 0.00,09 31 43.2,+22 58 04,+23˚2107,4.5,K5,14,5;20,24,19,6.7,2264.0--,
544,22 Leonis,09 46 12.00,+24 52 0.00,09 51 53.0,+24 23 43,+25˚2169,5.3,A2,34,6;24,24,38,9.8,2333.0--,
545,Nu Urs. Maj.,11 13 6.00,+33 38 0.00,11 18 28.7,+33 05 38,+33˚2098,3.7,K0,3,9;29,21,17,11.0,2626.0--,
546,Lambda Drac,11 25 30.00,+69 53 0.00,11 31 24.2,+69 19 51,+70˚665,4.1,Ma,23,8;24,16,23,7.8,2661.0--,
547,Nu Virginis,11 40 42.00,+7 5 0.00,11 45 51.5,+06 31 45,+7˚2479,4.2,Ma,3,10;23,15,13,8.7,2720.0--,
548,Sigma 1678,12 40 24.00,+14 55 0.00,12 45 26.5,+14 21 49,+15˚2503,7,,11,8;24,19,16,12.5,2937.0--,
549,Sigma 1678,12 40 24.00,+14 55 0.00,12 45 26.5,+14 21 49,+15˚2504,6.8,AO,0 .000,10;31,19,16,12.5,2937.0--,
550,Sigma 1788,13 49 42.00,-7 34 0.00,13 54 58.3,-08 03 32,-7˚3728,6.2,F8,17,7;19,16,20,11.1,3173.0--,
551,Beta 1270,13 58 42.00,+8 58 0.00,14 03 43.3,+08 29 13,+9˚2842,7.8,F5,13,7;24,22,19,5.5,3203.0--,
552,Beta 1085,14 53 42.00,-4 35 0.00,14 58 52.8,-04 59 21,-4˚3783,6,F5,6,5;17,23,10,7.5,3384.0A,
553,W1 583,15 33 12.00,+10 35 0.00,15 37 59.2,+10 14 23,+10˚2886,7,F8,11,5;16,20,14,8.4,3532.0--,
554,L Bo 2294,15 43 6.00,+1 53 0.00,15 48 09.4,+01 34 18,+2˚3001,7.9,G5,31,8;24,18,33,12.5,3574.0--,
555,Xi 2 Scorpii,15 58 54.00,-11 6 0.00,16 04 22.2,-11 22 22,-10˚4237,4.8,F8,41,5;16,18,43,4.2,3636.0M,
556,Phi Herc,16 5. 36.00,+45 12 0.00,16 08 46.1,+44 56 06,+45˚2376,4.3,B9p,8,6;20,21,16,9.8,3667.0--,
557,49 Serp,16 8. 36.00,+13 48 0.00,16 13 18.4,+13 31 39,,6.9,G9,34,6;18,17,53,5.2,3681.0M,
558,49 Serp,16 8. 36.00,+13 48 0.00,16 13 18.4,+13 31 39,,6.7,G9,48,6;17,18,53,5.2,3681.0M,
,Mean Sigma 2021,,,,,+13˚3091,6.8,K0,41,4;--,,,,0.00,
559,Eta Drac,16 22 36.00,+61 44 0.00,16 23 59.4,+61 30 52,+61˚1591,2.9,G5,48,5;18,24,44,7.3,3740.0M,
560,W1 906,16 50 6.00,-8 9 0.00,16 55 26.5,-08 19 07,-8˚4352,9.2,K5p,162,9;27,20,169,6.6,3844.0--,
561,c Herc,17 4. 30.00,+36 4 0.00,17 08 02.1,+35 56 07,+36˚2827,5.4,A5,10,8;26,22,13,6.8,3894.0--,
562,Gr 2433,17 15 18.00,+60 47 0.00,17 16 29.4,+60 40 14,+60˚1743,var,K0,-2,5;17,19,1,8.4,3937.0--,
563,Lal 32025,17 23 0.00,+73 6 0.00,17 20 54.2,+73 00 49,+73˚767,8.3,K0,20,8;25,20,26,8.1,3963.0--,
564,Lal 31842,17 23 36.00,+26 52 0.00,17 27 34.6,+26 47 41,+26˚3023,8,G5,25,8;25,20,27,12.5,3966.0--,
565,Alpha Ophiuc,17 30 18.00,+12 38 0.00,17 34 56.0,+12 33 35,+12˚3252,2.1,A5,39,8;28,25,63,4.4,4000.0--,
566,Lal 32769,17 43 0.00,+72 27 0.00,17 41 06.7,+72 25 12,+72˚803,8.4,K0,26,6;16,20,34,8.3,4066.0--,
567,Lal 32664,17 47 36.00,-7 53 0.00,17 52 58.6,-07 55 10,-7˚4517,7.6,G5,11,9;26,20,15,10.2,4079.0--,
568,Lal 33193,18 0. 6.00,+30 23 0.00,,,+30˚3113,6.7,F5,22,5;16,20,,,0.00,
569,40 Drac,18 7. 30.00,+79 59 0.00,18 00 08.7,+80 00 15,+79˚570,6.2,F5,18,7;22,21,26,5.7,4176.0A,
570,41 Drac,18 7. 36.00,+79 59 0.00,18 00 08.7,+80 00 15,+79˚571,5.8,F5,6,7;22,21,26,5.7,4176.0A,
,Mean Sigma 2308,,,,,,,,12,5;--,,,,0.00,
571,36 Drac,18 13 18.00,+64 22 0.00,18 13 53.7,+64 23 50,+64˚1252,5,F5,37,8;25,19,46,1.9,4200.0--,
572,Lal 34175,18 24 42.00,-1 53 0.00,18 29 52.3,-01 49 05,-1˚3500,8.2,K5,56,7;19,18,52,7.5,4254.0--,
573,Beta 971,18 44 54.00,+49 20 0.00,18 47 29.5,+49 25 55,+49˚2871,7.2,F5,18,6;18,18,19,7.2,4347.0--,
574,Beta 648,18 53 18.00,+32 46 0.00,18 57 01.5,+32 54 04,+32˚3267,5.2,G0,55,7;24,22,62,3.4,4399.0M,
575,17 Lyrae,19 3. 36.00,+32 21 0.00,19 07 25.5,+32 30 06,+32˚3326,5,F0,4,6;18,17,14,6.9,4458.0--,
576,Gr 2789,19 9. 30.00,+49 40 0.00,,,,6.8,G4,39,4;13,19,,,0.00,
577,Dorpat 2258,19 9. 30.00,+49 40 0.00,,,,6.6,G6,35,6;19,20,,,0.00,
,Mean Sigma 2486,,,,,+49˚2959,,G5,37,3;--,,,,0.00,
578,Alpha Vulpec,19 24 30.00,+24 28 0.00,19 28 42.3,+24 39 53,+24˚3759,4.6,Ma,14,7;18,16,10,9.2,4557.0--,
579,8 Vulpec,19 24 48.00,+24 34 0.00,19 28 57.1,+24 46 07,+24˚3761,6,K0,2,6;17,16,4,9.8,4558.0--,
580,Pi 182,19 30 54.00,+0 7 0.00,,,+0˚3788,7.9,G5,-5,8;22,17,,,0.00,
581,15 Sagittae,19 59 36.00,+16 48 0.00,20 04 06.2,+17 04 13,+16˚4121,5.9,G0,69,8;21,17,59,5.5,4760.0--,
582,Theta Sagittae,20 5. 30.00,+20 37 0.00,20 09 56.6,+20 54 54,+20˚4453,6.3,F2,40,6;19,17,31,6.4,4785.0A,
383,Sigma 2671,20 15 54.00,+55 5 0.00,20 18 24.7,+55 23 50,,7.5,B9,25,9;23,16,,6.7,4847.0A,
584,Sigma 2671,20 15 54.00,+55 5 0.00,20 18 24.7,+55 23 50,,6,B9,-4,7;20,18,,6.7,4847.0A,
,Mean,,,,,+54˚2329,5.7,A0,7,6;--,,,,0.00,
585,39 Cygni,20 19 54.00,+31 52 0.00,20 23 51.6,+32 11 24,+31˚4062,4.6,K2,8,7;20,18,11,8.9,4860.0--,
586,Gr 3263,20 38 12.00,+60 9 0.00,20 40 17.9,+60 30 18,+59˚2272,6,F5,13,6;17,15,21,8.4,4936.0--,
587,4 Equulei,21 0. 30.00,+5 34 0.00,21 05 26.7,+05 57 29,+5˚4697,6,F8,8,8;24,17,13,10.7,5071.0--,
588,Pulk 55 3131,21 23 18.00,+48 24 0.00,21 26 51.6,+48 50 06,+48˚3390,5.3,A3,None,7;23,20,4,11.1,5167.0--,
589,29 Pegasi,21 28 24.00,+20 16 0.00,21 32 58.3,+20 42 42,,8,,5,8;20,14,15,8.9,5197.0A,
590,29 Pegasi,21 28 24.00,+20 16 0.00,21 32 58.3,+20 42 42,,7.5,,18,8;20,14,15,8.9,5197.0A,
,Mean Sigma 2804,,,,,+20˚4955,7.1,F5,12,6;--,,,,0.00,
591,Brad 3077,23 8. 30.00,+56 37 0.00,,,+56˚2966,5.6,K2,137,6;19,21,,,0.00,
592,Brad 3094,23 15 0.00,+47 50 0.00,23 19 41.6,+48 22 52,+47˚4114,6.4,K0,-7,7;22,19,-3,11.1,5645.0--,
593,Lal 1677,00 54 6.00,+31 57 0.00,00 59 35.8,+32 29 32,+31˚153,7,F5,30,7;24,22,20,6.7,195.0--,
594,37 Ceti,01 9. 24.00,-8 28 0.00,01 14 24.0,-07 55 22,-8˚216,5.2,F0,35,8;27,20,57,6.6,253.0A,
595,Pi 171,01 43 0.00,+32 11 0.00,01 48 41.5,+32 41 24,+31˚316,5.8,F5,28,7;27,23,38,8.9,375.0--,
596,48 Cass,01 53 42.00,+70 25 0.00,02 01 57.3,+70 54 24,+70˚153,4.6,A3,22,6;22,21,28,4.0,412.0--,
597,64 Ceti,02 6. 6.00,+8 6 0.00,02 11 21.0,+08 34 11,+7˚347,5.7,G0,30,6;21,21,33,9.8,444.0--,
598,Lal 5490,02 56 0.00,+61 20 0.00,03 04 09.6,+61 42 22,+61˚513,6.7,G0,18,5;18,21,36,4.6,627.0A,
599,Sigma Aurigae,05 17 54.00,+37 18 0.00,05 24 39.1,+37 23 07,+37˚1175,5.2,K5,1,4;16,20,3,7.2,1223.0--,
600,75 Orionis,06 11 36.00,+9 59 0.00,06 17 06.5,+09 56 32,+9˚1173,5.3,A2,10,5;20,22,14,7.6,1461.0A,
601,63 Aurigae,07 4. 48.00,+39 29 0.00,07 11 39.3,+39 19 13,+39˚1882,5.1,K2,19,6;23,21,22,9.8,1675.0--,
602,51 Gem,07 7. 36.00,+16 20 0.00,07 13 22.2,+16 09 32,+16˚1417,5.3,Mb,6,6;24,22,9,9.8,1684.0--,
603,65 Aurigae,07 15 24.00,+36 57 0.00,07 22 02.6,+36 45 38,+37˚1707,5.2,K0,19,6;23,20,21,8.2,1728.0--,
604,65 Gem,07 23 36.00,+28 7 0.00,07 29 48.8,+27 54 57,+28˚1400,5.1,K0,13,5;18,22,16,8.4,1767.0A,
605,68 Gem,07 27 54.00,+16 2 0.00,07 33 36.3,+15 49 35,+16˚1510,5.1,A2,8,4;16,23,12,7.2,1784.0--,
606,Lal 15307,07 48 36.00,+50 48 0.00,07 56 10.0,+50 32 27,+50˚1489,8.5,G5,4,6;21,21,7,9.8,1866.0--,
607,Lal 15882,08 3. 42.00,+35 45 0.00,,,+35˚1767,6.6,F8,19,4;16,22,,,0.00,
608,Lal 16530,08 20 30.00,+7 53 0.00,08 25 54.8,+07 33 52,+8˚2053,5.2,K0,3,8;28,20,16,9.6,2000.0--,
609,Sigma 1245,08 30 30.00,+6 58 0.00,08 35 50.9,+06 37 13,+7˚1997,6,F5,48,7;27,20,49,5.4,2048.0A,
610,7 Leonis,09 30 24.00,+14 50 0.00,09 35 52.9,+14 22 46,+15˚2077,6.2,A0,-1,6;21,18,4,9.8,2281.0--,
611,Lal 19022,09 37 6.00,+43 10 0.00,09 43 25.5,+42 41 28,+43˚1953,8.1,K2,64,6;21,22,51,4.5,2304.0--,
612,Lal 19449,09 51 30.00,+20 14 0.00,09 57 02.2,+19 45 44,+20˚2399,7.7,G0,20,5;20,24,29,6.4,2354.0A,
613,,09 51 30.00,+20 14 0.00,09 57 02.2,+19 45 44,+20˚2400,8.5,,31,6;24,23,29,6.4,2354.0A,
,Mean,,,,,,,,25,4;--,,,,0.00,
614,Nu Bootis,15 27 18.00,+41 10 0.00,15 30 55.7,+40 49 58,+41˚2609,5.2,K5,17,5;18,22,19,7.3,3506.0--,
615,Iota Serp,15 37 6.00,+20 0 0.00,15 41 33.1,+19 40 13,+20˚3138,4.5,A2,1,7;26,23,17,5.5,3548.0--,
616,Lal 29439,16 2. 54.00,+38 55 0.00,,,+39˚2950,8.6,G5,50,9;30,22,,,0.00,
617,Lal 29917,16 16 30.00,+67 29 0.00,16 16 42.7,+67 14 20,+67˚935,8.9,K5,83,5;19,24,83,2.7,3712.0A,
618,Gr 2624,18 34 54.00,+42 35 0.00,18 38 01.9,+42 39 55,+42˚3123,8.7,G5,45,7;25,22,43,9.4,4300.0--,
619,Gr 2686,18 48 0.00,+38 30 0.00,18 51 25.1,+38 37 35,+38˚3327,7.2,F8,11,8;24,20,13,12.5,4359.0--,
620,"Pi 18h, 273",18 49 48.00,+74 36 0.00,18 47 06.3,+74 43 31,+74˚792,7.3,G0,-16,7;20,17,-8,9.9,4376.0--,
621,Pi Drac,19 20 12.00,+65 31 0.00,19 20 40.1,+65 42 53,+65˚1345,4.6,A2,8,7;23,20,17,8.2,4540.0--,
622,Lal 37272,19 31 42.00,+51 1 0.00,19 34 19.7,+51 14 11,+50˚2815,5.6,F5,32,6;22,25,35,9.8,4600.0--,
623,Phi Cygni,19 35 24.00,+29 55 0.00,19 39 22.6,+30 09 11,+29˚3684,4.8,K0,6,7;24,20,5,9.2,4618.0--,
624,Alpha Sagittae,19 35 36.00,+17 47 0.00,19 40 05.7,+18 00 49,+17˚4042,4.4,G0,-5,5;17,24,-2,6.5,4619.0--,
625,Psi Cygni,19 53 0.00,+52 10 0.00,19 55 37.8,+52 26 21,+52˚2572,4.8,A3,-4,6;21,23,1,9.8,4719.0--,
626,15 Vulpec,19 57 0.00,+27 29 0.00,20 01 06.0,+27 45 13,+27˚3587,4.7,A5,22,6;22,25,26,9.8,4744.0--,
627,47 Cygni,20 30 0.00,+34 54 0.00,20 33 54.2,+35 15 02,+34˚4079,4.8,K5,-2,6;21,19,,8.8,4894.0--,
628,29 Vulpec,20 34 6.00,+20 51 0.00,20 38 31.3,+21 12 04,+20˚4658,4.8,A0,-7,7;23,19,-1,11.1,4910.0--,
629,Omega Sigma 411,20 39 0.00,+45 28 0.00,20 42 20.2,+45 49 24,+45˚3245,7.6,G0,6,6;19,18,9,9.8,4941.0--,
630,31 Vulpec,20 47 48.00,+26 43 0.00,20 52 07.6,+27 05 49,+26˚4017,4.8,G5,19,6;20,20,35,8.2,4994.0--,
631,63 Cygni,21 3. 12.00,+47 15 0.00,21 06 36.1,+47 38 54,+47˚3292,4.9,K5,7,7;21,17,5,8.9,5082.0--,
632,2 Pegasi,21 25 24.00,+23 12 0.00,21 29 56.8,+23 38 19,+23˚4325,4.8,K5,4,6;17,18,11,8.6,5180.0--,
633,74 Cygni,21 32 54.00,+39 58 0.00,21 36 56.9,+40 24 49,+39˚4612,5.1,A5,12,6;18,20,16,9.8,5210.0--,
634,14 Pegasi,21 45 24.00,+29 43 0.00,21 49 50.6,+30 10 27,+29˚4525,5,A0,-2,8;26,21,3,12.5,5274.0--,
635,14 Cephei,21 58 42.00,+57 31 0.00,22 02 04.5,+58 00 02,+57˚2441,5.5,B0,-15,6;21,21,-11,9.8,5324.0--,
636,Piazzi 405,22 2. 0.00,+44 32 0.00,,,+44˚4043,5.3,K5,-1,5;18,21,,,0.00,
637,Lal 43671-2,22 18 6.00,+8 57 0.00,22 23 09.1,+09 27 40,+8˚4856,7.8,G5,18,8;25,19,22,12.5,5414.0--,
638,Kappa Aquarii,22 32 36.00,-4 45 0.00,22 37 45.4,-04 13 40,-4˚5716,5.3,K0,16,8;28,23,18,7.9,5471.0--,
639,9 Lacertae,22 33 18.00,+51 2 0.00,22 37 22.3,+51 32 42,+50˚3770,4.8,A5,15,6;19,21,19,9.8,5477.0--,
640,Rho Pegasi,22 50 12.00,+8 17 0.00,22 55 13.7,+08 48 59,+8˚4961,5,A0,-3,7;26,22,3,7.5,5557.0--,
641,Rad 5911,22 55 54.00,+56 25 0.00,23 00 05.1,+56 56 43,+56˚2923,5.5,GOp,-4,5;16,20,,7.3,5576.0--,
642,Brad 3109,23 18 54.00,+31 59 0.00,23 23 47.6,+32 31 52,+31˚4901,6.5,F5,1,8;26,23,11,8.7,5662.0--,
644,Xi Ursae Majoris,,,,,,4.4,F9,120,7;19,18,,,0.00,
645,Xi Ursae Majoris,,,,,,4.9,G2,164,8;23,18,,,0.00,
646,Alpha Orion,05 49 48.00,+7 23 0.00,05 55 10.3,+07 24 25,+7˚1055,0.9,Ma,13,7;18,14,9,4.7,1362.0--,
647,Theta Aurigae,05 52 54.00,+37 12 0.00,05 59 43.2,+37 12 45,+37˚1380,2.7,A0p,14,7;21,15,23,7.7,1377.0--,
648,38 Gem,06 49 0.00,+13 18 0.00,06 54 38.6,+13 10 40,+13˚1462,4.7,F0,44,10;27,14,41,8.9,1613.0A,
649,Lal 13792,07 3. 30.00,+25 54 0.00,,,+25˚1594,7,G0,26,8;21,15,,,0.00,
650,P.G.C. 2006,07 33 48.00,+48 22 0.00,07 41 12.3,+48 07 53,+48˚1561,5.8,G5,6,6;18,14,9,9.8,1804.0--,
651,Epsilon Hydrae,08 41 30.00,+6 47 0.00,08 46 46.6,+06 25 07,+6˚2036,3.5,F8,26,9;24,16,22,5.2,2096.0--,
652,37 Leo Min,10 33 6.00,+32 30 0.00,10 38 43.1,+31 58 34,+32˚2061,4.8,G0,18,8;21,16,17,10.1,2488.0--,
653,54 Herc,16 51 0.00,+18 36 0.00,16 55 22.2,+18 26 00,+18˚3266,5.6,K2,3,10;27,15,20,11.2,3851.0--,
654,"W, 17h, 517",17 29 54.00,+6 4 0.00,17 34 48.5,+06 01 26,+6˚3455,8.5,G,2,10;26,14,14,7.5,3995.0A,
655,Bu 8068A,17 30 0.00,+6 6 0.00,17 34 48.5,+06 01 26,+6˚3456,7.9,F8,5,7;18,14,14,7.5,3995.0A,
656,Barnard's Star..,17 52 54.00,+4 25 0.00,17 57 45.1,+04 24 17,,9.7,Mb,550,7;19,17,8,9.8,4097.0--,
657,Xi Herc,17 53 54.00,+29 16 0.00,17 57 45.8,+29 14 52,+29˚3156,3.8,K0,18,8;23,15,18,7.1,4106.0--,
658,70 Ophiuc,18 0. 24.00,+2 31 0.00,18 05 27.2,+02 29 58,+2˚3482,4.1,K0,184,9;25,16,199,3.4,4137.0M,
659,Gr 2571,18 23 54.00,+46 1 0.00,18 26 37.7,+46 05 01,+45˚2716,8.3,G5,13,7;17,13,16,11.1,4248.0--,
660,Kappa Cygni,19 14 48.00,+53 11 0.00,19 17 06.1,+53 22 06,+53˚2216,4,K0,27,8;23,17,22,5.7,4513.0--,
661,Beta 1 Cygni,19 26 42.00,+27 45 0.00,19 30 43.3,+27 57 35,+27˚3410,3.2,K0,-10,8;20,15,12,4.3,4567.0A,
662,Beta 2 Cygni,19 26 42.00,+27 45 0.00,19 30 43.3,+27 57 35,+27˚3411,5.4,B9,14,10;27,15,12,4.3,4567.0A,
663,Beta Aquilae,19 50 24.00,+6 9 0.00,19 55 18.8,+06 24 24,+6˚4357,3.9,K0,78,5;18,14,73,4.8,4705.0A,
664,Gamma Sagittae,19 54 18.00,+19 13 0.00,19 58 45.4,+19 29 31,+19˚4229,3.7,K5,3,11;25,12,11,7.4,4731.0--,
665,Epsilon Cygni,20 42 12.00,+33 36 0.00,20 46 12.6,+33 58 12,+33˚4018,2.6,K0,54,5;14,15,52,5.3,4959.0A,
666,Eta Cephei,20 43 18.00,+61 27 0.00,20 45 17.4,+61 50 20,+61˚2050,3.6,K0,66,7;17,17,73,5.2,4966.0--,
667,P.G.C. 5511,21 21 42.00,+46 17 0.00,21 25 19.5,+46 42 51,+46˚3305,5.5,F0,16,11;27,15,38,5.8,5163.0--,
668,Omicron Cephei,23 14 30.00,+67 34 0.00,23 18 37.2,+68 06 42,+67˚1514,4.9,G5+,27,1;26,14,21,11.0,5643.0M,
669,Kappa Andr,23 35 30.00,+43 47 0.00,23 40 24.5,+44 20 01,+43˚4522,4.3,A0,5,8;23,17,14,10.5,5728.0--,
670,Lal 1299,00 43 6.00,+4 46 0.00,00 48 23.0,+05 16 50,+4˚123,5.8,G5,137,5;17,26,136,2.0,156.0--,
671,Wolf 28,00 43 6.00,+4 55 0.00,00 48 21.1,+05 31 39,,12.3,F,239,9;34,24,6,5.7,156.01--,
672,"Weisse 3h, 113",03 9. 24.00,+8 37 0.00,,,+8˚482,7.7,K0,38,5;20,21,,,0.00,
673,Omicron 2 Eridani,04 10 42.00,-7 49 0.00,04 15 16.2,-07 39 09,-7˚780,4.5,G5,198,6;24,25,202,1.9,945.0A,
674,Delta 1 Tauri,04 17 6.00,+17 18 0.00,04 22 56.1,+17 32 33,+17˚712,3.9,K0,13,7;27,22,18,8.9,965.0--,
675,132 Tauri,05 42 54.00,+24 32 0.00,05 49 00.9,+24 34 03,+24˚970,5,K0,2,4;14,19,4,7.2,1328.0--,
676,136 Tauri,05 47 0.00,+27 35 0.00,05 53 19.6,+27 36 44,+27˚899,4.5,A0,16,6;22,19,21,9.8,1345.0--,
677,38 Aurigae,05 56 6.00,+42 55 0.00,06 03 17.9,+42 54 41,+42˚1473,6.1,G5,11,4;17,22,14,7.2,1388.0--,
678,Psi Aurigae,06 17 0.00,+49 20 0.00,06 24 53.8,+49 17 16,+49˚1488,5.1,K2,0 .000,5;19,20,3,8.4,1476.0--,
679,17 Monoc,06 41 54.00,+8 9 0.00,06 47 19.7,+08 02 14,+8˚1496,5,K0,12,5;21,26,9,6.4,1588.0--,
680,56 Gem,07 16 0.00,+20 38 0.00,07 21 56.8,+20 26 36,+20˚1775,5.2,K2,-1,4;18,24,1,7.2,1730.0--,
681,74 Gem,07 33 42.00,+17 54 0.00,07 39 28.5,+17 40 26,+18˚1701,5.2,K5,0 .000,4;19,28,2,7.2,1803.0--,
682,Alpha Lyncis,09 15 0.00,+34 49 0.00,09 21 03.3,+34 23 32,+35˚1979,3.3,K5,22,7;27,23,22,8.9,2223.0--,
683,Lal 19267,09 44 30.00,+11 34 0.00,09 49 48.5,+11 06 22,+11˚2108,7.5,F8,12,7;24,23,16,11.1,2327.0--,
684,Lal 19821,10 6. 18.00,+24 15 0.00,10 11 48.0,+23 45 18,+24˚2193,8.6,G0,15,4;16,22,19,6.8,2395.0--,
685,Lal 20253,10 21 48.00,+20 20 0.00,10 27 10.6,+19 48 47,+20˚2488,8.9,F8,33,7;25,24,36,11.1,2448.0--,
686,6 Comae,12 10 54.00,+18 27 0.00,12 16 00.1,+14 53 55,+15˚2436,5.1,A2,18,4;16,22,24,7.2,2826.0--,
687,Lal 24760,13 15 30.00,+38 41 0.00,13 20 01.5,+38 09 33,+38˚2431,7.9,K0,20,7;25,25,23,11.1,3049.0--,
688,69 H. Urs. Maj.,13 24 48.00,+60 28 0.00,13 28 27.0,+59 56 45,+60˚1461,5.4,A0,17,5;17,23,22,8.4,3078.0--,
689,Rad 3328,15 3. 24.00,+54 56 0.00,,,+55˚1730,5.2,G5,25,5;19,22,,,0.00,
690,Lal 29644,16 9. 18.00,+39 36 0.00,,,+39˚2963,8.2,G0,6,7;24,22,,,0.00,
691,Nu 1 Cor. Bor,16 18 36.00,+34 1 0.00,16 22 21.3,+33 47 56,+34˚2773,5.4,Ma,-3,6;19,21,2,8.8,3725.0A,
692,Nu 2 Cor. Bor,16 18 42.00,+33 56 0.00,16 22 29.1,+33 42 12,+34˚2774,5.3,K5,22,7;24,22,22,9.8,3727.0--,
693,Beta Herc,16 25 54.00,+21 24 0.00,16 30 13.1,+21 29 22,+21˚2934,2.8,K0,9,5;23,36,22,6.2,3754.0A,
694,Lal 30189,16 30 36.00,+9 2 0.00,16 35 23.6,+08 48 57,+9˚3230,9.4,G,4,5;20,28,7,8.4,3769.0--,
695,51 Herc,16 47 36.00,+24 49 0.00,16 51 45.2,+24 39 22,+24˚3069,5.2,K0,7,7;24,20,9,11.1,3835.0--,
696,e Ophiuc,17 13 54.00,+10 58 0.00,17 18 37.0,+10 51 52,+11˚3156,5.3,K5,-5,7;26,23,-1,11.1,3931.0--,
697,Lambda Herc,17 26 42.00,+26 11 0.00,17 30 44.3,+26 06 38,+26˚3034,4.5,K0,7,5;19,26,13,7.3,3978.0--,
698,42 Drac,18 25 42.00,+65 30 0.00,18 25 59.1,+65 33 48,+65˚1271,5,K0,16,7;25,28,19,10.0,4258.0--,
