No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1258,78 Drac,21,41.9,71,52,71,1082,5.4,K0,0.055,-0.044,-0.064,0.011,6;21,11.2,26
1259,Theta Pegs,22,5.2,5,42,5,4961,3.7,A2,0.28,0.278,0.276,0.046,6;22,11.2,31
1260,30 Ceph,22,35.1,63,4,62,2102,5.2,A2,0.021,0.001,0.002,0.003,6;22,11.7,31
1261,11 Lacr,22,36.1,43,45,43,4266,4.6,K0,0.101,0.101,0.081,0.005,6;21,10.9,28
1262,82 Pegs,23,47.5,10,23,10,5004,5.4,A3,0.029,-0.029,-0.07,0.012,6;24,12.1,30
1263,Lal 46867,23,49.9,28,5,27,4642,7.3,K0,0.573,0.573,0.569,0.036,5;20,11.8,30
1264,Lal 34,0,6.2,29,54,29,14,8.7,G5,0.212,0.211,0.197,0.028,5;20,11.8,30
1265,Lal 2999,1,32.6,-9,55,-10,343,6.4,F5,0.262,0.249,0.266,0.022,6;24,12.2,31
1266,Sigma 226 A,2,6.6,23,30,23,296,7.8,G5,0.192,0.117,0.122,0.031,6;24,11.3,28
1267,Lal 6310,3,22.4,55,6,54,684,5,A2,0.034,-0.034,-0.049,0.015,3;13,9.3,28
1268,Pi Erid,3,41.4,-12,25,-12,707,4.6,Ma,0.07,0.039,0.051,-0.004,4;19,11.4,29
1269,9 Caml,4,44.1,66,10,66,358,4.4,B0,0.007,0.006,-0.013,-0.015,5;23,11.1,30
1270,4 Orio,4,46.9,14,5,14,777,5.2,Ma,0.06,0.003,-0.017,0.002,4;18,11.8,28
1271,27 Orio,5,19.4,0,59,-1,886,5.2,G5,0.125,-0.001,-0.017,0.014,5;23,9.4,27
1272,5 Lync,6,18.1,58,28,58,927,5.5,K2,0.011,0.003,-0.009,0.002,3;16,11.2,29
1273,Gamma C Min,7,22.7,9,8,9,1660,4.6,K0,0.062,-0.061,-0.057,0.015,4;18,10.8,27
1274,25 Mono,7,32.3,-3,53,-3,1979,5.2,F5,0.07,-0.067,-0.061,0.025,4;17,10.8,30
1275,Zeta Canc AB,8,6.5,17,57,,,5,F8,0.155,0.068,0.075,0.037,3;18,11.1,38
1276,Zeta Canc C,8,6.5,17,57,,,6.3,G0,0.142,0.086,0.1,0.03,5;24,11.1,40
,Mean,,,,,18,1867,,,,,,0.035,3,,
1277,Rho Hyda,8,43.1,6,12,6,2040,4.4,A0,0.038,-0.012,-0.003,0.004,4;16,11.5,30
1278,Iota U Maj,8,52.4,48,26,48,1707,3.1,A5,0.5,-0.434,-0.439,0.063,5;22,11.3,35
1279,Pi Leon,9,54.9,8,31,8,2301,4.9,Ma,0.04,-0.031,-0.033,0.011,5;21,10.7,27
1280,41 L Min,10,38,23,43,23,2253,5,A2,0.111,-0.111,-0.08,0.009,6;24,11.7,29
1281,55 Leon,10,50.6,1,16,1,2501,6,F2,0.105,0.105,0.122,0.011,5;19,11.6,30
1282,Alpha U Maj,10,57.6,62,17,62,1161,2,K0,0.137,-0.116,-0.107,0.033,7;30,11.2,30
1283,Grb 1812,11,33.5,45,40,45,1947,6.3,G0,0.579,-0.579,-0.566,0.051,6;22,11.9,29
1284,4 Virg,11,42.8,8,48,9,2549,5.2,A0,0.047,-0.047,-0.037,0.008,7;27,11.2,28
1285,4H Drac,12,7.5,78,10,78,412,5.1,A5,0.023,0.011,0.005,0.03,5;19,11.5,29
1286,17 Coma,12,23.9,26,28,26,2354,5.4,A0p,0.026,-0.016,-0.015,0.014,5;19,11.6,31
1287,33 Virg,12,41.3,10,6,10,2468,5.9,K0,0.531,0.275,0.3,0.031,7;23,12.9,29
1288,35 Coma,12,48.4,21,47,22,2519,5.1,K0,0.055,-0.047,-0.041,0.017,5;20,11.7,30
1289,Sigma Virg,13,12.6,6,0,6,2722,5,Ma,0.015,-0.01,0.021,0.003,6;21,11.4,29
1290,Lal 24774,13,16.1,43,38,43,2321,8.2,K0,0.438,-0.43,-0.434,0.033,5;19,11.6,30
1291,74 Virg,13,26.8,-5,44,-5,3714,4.8,Ma,0.108,-0.097,-0.116,0.006,6;22,10.2,29
1292,2H U Min,14,56,66,20,66,878,4.9,Mb,0.079,-0.071,-0.044,0.005,4;14,11.2,28
1293,11 U Min,15,17.2,72,11,72,678,5.1,K0,0.024,0.023,0.024,0.009,6;22,11.7,32
1294,18 Drac,16,40.2,64,47,64,1145,5,K0,0.017,0.007,0.003,0.002,5;20,11.2,31
1295,27H Ophi,17,21.3,-5,0,-4,4275,4.6,F0,0.102,-0.09,-0.072,0.024,5;20,11.1,28
1296,Grb 2517,18,4.5,43,27,43,2892,5.1,G5,0.067,0.018,-0.003,0.007,6;23,10.9,28
1297,107 Herc,18,17.1,28,49,28,2981,5,A5,0.047,0.009,0.014,0.015,6;24,11.5,28
1298,Pi 185,19,31.3,-10,39,-10,5130,8.5,K0,0.391,-0.288,-0.296,0.044,6;22,11.1,32
1299,Nu Aqil,19,40.8,7,22,7,4210,5.7,A2,0.059,0.058,0.051,0.02,5;22,10.3,29
1300,Lal 27626,19,42.5,0,51,0,4314,6.8,G5,0.234,-0.062,-0.042,0.025,4;15,11.6,29
1301,PGC 5072,19,47.8,24,44,24,3914,5.7,F5,0.021,-0.011,0.003,0.003,4;17,10.9,30
1302,5 Capr,20,12.1,-12,49,-12,5683,4.6,G0p,0.019,0.018,0.022,0.003,5;18,11,29
1303,32 Cygn,20,12.4,47,24,47,3059,4.2,K0,0.009,0.009,-0.002,0.009,4;15,10.2,33
1304,6 Capr,20,12.5,-12,51,-12,5685,3.8,G5,0.061,0.061,0.063,0.026,5;21,11,33
1305,Sigma 2741 A,20,55.3,50,4,49,3426,5.8,B8,0.018,0.011,0.01,0.003,4;17,11.5,35
1306,15 Aqar,21,12.9,-4,57,-5,5512,5.7,B8,0.022,0.015,0.001,0.003,5;18,11.2,28
1307,Sigma 2786 A,21,14.8,9,6,8,4651,7,A2,,,0.025,0,4;18,11,32
1308,Beta Aqar,21,26.3,-6,1,-6,5770,3.1,G0,0.02,0.018,0.012,-0.008,4;16,11.2,29
1309,Br 2942,22,11.1,72,49,72,1022,6.1,G5,0.031,0.025,0.008,0.011,6;20,11.4,28
1310,Br 3011pre,22,42.7,-4,45,,,7.8,,,,-0.202,0.034,8;29,10.8,28
1311,Br 3011fol,22,42.7,-4,45,,,7.3,,,,-0.211,0.025,8;28,10.8,28
,Mean,,,,,-4,5757,,G0,0.354,-0.194,,0.029,5,,
1312,Alpha Pegs,22,59.8,14,40,14,4926,2.6,A0,0.077,0.061,0.064,0.025,5;22,10.8,32
1313,19 Pisc,23,41.3,2,56,2,4709,5.3,Na,0.053,-0.048,-0.036,-0.002,7;25,11.6,31
1314,Sigma 3060 A,,,,,,,8.5,K0,,,-0.171,0.003,7;24,11.6,27
1315,Sigma 3060 B,,,,,,,8.7,K0,,,-0.178,0.001,7;23,11.6,28
,Mean,0,0.8,17,31,17,5036,,,0.212,-0.132,,0.002,5,,
1316,Sigma 3062,0,1,57,53,57,2865,6.1,G5,0.267,0.265,0.256,0.06,6;24,10.7,30
1317,Sigma 186,1,50.7,1,21,1,347,6.2,G0,0.241,0.161,0.151,0.014,6;26,10.6,29
1318,A 2329,2,22.5,3,59,3,339,8.6,K5,0.26,0.15,0.119,0.062,6;26,11.2,33
1319,Lal 6788,3,35.7,-2,39,-2,690,7.1,G5,0.432,0.378,0.372,0.015,5;24,11.7,31
1320,Epsilon Pers,3,51.2,39,43,39,895,3,B1,0.041,0.028,0.038,0,6;28,11,30
1321,Pi Taur,4,21,14,29,14,697,4.9,K0,0.036,0.003,-0.027,0.01,4;17,12,28
1322,7 Caml,4,49.3,53,36,53,829,4.4,A2,0.015,-0.014,-0.026,-0.008,6;27,11.2,29
1323,Zeta Taur,5,31.7,21,5,21,908,3,B3p,0.028,0.005,-0.001,-0.004,5;27,10.6,34
1324,52 Orio,5,42.6,6,25,6,1027,5.3,A3,0.025,0.009,-0.01,0.015,4;20,10.2,29
1325,37 Caml,6,1.2,58,57,58,897,5.4,K0,0.044,0.039,0.013,0.008,5;21,11.7,30
1326,U Mono,7,26,-9,34,-9,2085,Var,G5,0.033,-0.033,0.002,-0.001,5;23,11.8,32
1327,Lal 15046,7,40,37,46,37,1769,5.4,Ma,0.032,0.026,0.032,-0.01,5;22,11,31
1328,Lal 15976,8,8.1,57,24,57,1128,7.8,G5,0.394,-0.312,-0.305,0.016,5;24,12,31
1329,30 Mono,8,20.7,-3,35,-3,2339,4,A0,0.067,-0.063,-0.054,0.018,5;23,11,30
1330,Sigma 1329 B,9,10.6,0,49,0,2163,8.7,G5,,,-0.004,-0.001,7;28,10.5,29
1331,Sigma 1329 A,9,10.6,0,49,0,2164,8.7,G5,0.125,-0.1,-0.097,0.015,7;30,10.5,28
1332,24 U Maj ,9,25.6,70,16,70,565,4.6,G0,0.092,-0.057,-0.072,0.036,5;23,11.7,31
1333,Omega Sigma 224,10,34.5,9,22,9,2382,7.9,F5,0.1,-0.094,-0.089,0.015,5;21,11.1,33
1334,Omega U Maj,10,48.2,43,43,43,2058,4.8,A0,0.057,0.047,0.058,0.006,6;24,11.6,27
1335,Iota Leon,11,18.7,11,5,11,2348,4,F5,0.178,0.158,0.202,0.043,6;24,12.1,31
1336,Pi 12h122,12,28.7,33,48,34,2332,5.4,K0,0.039,0.017,0.067,0.026,6;25,9.8,29
1337,Lal 23491,12,28.9,33,56,34,2333,6.4,K0,,,0.05,0.048,7;27,9.8,29
1338,24 Coma A,12,30.1,18,56,,,5.2,K0,0.019,0.007,-0.006,-0.002,5;20,11.9,30
1339,24 Coma B,12,30.1,18,56,,,6.7,A3,0.019,-0.008,-0.006,0.004,6;24,11.9,31
,Mean,,,,,19,2584,,,,,,0.001,4,,
1340,Lal 24504,13,6.4,10,9,10,2519,8.5,G0,0.559,-0.497,-0.513,0.046,6;24,11.7,29
1341,Sigma 1819,14,10.3,3,36,3,2874,7,F8,0.194,-0.19,-0.187,0.012,7;27,11.2,29
1342,Alpha Cor B,15,30.5,27,3,27,2512,2.3,A0,0.16,0.124,0.119,0.047,7;28,10.5,32
1343,Mu Serp,15,44.4,-3,7,-2,4052,3.6,A0,0.089,-0.085,-0.08,-0.009,5;20,11.6,33
1344,Nu Ophi,16,22.4,-8,9,-8,4243,4.7,A2,0.083,-0.082,-0.1,0.025,8;25,11.3,30
1345,Chi Ophi,16,52.9,9,32,9,3298,3.4,K0,0.29,-0.29,-0.287,0.005,6;22,11.8,29
1346,Br 2163,16,58.5,14,14,14,3179,5.1,Ma,0.07,0.023,0.03,0.002,5;20,11,31
1347,Zeta Drac,17,8.5,65,50,65,1170,3.2,B5,0.023,-0.01,-0.014,0.001,5;19,11.3,30
1348,87 Herc,17,44.8,25,39,25,3353,5.3,K0,0.046,-0.007,-0.001,0.013,5;19,11.5,28
1349,102 Herc,18,4.5,20,48,20,3674,4.3,B3,0.017,0.003,0.003,-20,6;23,11.4,29
1350,R Lyra,18,52.3,43,49,43,3117,4.3,Mb,0.078,0.032,0.012,0.002,6;24,11.8,32
1351,Lambda Lyra,18,56.2,32,0,31,3424,5.1,K5,0.016,0.015,0.004,-0.006,6;21,10.8,30
1352,Lal 36081,19,8.1,16,41,16,3775,6.4,B9,0.029,-0.029,-0.002,0.005,4;17,10.2,30
1353,WB 19h1199,19,38.6,31,31,31,3727,8.3,,0.22,-0.026,-0.024,0.026,6;24,10.8,30
1354,Pi 19h371,19,54,58,35,58,2013,5.1,K2,0.025,-0.004,-0.024,0.001,5;18,11,30
1355,Epsilon Dlph,20,28.4,10,58,10,4321,4,B5,0.03,0.012,0.001,0.02,4;18,11.3,30
1356,X Cygn,20,39.5,35,14,35,4234,Var,G0p,0.02,,-0.009,-0.013,5;19,11.8,30
1357,Lal 40636,20,55.4,-8,44,-8,5544,8.2,G0,0.24,0.234,0.228,0.02,6;21,10.6,28
1358,Sigma 2744,20,58,1,9,0,4648,6.5,F5,0.143,-0.138,-0.09,0.032,8;29,10.7,28
1359,Lal 42846,21,53.7,-4,51,-5,5674,6.4,K0,0.252,-0.015,-0.015,0.03,6;23,12,32
1360,Sigma 2862 A,22,2,0,5,0,4307,7.6,G0,0.072,0.06,0.056,0.015,7;27,9.1,32
1361,Sigma 2950 A,22,47.5,61,10,60,2450,5.8,G0,0.12,0.113,0.099,-0.004,6;24,11.4,33
1362,Lal 45585,23,12.5,-2,4,-2,5920,8.2,G5,0.265,0.249,0.21,0.002,4;18,11.7,34
1363,Omega Sigma 503,23,37,19,45,19,5138,7.6,F8,0.103,-0.086,-0.071,0.021,5;18,10.5,30
1364,Theta Andr,0,11.9,38,8,37,34,4.4,A2,0.051,-0.046,-0.077,0.014,6;24,11.9,31
1365,Rho Andr,0,15.9,37,25,37,45,5.2,F5,0.08,0.066,0.057,0.012,4;19,11.4,30
1366,Delta Cass,1,19.3,59,43,59,248,2.8,A5,0.308,0.304,0.297,0.022,6;25,10.7,30
1367,94 Pisc,1,21.3,18,43,18,189,5.6,K0,0.079,0.053,0.055,0.011,4;19,11.8,30
1368,Sigma 138,1,30.8,7,8,6,244,7.3,F8,0.04,,-0.082,-0.013,6;26,11,30
1369,Epsilon Tria,1,57.1,32,48,32,369,5.4,A2,0.024,-0.014,-0.024,0.005,4;20,11.5,31
1370,Lal 5514,2,53.7,-3,11,-3,470,5.2,A2,0.07,-0.034,-0.047,0.009,5;23,11.9,31
1371,Grb 716,3,33.5,62,54,62,597,5.3,Ma,0.021,-0.006,-0.015,0,5;23,10.7,30
1372,32 Taur,3,51,22,11,22,605,5.8,F0,0.133,0.066,0.065,0.026,3;16,11.4,29
1373,Lal 7867,4,8.9,29,39,29,678,7.3,K0,0.238,0.143,0.134,0.009,5;21,12.2,30
1374,9 Orio,4,50.7,13,21,13,740,4.3,K0,0.1,-0.079,-0.071,0.012,4;18,11,30
1375,15 Orio,5,4,15,28,15,752,4.9,F0,0.013,0.006,0.004,0.008,6;26,11.9,30
1376,Xi Auri,5,46.5,55,41,55,1027,4.9,A2,0.014,-0.008,-0.013,0.009,5;22,11.7,30
1377,Grb 1149,6,18,56,20,56,1125,5.5,A3,0.021,-0.011,-0.025,0.02,4;17,11.8,30
1378,30 Gemi,6,38.3,13,20,13,1390,4.6,K0,0.076,0.006,0.008,0.008,4;17,11.4,29
1379,Brad 1104,7,36.5,50,40,50,1460,5.3,A0,0.043,-0.013,-0.005,0.012,4;18,11.9,30
1380,Zeta C Min,7,46.5,2,1,2,1808,5.1,B8,0.022,-0.021,-0.005,0.006,6;25,11.7,29
1381,Sigma 1175,7,57.2,4,26,4,1882,7.8,G5,0.12,0.052,0.081,0.026,7;31,11,33
1382,2 Hyda,8,21.5,-3,40,-3,2345,5.4,A5,0.067,-0.051,-0.047,0.025,5;22,10.9,30
1383,Lal 17528,8,48.5,22,36,22,2014,7.6,G5,0.245,-0.128,-0.096,0.015,5;22,10.4,31
1384,Lal 17890,9,0.2,38,51,39,2200,4.7,G5,0.04,-0.033,-0.011,0.016,4;18,11.7,31
1385,Rho Leon,10,27.5,9,49,10,2166,3.8,B0p,0.006,-0.004,-0.01,-0.008,6;24,10.8,32
1386,72 Leon,11,9.9,23,38,23,2322,4.9,Ma,0.014,-0.012,-0.016,0.005,5;21,11,31
1387,Epsilon Virg,12,57.2,11,30,11,2529,3,K0,0.27,-0.269,-0.223,0.031,7;25,11.8,29
1388,Beta Coma,13,7.2,28,23,28,2193,4.3,G0,1.183,-0.793,-0.803,0.111,6;22,11.9,32
1389,11 Libr,14,45.8,-1,53,-1,2991,5,K0,0.16,0.084,0.099,0.011,5;21,12,31
1390,Rad 3381,15,21,63,42,63,1192,5.8,K2,0.113,-0.014,-0.008,0.004,4;17,11.8,30
1391,Epsilon Cor B,15,53.4,27,10,27,2558,4.2,K0,0.105,-0.081,-0.083,0.015,6;24,11.2,32
1392,Psi Scor,16,6.5,-9,48,-9,4324,4.9,A2,0.026,-0.001,-0.002,0.013,5;19,11.8,30
1393,Sigma Herc,16,30.9,42,39,42,2724,4.2,A0,0.037,-0.007,-0.002,0,6;23,11.6,30
1394,45 Herc,16,42.8,5,26,5,3272,5.3,A0p,0.049,-0.021,-0.017,0.01,5;21,11.6,28
1395,70 Herc,17,16.8,24,36,24,3167,5.1,A0,0.014,-0.014,-0.01,0.004,6;23,11.7,28
1396,Lal 31804,17,23.7,0,25,0,3697,5.2,A5,0.064,-0.06,-0.053,0.007,5;19,11.6,27
1397,Omicron Serp,17,35.8,-12,49,-12,4808,4.4,A2,0.087,-0.067,-0.064,0.001,7;28,11.8,33
1398,Iota Herc,17,36.6,46,4,46,2349,3.8,B3,0.004,-0.004,0.001,-0.005,5;22,11.1,28
1399,Gamma Ophi,17,42.9,2,45,2,3403,3.7,A0,0.083,-0.024,-0.04,0.036,6;25,11.5,31
1400,67 Ophi,17,55.6,2,56,2,3458,3.9,B5p,0.015,0.004,0.013,-0.013,4;18,11.3,29
1401,74 Ophi,18,15.9,3,20,3,3680,4.9,G5,0.012,-0.012,-0.002,0.019,5;19,11.9,30
1402,Rad 3896,18,18.4,17,47,17,3555,5.5,K0,0.068,0.068,0.074,0.02,4;17,10.7,29
1403,Nu Drac,18,55.6,71,10,71,915,4.9,K0,0.068,0.056,0.053,0.016,6;22,11.9,30
1404,Sigma 2540,19,28.9,20,12,20,4179,7.2,A3,0.06,,0.008,-0.007,7;25,10.7,25
1405,SU Cygn,19,40.8,29,1,28,3460,( 6. 2-7. 0),F2p,0.02,,0.01,-0.011,5;20,11.5,31
1406,Lal 37866,19,47.2,37,34,37,3636,6.3,Ma,,,0.009,0,5;21,10.2,29
1407,33 Cygn,20,11.1,56,16,56,2376,4.3,A3,0.103,0.064,0.077,0.008,5;19,11.8,31
1408,Brad 2613,20,13.4,40,3,39,4114,5.5,K5,0.014,0.006,0.002,0.004,4;16,11.7,27
1409,Theta Ceph,20,27.9,62,39,62,1821,4.3,A5,0.053,0.049,0.039,0.028,5;21,10.7,28
1410,Alpha Dlph,20,35,15,34,15,4222,3.9,B8,0.069,0.068,0.051,-0.006,5;22,11.4,32
1411,Pi 190,21,30.1,-4,26,-4,5489,5.8,K0,0.017,-0.012,-0.014,-0.001,5;22,11.3,34
1412,Omicron Andr,22,57.3,41,47,41,4664,3.6,B5,0.035,0.027,0.017,0.006,5;21,11,31
1413,5 Andr,23,3.2,48,45,48,3944,5.8,F0,0.195,0.151,0.142,0.022,6;24,11.9,31
1414,Zeta Cass,0,31.4,53,21,53,105,3.7,B3,0.02,0.018,0.022,0,6;24,11,32
1415,26 Cass,0,49.1,58,26,58,134,5,K0,0.052,-0.033,-0.034,0,4;15,11.9,29
1416,Rho Pisc,1,20.9,18,39,18,187,5.3,F0,0.029,-0.027,-0.047,0.033,4;18,11.4,31
1417,Chi Ceti,1,44.7,-11,11,-11,352,4.8,F0,0.176,-0.155,-0.163,0.039,5;21,11.4,31
1418,Gamma Arie N,1,48,18,48,,,4.8,A0p,0.135,0.077,0.084,0.024,5;24,11.8,31
1419,Gamma Arie S,1,48,18,48,,,4.8,A0p,0.129,0.078,0.08,0.021,5;24,11.8,31
,Mean,,,,,18,243,,,,,,0.022,4,,
1420,Epsilon Arie,2,53.5,20,56,20,484,4.6,A2,0.016,-0.015,-0.03,-0.007,5;25,10.9,35
1421,Lal 7484,3,57.5,0,32,0,632,5.4,F5,0.289,0.15,0.136,0.054,4;21,11.8,30
1422,39 Taur,3,59.4,21,44,21,587,6,G5,0.219,0.173,0.166,0.063,4;20,12,31
1423,Delta Orio,5,26.9,0,22,0,983,2.5,B0,0.001,0.001,-0.003,-0.001,5;27,10.8,35
1424,2 Lync,6,10.8,59,3,59,959,4.4,A0,0.023,-0.005,-0.021,0.034,5;22,11.4,28
1425,Lambda Gemi,7,12.3,16,43,16,1443,3.6,A2,0.061,-0.043,-0.043,0.042,5;21,11.3,29
1426,Castor A,7,28.2,32,6,32,1581,2,A0,0.198,-0.165,-0.216,0.059,4;21,9.9,34
1427,Castor C,7,28.2,32,5,32,1582,9.1,M1e,0.222,-0.193,-0.206,0.072,4;21,9.9,35
,Mean,,,,,,,,,,,,0.065,3,,
1428,55 Caml,8,2.9,68,46,68,524,5.5,G5,0.008,0.003,0.006,0.018,4;19,11.3,31
1429,Nu U Maj,9,43.9,59,31,59,1268,3.9,F0,0.332,-0.291,-0.297,0.031,5;23,11.8,30
1430,Lal 19896,10,8.9,3,39,3,2338,7.7,G0,0.476,0.237,0.243,0.043,6;24,11.5,29
1431,55 U Maj,11,13.7,38,44,38,2225,4.8,A2,0.096,-0.057,-0.025,0.017,5;20,11.9,28
1432,Omicron Cor B,15,16,29,59,30,2647,5.6,K0,0.134,-0.123,-0.069,-0.001,4;16,12,31
1433,Theta Cor B,15,28.9,31,42,31,2750,4.2,B5,0.034,-0.026,-0.01,0.016,6;22,11.2,30
1434,Zeta U Min,15,47.6,78,6,78,527,4.3,A2,0.019,0.019,0.043,0.001,6;22,11.8,30
1435,14 Herc,16,7.2,44,5,44,2549,6.5,K0,0.333,0.123,0.132,0.059,6;22,12,30
1436,Zeta Ophi,16,31.7,-10,22,-10,4350,2.7,B0,0.022,0.01,0.007,-0.01,7;27,11.8,28
1437,14 Ophi,16,36.6,1,22,1,3290,5.9,F0,0.118,-0.108,-0.093,0.027,6;22,11.9,30
1438,Lal 31160,17,2.1,22,13,22,3073,5.7,K2,0.111,-0.101,-0.085,0.01,5;23,11.8,28
1439,Lal 32390,17,39,21,40,21,3198,7.4,K0,0.66,-0.142,-0.127,0.041,6;25,12,31
1440,90 Herc,17,50,40,2,40,3233,5.1,K0,0.049,0.007,0.011,0.011,5;21,11.5,30
1441,Delta U Min,18,4.5,86,37,86,269,4.4,A0,0.053,0.013,0.033,-0.007,4;15,11.4,31
1442,Lal 33793,18,13.9,40,54,40,3332,6.1,K0,0.18,-0.168,-0.156,0.007,6;23,11.9,31
1443,4 Aqil,18,39.8,1,57,1,3766,5,B5,0.02,0.004,0.008,-0.001,6;25,11.2,28
1444,Lal 36091,19,6.1,52,16,52,2350,5.9,K0,0.121,-0.104,-0.104,0.001,4;14,11.9,31
1445,U Aqil,19,24,-7,15,-7,4968,6.5,F8p,0.018,0.018,-0.006,0.01,5;20,11.6,30
1446,S Sgte,19,51.5,16,22,16,4067,5.8,G0p,0.007,-0.001,0.001,0.007,5;18,11.6,30
1447,Theta Aqil,20,6.1,-1,7,-1,3911,3.4,A0,0.034,0.034,0.023,-0.006,4;18,11.2,32
1448,Eta Dlph,20,29.2,12,41,12,4378,5.2,A2,0.072,0.067,0.057,0.005,4;17,11.9,31
1449,Sigma 2735,20,50.7,4,9,3,4461,6.3,G0,0.065,0.064,0.07,-0.014,5;21,10.6,33
1450,4 Lacr,22,20.5,48,58,48,3715,4.6,B8p,0.01,-0.01,0.001,-0.004,4;16,11.8,31
1451,28 Andr,0,24.8,29,12,28,75,5.3,F0,0.069,0.042,0.038,-0.004,7;26,12.5,29
1452,31 Cass,1,3.9,68,15,68,77,5.3,A0,0.048,0.045,0.015,0.012,6;23,12.1,31
1453,Pi Pers,2,52.4,39,16,39,681,4.6,A2,0.066,0.04,0.023,0.002,5;22,11.9,30
1454,Lal 7439,3,57.4,39,14,39,918,7.2,G5,0.201,0.191,0.137,0.019,5;22,12.4,28
1455,109 Taur,5,13.3,22,0,21,816,5.1,K0,0.094,0.031,0.01,0.007,5;23,12.7,30
1456,T Mono,6,19.8,7,8,7,1273,Var,G5p,0.018,0.018,0.009,0,5;21,11.8,31
1457,13 Mono,6,27.5,7,24,7,1337,4.5,A0p,0.012,0.006,-0.004,0.008,4;18,12.1,30
1458,16 Lync,6,50.3,45,13,45,1367,4.8,A2,0.024,-0.024,-0.013,0.004,5;23,12.3,31
1459,20 Mono,7,5.3,-4,5,-4,1840,5,K,0.218,0.003,-0.001,0.038,5;20,12.2,32
1460,Epsilon C min,7,20.2,9,28,9,1643,5.1,G5,0.018,-0.004,-0.002,-0.004,5;22,12.2,30
1461,22 Lync,7,22.3,49,53,49,1630,5.4,F5,0.145,0.118,0.116,0.042,6;24,12.4,30
1462,11 C Min,7,40.8,11,1,11,1670,5.3,A0,0.024,-0.018,-0.021,0.017,5;20,12.1,30
1463,10 Canc,8,1.9,21,52,22,1862,5.4,G0,0.084,0.027,0.02,0.032,5;21,12.5,30
1464,Lal 16284,8,16.2,53,32,53,1246,5.6,A2,0.112,-0.023,-0.025,0.025,5;21,12.2,30
1465,Nu Leon,9,52.8,12,55,13,2183,5.2,A0,0.039,-0.028,-0.011,0.012,5;20,12,31
1466,44 U Maj,10,47.5,55,7,55,1418,5.4,K0,0.072,-0.07,-0.04,0.013,5;18,12,31
1467,21 C Ven,13,14,50,12,50,1994,5.1,A0,0.026,-0.024,-0.014,0.013,6;24,12.1,31
1468,82 U Maj,13,35.6,53,26,53,1640,5.3,A2,0.151,-0.14,-0.131,0.006,6;23,12.1,31
1469,Iota Boot,14,12.6,51,50,52,1784,4.8,A5,0.167,-0.142,-0.145,0.041,7;24,12.3,31
1470,Lal 27083,14,46.5,37,41,37,2580,5.5,K0,0.228,-0.211,-0.209,0.023,8;26,12.1,30
1471,Psi Boot,15,0.2,27,20,27,2447,4.7,KU,0.174,-0.173,-0.185,0.013,7;27,12.3,31
1472,22 Serp,15,37.4,18,47,18,3059,5.8,A3,0.087,-0.075,-0.057,0.017,6;21,12.3,30
1473,Omega Serp,15,45.2,2,30,2,3007,5.3,K0,0.065,0.036,0.037,0.021,6;22,12.3,31
1474,Lambda Cor B,15,52.2,38,14,38,2712,5.5,F2,0.087,0.048,0.042,0.04,5;18,12.2,30
1475,Grb 2296,15,55.4,55,2,55,1793,5,A5,0.192,-0.157,-0.139,0.016,4;14,12.3,31
1476,Lal 29641,16,6,68,4,68,864,5.4,A0,0.068,-0.033,-0.043,0.005,6;21,12.2,31
1477,30 Herc,16,25.4,42,6,42,2714,5,Mb,0.031,0.026,0.036,0.016,5;17,12.4,30
1478,Grb 2369,16,36,56,13,56,1907,5.4,G5,0.084,-0.01,0.004,0.012,6;21,12.2,30
1479,53 Herc,16,49.2,31,52,31,2925,5.4,F0,0.095,-0.092,-0.086,0.007,7;25,12.1,29
1480,59 Herc,16,57.9,33,43,33,2817,5.3,A2,0.012,0.004,0.013,0.017,6;22,12.3,30
1481,41 Ophi,17,11.5,0,20,0,3255,4.8,K0,0.064,-0.024,-0.013,0.004,5;19,11.8,30
1482,Lal 31536,17,11.7,62,59,63,1336,5.5,A3,0.048,0.014,0.019,0.01,5;20,12.2,30
1483,Lal 31694,17,18.4,40,4,40,3136,5.7,F8,0.078,0.01,0.009,0.018,4;17,12,32
1484,27 Drac,17,32.4,68,12,68,938,5.2,K0,0.137,-0.009,0.006,0.025,6;25,12,30
1485,83 Herc,17,38.4,24,37,24,3231,5.6,K5,0.129,-0.059,-0.052,0.02,5;21,12.4,31
1486,Y Ophi,17,47.3,-6,7,-6,4672,Var,G0p,0.012,0.003,-0.002,-0.011,5;19,12.5,31
1487,Lal 32707,17,48.4,6,7,6,3566,5.8,F5,0.131,-0.109,-0.114,0.036,5;18,12.4,29
1488,89 Herc,17,51.4,26,4,26,3120,5.5,F5p,0.005,0.005,0.008,-0.008,6;22,12.5,32
1489,71 Ophi,18,2.5,8,43,8,3582,4.7,G5,0.025,0.004,0.014,0.016,5;19,12.1,29
1490,Eta Serp,18,16.1,-2,55,-2,4599,3.4,K0,0.896,-0.562,-0.553,0.041,6;25,12.2,32
1491,Grb 2555,18,19,49,4,49,2782,5.1,Ma,0.057,-0.018,-0.007,-0.001,6;24,12,32
