No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
942,Epsilon 1 Lyra( p),18,41.0,39,34,18h44m18.6697s,+39d40m10.9694s,,,5.1,,0.053,0.013,0.025,0.013,4; 17,,35
943,Epsilon 1 Lyra( f),18,41.0,39,34,18h44m18.6697s,+39d40m10.9694s,,,6,,0.057,0.005,0.015,0.02,5; 21,,33
,Mean,,,,,0,0,39,3509.0,,A3,,,,0.016,4,,
944,Epsilon 2 Lyra( p),18,41.1,39,30,18h44m18.9271s,+39d36m10.9879s,,,5.1,,,,0.013,0.027,6; 25,,
945,Epsilon 2 Lyra( f),18,41.1,39,30,18h44m18.9271s,+39d36m10.9879s,,,5.4,,,,0.016,0.014,7; 27,,33
,Mean,,,,,0,0,39,3510.0,,A5,0.065,0.02,0.014,0.02,4; 17,10.9,33
946,28 Aqil,19,15.0,12,11,19h19m39.9485s,+12d22m03.665s,12,3879.0,5.4,F0,0.017,0.003,0.001,-0.001,6; 21,10.7,27
947,4 Vulp,19,21.1,19,36,19h25m22.6578s,+19d47m51.775s,19,4010.0,5.3,K0,0.016,0.08,0.1,-0.006,6; 22,11.1,28
948,37 Aqil,19,29.6,-10,47,19h34m30.5855s,-10d33m58.6967s,-10,5122.0,5.2,G5,0.007,0.006,0.006,-0.001,4; 16,10.4,29
949,Grb 2907,19,36.4,54,44,19h38m14.3911s,+54d57m44.3165s,54,2193.0,5.9,F5,0.176,0.05,0.049,0.033,5; 20,11.1,27
950,Grb 2925,19,40.4,41,32,19h43m20.0214s,+41d46m20.3946s,41,3469.0,6,K5,0.021,0.02,0.021,0.012,6; 23,10.5,28
951,Zeta Aqil,19,49.4,8,12,19h53m50.0867s,+08d27m36.616s,8,4261.0,4.9,K0,0.13,0.099,0.101,0.02,6; 23,11.2,28
952,18 Vulp,20,6.4,26,36,20h10m10.2821s,+26d53m42.9277s,26,3815.0,5.5,A2,0.009,0.004,0.016,-0.005,5; 19,10.2,28
953,40 Cygn,20,23.9,38,7,20h26m42.291s,+38d26m44.3154s,37,3941.0,5.4,A0,0.074,-0.015,-0.022,0.016,6; 22,10.7,28
954,1 Aqar,20,34.3,0,8,20h39m06.8279s,+00d29m05.3275s,0,4064.0,5.4,K0,0.097,0.096,0.044,0.009,6; 22,11.4,30
955,Brad 2738,20,57.0,59,3,20h59m27.358s,+59d26m26.495s,58,2201.0,5.8,K2,0.051,0.051,0.055,-0.002,6; 24,9.6,31
956,Sigma 2762,21,4.4,29,48,21h08m14.301s,+30d12m14.8112s,29,4324.0,5.9,A0,0.032,0.026,0.024,-0.013,7; 26,10.4,27
957,Grb 3441,21,18.5,48,58,21h21m27.8022s,+49d23m34.1166s,48,3357.0,5.9,K0,0.074,0.042,0.037,0.008,7; 26,9.9,28
958,5 Pegs,21,33.1,18,52,21h37m40.0911s,+19d18m58.3267s,18,4827.0,5.3,F0,0.103,0.102,0.073,0.001,5; 17,10.8,30
959,Lamda Capr,21,41.2,-11,50,21h46m22.7612s,-11d22m19.6309s,-12,6087.0,5.4,A0,0.029,0.026,0.041,-0.011,8; 29,10.7,28
960,Alpha Aqar,22,0.6,0,48,22h05m06.1945s,+01d17m07.0821s,-1,4246.0,3.2,G0,0.019,0.017,0.013,-0.001,6; 21,9.8,27
961,20 Ceph,22,2.0,62,18,22h05m02.2271s,+62d47m11.2315s,62,2029.0,5.4,K5,0.063,0.013,0.008,-0.008,5; 19,10.1,27
962,60 Pegs,23,7.0,26,18,23h11m52.7616s,+26d50m36.0022s,26,4580.0,6.4,K0,0.228,-0.191,-0.193,0.021,3; 13,10.9,27
963,Lal 45680,23,15.1,-4,28,23h20m09.1901s,-03d55m09.661s,-4,5868.0,6.6,F2,0.306,0.287,0.293,0.016,6; 24,11.2,29
964,Alpha Andr,0,3.2,28,32,00h08m09.1761s,+29d05m23.9857s,28,4.0,2.2,A0p,0.213,0.143,0.124,0.026,7; 30,10.4,31
965,112 Pisc,1,54.9,2,37,01h59m10.6386s,+03d06m10.7355s,2,311.0,5.8,G0,0.33,0.235,0.211,0.028,4; 17,11.4,29
966,Sigma 305,2,41.8,18,57,02h46m37.8228s,+19d22m13.9271s,18,347.0,7,G0,0.176,0.094,0.092,0.033,5; 20,10.6,28
967,Delta Erid,3,38.5,-10,6,03h42m48.1774s,-09d46m53.1103s,-10,728.0,3.7,K0,0.749,-0.092,-0.1,0.11,4; 18,10.5,30
968,Rad 1042,3,38.8,70,34,03h48m23.4279s,+70d52m46.8377s,70,257.0,5.4,A0,0.07,0.037,0.024,0.009,4; 17,9.6,28
969,Lal 8840,4,37.4,27,30,04h43m13.0367s,+27d41m24.6997s,27,688.0,8,K0,0.307,0.062,0.051,0.043,4; 16,12.1,28
970,16 Caml,5,14.9,57,27,05h22m33.6989s,+57d33m02.8817s,57,879.0,5.2,A0,0.067,0.027,0.027,0.016,4; 16,10.8,28
971,60 Orio,5,53.7,0,33,05h58m08.6822s,+00d33m38.703s,0,1239.0,5.2,A0,0.009,-0.009,-0.019,-0.007,5; 23,11.6,27
972,50 Auri,6,32.2,42,35,06h39m08.5443s,+42d29m50.0926s,42,1585.0,5.1,G5,0.061,0.007,0.007,0.0,3; 13,10.4,27
973,Lal 13627,6,57.0,-5,35,07h01m54.5974s,-05d43m34.2422s,-5,1926.0,5.4,K5,0.01,0.01,-0.012,-0.005,5; 24,10.1,28
974,22 Mono,7,6.8,0,20,07h11m07.9471s,+00d10m09.1581s,0,1636.0,4.1,A0,0.013,0.006,0.003,0.011,3; 12,10.8,26
975,24 Lync,7,34.5,58,57,07h42m28.3615s,+58d43m06.7862s,59,1103.0,5,A2,0.068,-0.03,-0.049,0.014,5; 21,11.3,23
976,35 Lync,8,45.2,44,6,08h51m42.8683s,+43d43m36.3239s,44,1794.0,5.2,G5,0.037,0.002,-0.014,0.013,5; 19,11,27
977,Lal 17507,8,47.6,9,34,08h52m23.6806s,+09d11m27.6564s,9,2076.0,8.4,G0,0.28,0.091,0.122,0.006,5; 20,10.3,30
978,Fed    1457,9,7.6,53,7,09h14m06.4969s,+52d42m18.7648s,53,1320.0,8.1,K2,1.68,-1.566,-1.558,0.168,6; 25,11.5,31
979,Fed    1458,9,7.6,53,7,09h14m06.4969s,+52d42m18.7648s,53,1321.0,5.4,K2,1.686,-1.542,-1.55,0.162,6; 24,11.5,31
,Mean,,,,,0,0,,,,,,,,0.165,4,,
980,Lal 20142,10,18.1,6,12,10h23m13.2369s,+05d41m40.9726s,6,2301.0,6.5,F2,0.246,-0.238,-0.271,0.005,7; 25,11.1,30
981,Xi Virg,11,40.1,8,49,11h45m08.911s,+08d15m41.2103s,9,2545.0,5.1,A3,0.07,0.065,0.074,0.033,5;20,11.1,29
982,13 Coma,12,19.3,26,39,12h24m01.1766s,+26d05m44.2446s,26,2344.0,5.1,A2,0.029,-0.02,-0.011,0.001,5; 18,10.9,30
983,8    Drac,12,51.5,65,59,12h54m59.5114s,+65d26m28.7739s,66,778.0,5.3,F0,0.033,-0.001,0.019,0.027,5; 22,11.2,29
984,20 C Ven,13,13.1,41,6,13h17m30.1387s,+40d34m22.5142s,41,2380.0,4.7,F0,0.125,-0.122,-0.115,0.02,5; 18,10.9,28
985,Tau Virg,13,56.6,2,2,14h01m05.3202s,+01d32m57.6596s,2,2761.0,4.3,A2,0.032,0.022,0.038,0.015,4; 16,10,29
986,Beta U Min,14,51.0,74,35,14h50m43.1515s,+74d10m27.0659s,74,595.0,2.2,K5,0.028,-0.027,-0.027,0.026,4; 17,11.5,32
987,16 Libr,14,52.0,-3,56,14h57m14.0561s,-04d20m10.3401s,-3,3696.0,4.6,F0,0.192,-0.097,-0.084,0.038,5; 18,10.3,29
988,3 Serp,15,10.2,5,19,15h14m58.4525s,+04d56m41.854s,5,2985.0,5.4,K0,0.023,-0.018,-0.002,0.014,5; 20,10.7,31
989,Gamma U Min,15,20.9,72,11,15h19m52.2962s,+71d49m30.9772s,72,679.0,3.1,A2,0.17,-0.009,0.0,-0.01,6; 26,11.2,33
990,D' Ag 4302,16,26.2,20,42,16h30m21.1541s,+20d28m58.1817s,20,3283.0,5.3,G5,0.095,-0.063,-0.083,-0.003,6; 22,11.1,31
991,101 Herc,18,4.6,20,2,18h08m18.6559s,+20d02m53.8555s,20,3675.0,5.2,A3,0.027,0.001,0.0,0.006,6; 25,9.9,30
992,Epsilon Scut,18,38.1,-8,22,18h43m26.6169s,-08d16m05.6684s,-8,4686.0,5.1,G5,0.022,0.022,0.022,0.013,4; 16,11.1,31
993,50 Drac,18,49.6,75,19,18h45m46.175s,+75d25m51.6035s,75,682.0,5.4,A0,0.078,-0.015,-0.01,0.003,5; 19,11.4,32
994,59 Drac,19,12.8,76,24,19h08m17.2311s,+76d34m04.1238s,76,717.0,5.1,F0,0.135,0.048,0.058,0.043,5; 19,10.9,28
995,Lal 36313,19,13.5,0,15,19h18m06.6364s,+00d25m48.9736s,0,4166.0,6.7,F0,,,0.014,0.009,5; 17,11.1,30
996,24 Aqil,19,13.7,0,9,19h18m06.8571s,+00d19m48.9888s,0,4170.0,6.5,K0,0.009,0,0.029,0.007,5; 18,11.6,31
997,Rukr 7295,19,13.7,25,11,19h17m07.6473s,+25d21m44.9056s,25,3780.0,8.4,G,0.27,0.149,0.156,0.024,4; 16,11.4,28
998,42 Aqil,19,32.5,-4,52,19h37m17.5686s,-04d38m35.4686s,-4,4861.0,5.5,F2,0.121,0.105,0.087,0.024,4; 17,10.9,29
999,10 Vulp,19,39.6,25,32,19h43m09.3494s,+25d46m15.7345s,25,3933.0,5.4,G5,0.015,0.009,0.011,0.02,5; 22,10.5,32
1000,14 Sgte,19,58.9,15,45,20h02m34.4659s,+16d01m44.4902s,15,4033.0,5.5,A0,0.013,0.013,0.012,0.0,4; 17,10.7,29
1001,Pi 20h43,20,9.3,6,17,20h13m54.7277s,+06d35m07.8037s,6,4479.0,8,G,0.169,-0.161,-0.139,-0.013,5; 20,11.3,28
1002,Pi 20h44,20,9.3,6,17,20h13m54.7277s,+06d35m07.8037s,6,4480.0,7.8,G5,0.67,-0.158,-0.142,-0.003,6; 23,11.3,29
,Mean,,,,,0,0,,,,,,,,-0.009,4,,
1003,3 Aqar,20,42.5,-5,24,20h47m16.5732s,-05d02m00.6479s,-5,5378.0,4.6,Ma,0.039,-0.003,0.007,0.003,5; 19,10.5,31
1004,32 Vuip,20,50.3,27,41,20h54m15.7238s,+28d03m47.9821s,27,3.911,5.2,K5,0.009,-0.005,-0.024,-0.001,6; 22,10.8,28
1005,"Sigma 2779, s",21,10.1,28,40,21h14m18.1134s,+29d04m50.5983s,,,8.5,,,,0.025,-0.005,5; 21,11,31
1006,"Sigma 2779, n",21,10.1,28,40,21h14m18.1134s,+29d04m50.5983s,,,8.5,,,,-0.009,-0.011,5; 20,11,31
,Mean,,,,,0,0,28,4031.0,,,,,,-0.008,4,,
1007,Sigma 2790,21,16.5,58,12,21h18m45.8025s,+58d37m20.8159s,58,2249.0,5.8,K0,0.014,0.011,-0.021,0.001,4; 16,10,30
1008,VV Ceph,21,53.8,63,9,21h55m48.4242s,+63d37m31.0635s,62,2007.0,5.4,Map,0.009,-0.007,-0.001,-0.002,5; 18,10.2,30
1009,Pi 22h129,22,8.4,34,7,22h12m25.2674s,+34d36m38.9486s,33,4456.0,5.4,K0,0.047,0.023,0.0,0.001,6; 20,11.4,27
1010,Theta Agar,22,11.6,-8,17,22h16m15.8308s,-07d47m07.459s,-8,5845.0,4.3,K0,0.113,0.113,0.058,0.004,6; 21,10.7,29
1011,29 Ceph,22,29.0,78,19,22h29m52.8659s,+78d49m50.2018s,78,801.0,5.5,A2,0.017,0.007,0.009,0.002,4; 16,11.1,26
1012,Beta 1266,23,25.5,30,18,23h29m56.2178s,+30d51m04.4224s,30,4963.0,7.3,F5,,,0.055,-0.013,5; 20,10.4,29
1013,Mayer 971,23,26.4,-4,38,23h31m08.7789s,-04d04m54.2341s,-4,5896.0,6.5,F8,0.247,0.173,0.184,0.038,5; 18,11.7,32
1014,Lal 909,0,31.3,43,56,00h36m26.4466s,+44d29m02.9186s,43,113.0,5.4,K5,0.032,-0.021,-0.031,0.006,4; 15,11.6,27
1015,Lal 1332,0,44.5,29,54,00h49m23.1077s,+30d26m43.1169s,29,141.0,7.6,G5,0.254,0.246,0.248,-0.009,6; 24,10.5,29
1016,Brad 226,1,37.7,57,2,01h43m35.5584s,+57d32m15.6718s,56,330.0,6.1,A2,0.034,,0.022,-0.008,6; 21,10,25
1017,66 Ceti,2,7.7,-2,52,02h12m04.0972s,-02d23m47.1768s,-3,336.0,5.7,G0,0.377,0.373,0.363,0.053,5; 19,11.3,27
1018,95 Ceti,3,13.3,-1,18,03h18m05.424s,-00d56m01.8884s,-1,469.0,5.6,G5,0.256,0.251,0.25,0.016,7; 28,11.4,30
1019,Lal 6816,3,40.4,65,13,03h49m09.4798s,+65d31m36.7758s,65,369.0,4.7,Ma,0.004,-0.004,0.005,0.012,4; 18,10.7,26
1020,Lal 8146,4,16.5,20,35,04h21m53.0604s,+20d49m15.5354s,20,744.0,6.1,K5,0.013,0.012,0.002,0.013,5; 23,10.8,30
1021,Sigma 589 B,4,39.5,5,6,04h44m18.8307s,+05d17m11.9545s,,,,,0.128,,-0.108,0.016,4; 19,,30
1022,Sigma 589 A,4,39.5,5,6,04h44m18.8307s,+05d17m11.9545s,,,,,0.158,,-0.118,0.02,4; 20,,30
,Mean,,,,,0,0,5,718.0,8.2,G5,,,,0.018,3,10.7,
1023,13 Orio,5,2.2,9,21,05h07m28.9093s,+09d28m58.6437s,9,736.0,6.3,G0,0.382,0.01,-0.002,0.022,5; 22,10.8,30
1024,W B 5h266,5,13.2,40,59,05h20m01.618s,+41d05m18.0668s,40,1253.0,5.5,A3,0.064,0.004,-0.019,0.005,4; 19,10.3,28
1025,Lal 12278,6,19.5,-11,29,06h23m40.2932s,-11d32m06.37s,-11,1478.0,5.4,K0,0.066,-0.047,-0.051,0.012,5; 20,10.6,27
1026,Lal 13648,6,58.1,11,6,07h03m32.5191s,+10d57m14.6406s,11,1428.0,5.2,K2,0.032,-0.006,-0.002,0.003,5; 21,10.5,30
1027,Sigma 1051 C,7,14.7,73,17,07h26m03.0135s,+73d05m34.0834s,73,376.0,7.8,F0,0.045,0.045,0.027,-0.006,7; 28,11.7,28
1028,7 C Min,7,26.9,2,8,07h31m11.7707s,+01d55m24.1981s,2,1691.0,5.3,A5,0.012,0,-0.013,0.013,5; 22,10.4,28
1029,Lal 15950,8,5.4,32,46,08h11m19.8861s,+32d28m16.4775s,32,1695.0,7,G0,0.805,-0.455,-0.456,0.041,5; 21,12.3,31
1030,Lal 17046,8,34.4,11,53,08h39m28.8523s,+11d31m53.4274s,12,1888.0,7.9,G5,0.531,-0.104,-0.132,0.053,4; 17,11,31
1031,Lal 17937,9,1.0,20,55,09h06m42.5193s,+20d30m58.8896s,21,1969.0,7.7,G0,0.202,-0.088,-0.063,-0.009,5; 21,11.5,33
1032,Lal 20925,10,47.4,5,32,10h52m11.1131s,+05d00m09.265s,5,2412.0,8.1,K0,0.338,-0.337,-0.348,0.024,5; 21,11.9,30
1033,Beta Leon,11,44.0,15,8,11h49m09.4613s,+14d34m38.8553s,15,2383.0,2.2,A2,0.507,-0.492,-0.49,0.061,5; 20,10.5,31
1034,7 Coma,12,11.3,24,30,12h16m03.8386s,+23d56m38.9149s,24,2443.0,5.1,K0,0.025,-0.019,-0.041,0.001,5; 20,12.1,29
1035,9 Drac,12,56.1,67,8,12h59m49.1924s,+66d35m39.0706s,67,773.0,5.5,K0,0.148,-0.146,-0.13,0.005,6; 22,10.8,28
1036,25 C Ven,13,33.0,36,48,13h37m27.4029s,+36d17m25.9952s,37,2433.0,4.9,F0,0.101,-0.1,-0.067,0.025,9; 33,11.5,28
1037,90 Virg,13,49.6,-1,1,13h54m08.7651s,-01d30m31.6817s,0,2758.0,5.3,K0,0.088,-0.083,-0.088,0.021,6; 21,11.1,27
1038,9 H Boot,14,3.9,44,20,14h07m00.2117s,+43d51m26.2717s,44,2325.0,5.4,Mb,0.036,0.007,0.028,0.02,7; 24,10.6,29
1039,31 Boot,14,36.7,8,35,14h40m54.8513s,+08d09m15.7721s,8,2903.0,5,G5,0.007,-0.003,-0.005,0.006,6; 21,11.6,30
1040,37 Libr,15,28.7,-9,43,15h33m25.9077s,-10d03m15.326s,-9,4171.0,4.8,K0,0.392,0.303,0.311,0.029,6; 23,11.4,28
1041,Theta U Min,15,34.4,77,41,15h31m04.4352s,+77d20m57.1941s,77,592.0,5.3,K5,0.043,-0.042,-0.005,0.024,6; 24,11,30
1042,Chi Scor,16,8.3,-11,35,16h13m32.0021s,-11d50m19.6451s,-11,4096.0,5.5,K0,0.017,-0.012,0.025,0.024,8; 29,11.5,27
1043,Mu Lyra,18,20.9,39,27,18h23m17.8064s,+39d30m09.0937s,39,3410.0,5,A2,0.02,-0.017,-0.024,-0.002,6; 22,11.8,30
1044,W B 18h710,18,31.7,9,3,18h35m46.2308s,+09d07m51.0008s,9,3783.0,5.4,F2,0.128,-0.005,-0.004,0.027,6; 22,10.7,27
1045,9 Lyra,18,46.2,32,26,18h49m44.1281s,+32d32m55.6703s,32,3228.0,5.2,A2,0.022,-0.02,-0.015,0.013,5; 18,10.5,31
1046,22 Aqil,19,11.6,4,39,19h15m56.8756s,+04d49m31.7228s,4,4045.0,5.4,A2,0.019,0.012,0.011,0.006,5; 20,10,31
1047,54 Drac,19,12.1,57,32,19h13m47.2078s,+57d42m26.918s,57,1968.0,5.3,K0,0.077,-0.009,-0.017,0.021,5; 19,11.3,30
1048,27 Aqil,19,15.4,-1,5,19h20m09.5672s,-00d53m54.2985s,-1,3716.0,5.5,B9,0.005,0.005,0.004,0.002,6; 23,10.4,29
1049,Sigma 2574,19,39.3,62,26,19h40m14.0348s,+62d40m04.19s,62,1747.0,7.3,F5,,,0.023,-0.002,6; 23,11,29
1050,Lal 37766,19,45.0,27,29,19h49m04.9818s,+27d44m02.6099s,27,3523.0,7.1,G0,0.22,0.04,0.08,0.024,6; 23,10.9,28
1051,19 Cygn,19,47.0,38,28,19h50m32.5161s,+38d43m16.0939s,38,3780.0,5.4,Ma,0.097,0.015,0.013,-0.005,6; 24,9.1,29
1052,11 Sgte,19,53.2,16,31,19h57m32.368s,+16d47m06.2738s,16,4081.0,5.4,B9,0.012,0.007,0.012,-0.009,5; 18,10.8,30
1053,64 Drac,20,0.4,64,32,20h01m03.1674s,+64d48m46.339s,64,1405.0,5.4,Ma,0.018,0.012,-0.011,0.002,6; 22,10.6,28
1054,Lal 38612,20,5.3,8,9,20h09m50.8339s,+08d26m38.0114s,8,4358.0,6.6,F8,0.199,-0.083,-0.063,0.016,5; 21,10.9,30
1055,23 Vulp,20,11.6,27,30,20h15m08.8414s,+27d48m19.6631s,27,3666.0,4.7,K5,0.039,-0.039,-0.037,0.002,5; 22,10.9,30
1056,Grb 3319,20,49.8,44,48,20h52m29.1901s,+45d10m39.0907s,44,3617.0,5.6,K0,0.03,0.03,0.004,-0.01,6; 24,9.5,30
1057,46 Capr,21,39.7,-9,33,21h44m19.8368s,-09d05m29.6166s,-9,5829.0,5.3,K0,0.014,0.013,-0.028,-0.002,6; 22,11.1,30
1058,Nu Ceph,21,42.6,60,40,21h44m52.6537s,+61d07m39.1582s,60,2288.0,4.5,A2p,0.002,0.001,-0.033,0.002,6; 24,10.1,29
1059,13 Pegs,21,45.4,16,49,21h49m44.9718s,+17d16m58.2136s,16,4612.0,5.3,F2,0.1,0.077,0.049,0.009,5; 19,11,31
1060,24 Ceph,22,7.9,71,51,22h08m53.0995s,+72d20m29.76s,71,1111.0,5,G5,0.031,0.031,0.004,0.015,4; 16,11.5,30
1061,Pi 22h36,22,9.6,39,13,22h13m17.0716s,+39d42m42.6909s,38,4711.0,4.6,K2,0.052,0.052,0.044,0.014,6; 22,11,28
1062,83 Aqar,22,59.9,-8,14,23h04m12.0994s,-07d41m40.1416s,-8,6018.0,5.6,F0,0.126,0.125,0.105,0.009,6; 23,10.8,30
1063,78 Pegs,23,39.0,28,48,23h44m01.3993s,+29d21m18.0624s,28,4627.0,5,K0,0.083,0.074,0.064,0.015,6; 22,11.4,28
1064,49 Andr,1,24.1,46,29,01h30m00.0163s,+47d00m01.8695s,46,370.0,5.3,G5,0.047,0.009,-0.012,0.012,5; 20,11.4,28
1065,31 Arie,2,31.2,12,1,02h36m25.3985s,+12d27m10.3606s,11,360.0,5.7,F5,0.301,0.288,0.28,0.035,5; 22,12.1,30
1066,48 H Ceph,3,7.6,77,22,03h19m39.6545s,+77d44m12.8248s,77,115.0,5.5,F0,0.083,0.066,0.063,0.009,5; 22,11.2,30
1067,Zeta Erid,4,18.7,-3,59,04h22m59.1935s,-03d44m56.7547s,-4,818.0,5.2,A2,0.07,-0.046,-0.065,0.008,4; 19,11.1,32
1068,Theta C Maj,6,49.5,-11,55,06h53m39.7417s,-12d02m25.2553s,-11,1681.0,4.2,K2,0.133,-0.132,-0.141,0.021,4; 20,11.1,30
1069,Chi Gemi,7,57.4,28,4,08h03m08.725s,+27d47m17.1322s,28,1532.0,5,K0,0.054,-0.018,-0.018,0.011,5; 20,10.7,28
1070,Fed 1384A,8,46.0,71,11,08h55m52.3753s,+70d48m19.6032s,,,,,1.39,-1.344,-1.311,0.094,5; 19,,33
1071,Fed 1384B,8,46.0,71,11,08h55m52.3753s,+70d48m19.6032s,,,,,,,-1.334,0.085,4;17,,33
,Mean Sigma 1280,,,,,0,0,71,482.0,8.6,K2,,,,0.089,3,11.5,
1072,Theta Leon,11,9.0,15,59,11h14m15.2623s,+15d26m19.9005s,16,2234.0,3.4,A0,0.103,-0.059,-0.04,0.017,8; 31,10.6,31
1073,4 Drac,12,25.7,69,45,12h29m25.1066s,+69d11m49.5312s,70,700.0,5.2,Ma,0.082,-0.059,-0.055,0.015,7; 26,10.6,30
1074,Mu Cor B,15,31.6,39,21,15h34m40.1535s,+39d00m59.4574s,39,2889.0,5.4,Ma,0.032,0.032,0.028,0.001,7; 26,11.4,30
1075,Grb 2347,16,22.0,69,20,16h21m47.0156s,+69d06m07.8113s,69,845.0,5.4,K0,0.029,-0.026,-0.014,-0.001,6; 22,11.3,28
1076,46 Drac,18,40.7,55,26,18h41m56.16s,+55d31m56.4594s,55,2107.0,5.1,A0,0.022,-0.002,-0.003,0.004,6; 25,11.1,28
1077,Eta Scut,18,51.7,-5,59,18h56m20.8632s,-05d51m14.7897s,-6,4976.0,5,K0,0.073,0.066,0.058,0.034,5; 20,11.6,31
1078,51 Drac,19,2.7,53,15,19h04m14.6907s,+53d24m05.1903s,53,2178.0,5.4,A0,0.02,-0.001,-0.007,0.017,5; 18,10.9,30
1079,45 Aqil,19,35.6,0,51,19h40m05.3369s,+01d04m47.6837s,0,3813.0,5.5,A0,0.026,0.024,0.003,0.015,7; 26,10.8,29
1080,Delta Cygn,19,41.8,44,53,19h44m06.8903s,+45d07m27.4254s,44,3234.0,3,A0,0.067,0.057,0.054,0.011,5; 24,10.4,33
1081,21 Vulp,20,10.1,28,23,20h14m06.4536s,+28d41m12.1938s,28,3675.0,5.2,A3,0.028,0.011,0.006,0.004,6; 22,10.7,31
1082,13 Dlph,20,42.8,5,38,20h46m57.1316s,+05d59m58.2849s,5,4613.0,5.6,A0,0.008,0.007,0.008,-0.004,7; 27,10.8,29
1083,Lal 41348,21,12.9,0,15,21h17m06.6796s,+00d40m04.577s,0,4195.0,8.5,K2,0.476,0.44,0.45,0.037,6; 24,11.7,30
1084,18 Ceph,22,0.9,62,38,22h02m58.4184s,+63d07m02.5159s,62,2028.0,5.5,Mb,0.052,0.032,0.045,-0.009,6; 23,10.1,28
1085,Brad 2904,22,4.2,-8,2,22h09m16.0641s,-07d32m35.6888s,-8,5818.0,6.6,G0,0.461,0.085,0.071,0.028,7; 26,11,27
1086,95 Aqar,23,13.8,-10,9,23h18m11.8665s,-09d36m12.9178s,-10,6094.0,5.2,A0,0.05,0.05,0.017,0.003,7; 26,11.8,31
1087,42 Pers,3,43.2,32,47,03h49m19.6173s,+33d05m25.2006s,32,667.0,5.1,A2,0.04,-0.038,-0.029,-0.009,5; 23,11.6,31
1088,Sigma 742 Bt,,,,,0,0,,,7.2,F8,0.05,,-0.038,0.008,6; 27,9.8,33
1089,Sigma 742 Ft,,,,,0,0,,,7.8,,0.08,,-0.041,0.018,5; 25,9.8,31
,M-Lal 10503,5,30.4,21,56,05h36m00.9155s,+21d59m55.5273s,21,902.0,,,,,,0.013,4,,
1090,2 Mono,5,54.3,-9,34,05h58m44.8769s,-09d33m28.3074s,-9,1285.0,5.1,A5,0.063,0.034,0.019,0.008,5; 23,11.6,32
1091,Delta Hyda,8,32.4,6,3,08h37m18.1265s,+05d42m07.6451s,6,2001.0,4.2,A0,0.071,-0.07,-0.065,0.021,4; 19,10.7,31
1092,Lal 19782,10,4.2,2,52,10h09m10.293s,+02d22m35.8886s,3,2321.0,7.6,G0,0.211,-0.21,-0.189,0.014,6; 22,11.8,31
1093,Lal 20494,10,30.8,16,24,10h35m21.769s,+15d52m59.1513s,16,2138.0,8.7,G0,0.259,0.106,0.096,0.019,6; 23,11.1,30
1094,Grb 1723,10,54.7,43,27,10h59m41.5102s,+42d54m51.0396s,43,2068.0,6.1,F8,0.176,0.106,-0.083,0.016,7; 28,11.3,29
1095,56 U Maj,11,17.4,44,2,11h22m29.7466s,+43d29m06.2536s,44,2083.0,5.1,G5,0.035,-0.027,-0.022,-0.007,6; 21,11.8,28
1096,Pi Virg,11,55.8,7,10,12h00m07.5585s,+06d36m35.5335s,7,2502.0,4.6,A3,0.031,-0.001,0.032,0.013,6; 22,11.6,33
1097,5 H Drac,12,14.4,75,43,12h18m30.9159s,+75d09m40.4616s,75,470.0,5.4,A2,0.026,-0.025,-0.041,0.012,6; 22,11.5,29
3098,14 Coma,12,21.4,27,49,12h26m00.2526s,+27d15m45.9532s,28,2115.0,5.2,A5,0.026,-0.02,-0.023,0.006,6; 21,11.3,31
1099,76 Virg,13,27.7,-9,39,13h32m16.2854s,-10d09m53.2009s,-9,3711.0,5.4,G5,0.05,-0.027,-0.022,0.015,7; 24,11.2,28
3100,83 U Maj,13,37.0,55,11,13h40m47.7638s,+54d40m39.1805s,55,1625.0,4.8,Ma,0.025,-0.022,-0.005,0.01,5; 20,11.5,31
1101,Nu Boot,13,44.7,16,18,13h48m50.1678s,+15d48m07.674s,16,2564.0,4.3,K5,0.104,-0.098,-0.084,0.013,6; 22,11,27
1102,12 Boot,14,5.8,25,34,14h09m34.0331s,+25d05m36.7145s,25,2737.0,4.8,F5,0.073,-0.02,-0.002,0.036,8; 30,12.6,32
1103,9 Serp,15,21.2,15,47,15h25m38.4444s,+15d25m53.8733s,15,2858.0,5.5,Ma,0.03,-0.016,-0.032,0.011,5; 19,11.4,29
1104,106 Herc,18,16.1,21,55,18h20m13.7275s,+21d57m38.2983s,21,3390.0,5,K5,0.063,0.014,0.014,0.013,5; 19,11.4,29
1105,Sigma 2587Bt,19,46.5,3,50,19h50m59.1526s,+04d05m13.9248s,3,4172.0,6.6,K0,,,-0.002,-0.004,6; 24,9.7,31
1106,Lal 38442,20,1.8,7,17,20h05m52.4343s,+07d34m08.2352s,7,4367.0,6.9,A0,,,0.014,0.017,6; 24,10.8,29
1107,Lal 38426,20,1.8,7,16,20h05m52.4683s,+07d33m08.2374s,7,4366.0,7.5,A,,,0.008,0.005,6; 22,10.2,29
,Mean,,,,,0,0,,,,,,,,0.011,4,,
