Thaw Number,Thaw Name,YPC Number,YPC Component,Delta Pi
625,Psi Cygni,4719.0,,
626,15 Vulpec,4744.0,,
627,47 Cygni,4894.0,,
628,29 Vulpec,4910.0,,
629,Omega Sigma 411,4941.0,,
630,31 Vulpec,4994.0,,
631,63 Cygni,5082.0,,
632,2 Pegasi,5180.0,,
633,74 Cygni,5210.0,,
634,14 Pegasi,5274.0,,
635,14 Cephei,5324.0,,
636,Piazzi 405,0.0,,
637,Lal 43671-2,5414.0,,
638,Kappa Aquarii,5471.0,,
639,9 Lacertae,5477.0,,
640,Rho Pegasi,5557.0,,
641,Rad 5911,5576.0,,
642,Brad 3109,5662.0,,
643,,0.0,,
644,Xi Ursae Majoris,0.0,,
645,Xi Ursae Majoris,0.0,,
,Mean,2625.0,M,
,,2625.0,A,
,,2625.0,C,
646,Alpha Orion,1362.0,,
647,Theta Aurigae,1377.0,,
648,38 Gem,1613.0,A,
,,1613.0,B,
649,Lal 13792,0.0,,
650,P.G.C. 2006,1804.0,,
651,Epsilon Hydrae,2096.0,,
652,37 Leo Min,2488.0,,
653,54 Herc,3851.0,,
654,"W, 17h, 517",3995.0,A,
,,3996.0,,
655,Bu 8068A,3995.0,A,
,,3996.0,,
656,Barnard's Star..,4097.0,,
,,4098.0,,
657,Xi Herc,4106.0,,
658,70 Ophiuc,4137.0,M,
,,4137.0,A,
,,4137.0,B,
659,Gr 2571,4248.0,,
660,Kappa Cygni,4513.0,,
661,Beta 1 Cygni,4567.0,A,
,,4567.0,B,
662,Beta 2 Cygni,4567.0,A,
,,4567.0,B,
663,Beta Aquilae,4705.0,A,
664,Gamma Sagittae,4731.0,,
665,Epsilon Cygni,4959.0,A,
666,Eta Cephei,4966.0,,
667,P.G.C. 5511,5163.0,,
668,Omicron Cephei,5643.0,M,
,,5643.0,A,
,,5643.0,B,
669,Kappa Andr,5728.0,,
670,Lal 1299,156.0,,
671,Wolf 28,156.01,,
672,"Weisse 3h, 113",0.0,,
673,Omicron 2 Eridani,945.0,A,
,,945.0,B,
,,945.0,C,
674,Delta 1 Tauri,965.0,,
675,132 Tauri,1328.0,,
676,136 Tauri,1345.0,,
677,38 Aurigae,1388.0,,
678,Psi Aurigae,1476.0,,
679,17 Monoc,1588.0,,
680,56 Gem,1730.0,,
681,74 Gem,1803.0,,
682,Alpha Lyncis,2223.0,,
683,Lal 19267,2327.0,,
684,Lal 19821,2395.0,,
685,Lal 20253,2448.0,,
686,6 Comae,2826.0,,
687,Lal 24760,3049.0,,
688,69 H. Urs. Maj.,3078.0,,
689,Rad 3328,0.0,,
690,Lal 29644,0.0,,
691,Nu 1 Cor. Bor,3725.0,A,
692,Nu 2 Cor. Bor,3727.0,,
693,Beta Herc,3754.0,A,
694,Lal 30189,3769.0,,
695,51 Herc,3835.0,,
696,e Ophiuc,3931.0,,
697,Lambda Herc,3978.0,,
698,42 Drac,4258.0,,
699,R Scuti,4334.0,,
700,Lal 35346,4389.0,,
701,Lal 36268,4492.0,M,
,,4492.0,A,
,,4492.0,B,
702,4 Cygni,4553.0,,
703,Lal 36921,4559.0,,
704,"W2 19h, 721",4562.0,,
705,Lal 37074,4577.0,,
706,9 Cygni,4592.0,,
707,Zeta Sagittae,4660.0,M,
,,4660.0,A,
708,Eta Aquilae,4679.0,,
709,T Cygni,4965.0,A,
,,4965.0,B,
710,Lal 40604,5026.0,,
,,5027.01,,
711,B.D. +3  4492,5057.0,,
712,"Weisse 20h, 1453",5062.0,,
713,35 Vulpec,5168.0,,
714,Sigma 57,5207.0,A,
,,5207.0,B,
715,Sigma 57,5207.0,A,
,,5207.0,B,
,Mean,0.0,,
716,"Pi 22h, 195",5495.0,,
717,Brad 3054,5585.0,,
718,6 Andr,5611.0,,
719,Mayer 968,5688.0,,
720,47 Piscium,73.0,,
721,Alpha Cass,114.0,,
722,Phi Cass,271.0,,
723,Lal 3972,0.0,,
724,84 Ceti,543.0,M,
,,543.0,A,
725,Omega Persei,655.0,,
726,Gamma Camel,802.0,,
727,Mu Persei,929.0,A,
,,929.0,C,
728,58 Persei,1011.0,A,
729,111 Tauri,1224.0,,
730,56 Orion,1349.0,,
731,40 Aurigae,1403.0,,
732,"W1 6h, 1500",1627.0,,
733,64 Gem,1764.0,,
734,76 Gem,1822.0,,
735,Lal 17050,2066.0,A,
,,2066.0,B,
736,Lal 17053,2066.0,A,
,,2066.0,B,
,Mean,0.0,,
737,Fed 1466,2211.0,,
738,Pi 96,2469.0,,
739,65 Leonis,2584.0,,
740,23 Comae,2900.0,,
741,82 Virginis,3126.0,,
742,Mayer 576,3304.0,,
743,Omicron Bootis,3337.0,,
744,110 Virginis,3398.0,,
745,Lal 28017,3455.0,,
746,5 Herc,3625.0,,
747,Delta Ophiuc,3684.0,,
748,42 Herc,3792.0,,
749,60 Herc,3882.0,,
750,Lal 31478,3933.0,,
751,Zeta Serp,4109.0,,
752,Omicron Herc,4154.0,,
753,Brad 2293,4194.0,,
754,Kappa Lyrae,4216.0,,
755,45 Drac,4276.0,,
756,Lal 35488,4404.0,,
757,Gamma Lyrae,4407.0,,
758,12 Aquilae,4414.0,,
759,23 Aquilae,4506.0,,
760,Nu Aquilae,4546.0,A,
761,Sigma Drac,4607.0,,
762,13 Vulpec,4696.0,,
763,Lal 38683,0.0,,
764,41 Cygni,4875.0,,
765,52 Cygni,4952.0,,
766,Epsilon Aquarii,4960.0,,
767,Alpha Equulei,5115.0,A,
768,Gr 3436,5145.0,A,
,,5145.0,B,
769,Gr 3436,5145.0,A,
,,5145.0,B,
,Mean,0.0,,
770,12 Pegasi,5257.0,,
771,Lal 42883,5310.0,A,
772,32 Aquarii,5325.0,,
773,Brad 2935,0.0,,
774,Gr 3709,0.0,,
,Mean,0.0,,
775,37 Pegasi,5440.0,M,
,,5440.0,A,
,,5440.0,B,
776,Lambda Aquarii,5540.0,,
777,56 Pegasi,5597.0,,
778,57 Pegasi,5605.0,A,
779,59 Pegasi,5612.0,,
780,38 Ceti,254.0,,
781,Theta Ceti,286.0,,
782,107 Pisc,356.0,,
783,6 Tria,447.0,A,
780,38 Ceti,254.0,,
781,Theta Ceti,286.0,,
782,107 Pisc,356.0,,
783,6 Tria,447.0,A,
780,38 Ceti,254.0,,
781,Theta Ceti,286.0,,
782,107 Pisc,356.0,,
783,6 Tria,447.0,A,
,,447.0,B,
784,7 Taur,744.0,A,
785,Lal 11218,1368.0,,
786,Lal 15743,1916.0,M,
,,1916.0,B,
,,1916.0,C,
787,14 Boot,3233.0,,
788,Pi 69,3266.0,A,
,,3266.0,B,
789,Lal 26635,3303.0,,
790,Lal 29330,0.0,,
791,Lal 31822,3962.0,,
,,3964.0,,
792,Dpt 1949 m,0.0,,
793,Lal 33243,0.0,,
794,Lal 34435,4268.0,,
795,Beta Scut,4332.0,,
796,Omicron Drac,4374.0,,
797,113 Herc,4378.0,M,
,,4378.0,A,
798,Theta Lyra,4498.0,,
799,Zeta Dlph,4898.0,,
800,71 Agil,4908.0,,
801,Delta Dlph,4938.0,,
802,30 Vulp,4950.0,,
803,77 Cygn,5239.0,,
804,11 Ceph,5254.0,,
805,34 Pegs,5425.0,A,
806,64 Pisc,159.0,,
807,Polaris,299.0,,
808,A Oe 2618,475.0,,
809,SU Cass,572.0,,
810,36 Pers,737.0,,
811,Delta Pers,765.0,,
812,52 Pers,931.0,,
813,Eta Auri,1139.0,,
814,133 Taur,1322.0,,
815,5 Mono,1452.0,,
816,RT Auri,1500.0,,
817,1 C Min,1743.0,,
818,81 Gemi,1833.0,,
819,Lal 17161,2082.0,,
820,Lal 19229,2323.0,,
821,Eta Leon,2380.0,,
822,62 Urs. Maj,2703.0,,
823,17 Virg,2849.0,,
824,37 Coma,2981.0,,
825,17 H CVen,3104.0,,
826,Sigma Boot,3300.0,,
827,Omega  Boot,3395.0,,
828,Beta Cor B,3495.0,M,
,,3495.0,A,
,,3495.0,B,
829,Rho Serp,3590.0,,
830,Epsilon Ophi,3696.0,,
831,43 Herc,3813.0,,
832,Lal 31313,0.0,,
833,49 Ophi,3960.0,,
834,96 Herc,4125.0,,
835,104 Herc,4180.0,,
836,Delta Scut,4311.0,,
837,Beta 1 Lyra,4353.0,A,
838,Theta 1 Serp,4387.0,A,
,,4387.0,B,
839,Theta 2 Serp,4387.0,A,
,,4387.0,B,
,Mean,0.0,,
840,Epsilon Aqil,0.0,,
841,21 Aqil,0.0,,
842,53 Drac,4484.0,,
843,26 Aqil,4519.0,,
844,36 Aqil,4560.0,,
845,Lal 37728,4659.0,,
846,68 Drac,4807.0,,
847,T Vulp,4990.0,,
848,Mu Aqar,4992.0,,
849,Beta Ceph,5192.0,A,
,,5192.0,B,
850,Xi Aqar,5208.0,,
851,9 Pegs,5248.0,,
852,Lamda Ceph,0.0,,
853,Epsilon 2923,5463.0,A,
854,Theta Pisc,5682.0,,
855,15 Andr,5702.0,,
856,Lal 47226,0.0,,
857,Grb 410,409.0,,
858,Comp Gamma Ceti,548.0,,
859,Gamma Ceti,554.0,A,
,,554.0,B,
860,63 Arie,706.0,,
861,88 Taur,1015.0,,
862,90 Taur,1022.0,,
863,29 Orio,1226.0,,
864,1 Lync,1443.0,,
865,66 Auri,1733.0,,
866,Eta C Min,1763.0,,
867,Lal 16904,2057.0,,
868,Lal 17081,2073.0,,
869,75 Canc,0.0,,
870,Beta U Maj,2567.0,,
871,Gamma U Maj,2749.0,,
872,12 Coma,2850.0,,
873,Alpha 2  C Ven,2969.0,A,
,,2969.0,B,
874,41 Coma,2995.0,,
875,Zeta Virg,3100.0,,
876,109 Virg,3340.0,,
877,Epsilon Libr,3478.0,,
878,Zeta 1 Cor B,3542.0,A,
,,3542.0,B,
879,Zeta 2 Cor B,3542.0,A,
,,3542.0,B,
,Mean,0.0,,
880,Eta U Min,3731.0,A,
881,Omega Herc,3732.0,,
882,69 Herc,3932.0,,
883,Nu Ophi,4103.0,,
884,59 Serp,0.0,,
885,Grb 2719,4363.0,,
886,Lal 35584,4418.0,,
887,Lambda Aqil,0.0,,
888,Tau Drac,4533.0,,
889,Lal 37508,4627.0,,
890,Brad 2541,4704.0,,
891,A G Camb,0.0,,
,10646,4722.0,,
892,Lal 38430,0.0,,
893,25 Vulp,4854.0,,
894,Mayer 868,4880.0,A,
895,4 Ceph,4957.0,,
896,Grb 3432,5138.0,,
897,Beta Equl,5151.0,,
898,75 Cygn,5230.0,,
899,11 Pegs,5264.0,,
900,Lal 43090,0.0,,
901,Sigma Aqar,5442.0,,
902,31 Ceph,5476.0,,
903,13 Lacr,5506.0,,
904,66 Pegs,5659.0,,
905,67 Pegs,5666.0,,
906,Lal 158,0.0,,
907,Lal 1462,176.0,,
908,Eta Ceti,233.0,,
909,Eta Erid,611.0,,
910,94 Ceti,663.0,A,
911,Nu Auri,1335.0,,
912,Mu Ori,1393.0,,
913,Phi Boot,3535.0,,
914,Lal 909,99.0,,
915,89 Pisc,266.0,,
916,64 Andr,487.0,,
917,36 H Cass,515.0,,
918,Iota Pers,0.0,,
919,Delta Arie,657.0,,
920,W B 4h 580,1008.0,,
921,11 Orio,1138.0,,
922,19 H Caml,0.0,,
923,21 Orio,1210.0,,
924,77 Orio,1501.0,,
925,57 Gemi,1735.0,,
926,26 Mono,1817.0,,
927,2 U Maj,2026.0,,
928,Pi 167,2100.0,,
929,Lal 19529,2359.0,,
930,Lal 21081,2557.0,,
931,Grb 1830,2745.0,,
932,6 C Ven,2865.0,,
933,31 Coma,2955.0,,
934,78 Virg,3098.0,,
935,24 C Ven,3105.0,,
936,Phi Virg,3279.0,,
937,Chi Boot,3445.0,,
938,Chi Serp,3577.0,,
939,Paris 20211,0.0,,
940,Nu Herc,4108.0,,
941,Brad 2329,4274.0,,
942,Epsilon 1 Lyra( p),4326.0,A,
,,4326.0,B,
,,4326.0,C,
,,4326.0,D,
943,Epsilon 1 Lyra( f),4326.0,A,
,,4326.0,B,
,,4326.0,C,
,,4326.0,D,
,Mean,0.0,,
944,Epsilon 2 Lyra( p),4326.0,A,
,,4326.0,B,
,,4326.0,C,
,,4326.0,D,
945,Epsilon 2 Lyra( f),4326.0,A,
,,4326.0,B,
,,4326.0,C,
,,4326.0,D,
,Mean,0.0,,
946,28 Aqil,4515.0,,
947,4 Vulp,4544.0,,
948,37 Aqil,4584.0,,
949,Grb 2907,4623.0,,
950,Grb 2925,4639.0,,
951,Zeta Aqil,4699.0,,
952,18 Vulp,4791.0,,
953,40 Cygn,4871.0,,
954,1 Aqar,4913.0,,
955,Brad 2738,5047.0,,
956,Sigma 2762,0.0,,
957,Grb 3441,5153.0,,
958,5 Pegs,5212.0,,
959,Lamda Capr,5256.0,,
960,Alpha Aqar,0.0,,
961,20 Ceph,5340.0,,
962,60 Pegs,5613.0,,
963,Lal 45680,5647.0,,
964,Alpha Andr,12.0,A,
,,12.0,B,
965,112 Pisc,413.0,,
966,Sigma 305,566.0,A,
,,566.0,B,
967,Delta Erid,788.0,,
968,Rad 1042,790.0,,
969,Lal 8840,1049.0,,
970,16 Caml,1214.0,,
971,60 Orio,1381.0,,
972,50 Auri,1542.0,,
973,Lal 13627,1646.0,,
974,22 Mono,1682.0,,
975,24 Lync,1806.0,,
976,35 Lync,2108.0,,
977,Lal 17507,2119.0,,
978,Fed    1457,0.0,,
979,Fed    1458,0.0,,
,Mean,0.0,,
980,Lal 20142,2436.0,,
981,Xi Virg,2714.0,,
982,13 Coma,2855.0,,
983,8    Drac,2970.0,,
984,20 C Ven,3038.0,,
985,Tau Virg,3196.0,,
986,Beta U Min,3373.0,,
987,16 Libr,3376.0,,
988,3 Serp,3444.0,,
989,Gamma U Min,3484.0,,
990,D' Ag 4302,3757.0,,
991,101 Herc,4162.0,,
992,Epsilon Scut,4317.0,,
993,50 Drac,4373.0,,
994,59 Drac,4497.0,,
995,Lal 36313,4507.0,,
996,24 Aqil,4510.0,,
997,Rukr 7295,4509.0,,
998,42 Aqil,4606.0,,
999,10 Vulp,4637.0,,
1000,14 Sgte,4753.0,,
1001,Pi 20h43,0.0,,
1002,Pi 20h44,0.0,,
,Mean,0.0,,
1003,3 Aqar,4961.0,,
1004,32 Vuip,5000.0,,
1005,"Sigma 2779, s",5109.0,A,
,,5109.0,B,
1006,"Sigma 2779, n",5109.0,A,
,,5109.0,B,
,Mean,0.0,,
1007,Sigma 2790,5140.0,A,
,,5140.0,B,
1008,VV Ceph,5308.0,,
1009,Pi 22h129,0.0,,
1010,Theta Agar,5394.0,,
1011,29 Ceph,5456.0,,
1012,Beta 1266,5690.0,,
1013,Mayer 971,5692.0,,
1014,Lal 909,99.0,,
1015,Lal 1332,163.0,,
1016,Brad 226,360.0,,
1017,66 Ceti,456.0,M,
,,456.0,A,
,,456.0,B,
1018,95 Ceti,686.0,,
1019,Lal 6816,810.0,,
1020,Lal 8146,963.0,A,
,,963.0,B,
1021,Sigma 589 B,1056.0,A,
,,1056.0,B,
1022,Sigma 589 A,1056.0,A,
,,1056.0,B,
,Mean,0.0,,
1023,13 Orio,1153.0,,
1024,W B 5h266,1203.0,,
1025,Lal 12278,1485.0,,
1026,Lal 13648,1650.0,,
1027,Sigma 1051 C,1723.0,,
1028,7 C Min,1780.0,,
1029,Lal 15950,0.0,,
1030,Lal 17046,2065.0,,
1031,Lal 17937,0.0,,
1032,Lal 20925,2530.0,,
1033,Beta Leon,2738.0,,
1034,7 Coma,2827.0,,
1035,9 Drac,2983.0,,
1036,25 C Ven,3116.0,M,
1037,90 Virg,3172.0,,
1038,9 H Boot,0.0,,
1039,31 Boot,3321.0,,
1040,37 Libr,3511.0,,
1041,Theta U Min,3537.0,,
1042,Chi Scor,3680.0,,
1043,Mu Lyra,4234.0,,
1044,W B 18h710,4283.0,,
1045,9 Lyra,4352.0,,
1046,22 Aqil,4489.0,A,
1047,54 Drac,4493.0,,
1048,27 Aqil,4522.0,,
1049,Sigma 2574,4636.0,,
1050,Lal 37766,4662.0,,
1051,19 Cygn,4675.0,,
1052,11 Sgte,4723.0,,
1053,64 Drac,4764.0,,
1054,Lal 38612,0.0,,
1055,23 Vulp,4819.0,,
1056,Grb 3319,4998.0,,
1057,46 Capr,5247.0,,
1058,Nu Ceph,5267.0,,
1059,13 Pegs,5275.0,,
1060,24 Ceph,5374.0,,
1061,Pi 22h36,0.0,,
1062,83 Aqar,5588.0,,
,,5589.01,,
1063,78 Pegs,5748.0,,
1064,49 Andr,306.0,,
1065,31 Arie,526.0,,
1066,48 H Ceph,0.0,,
1067,Zeta Erid,973.0,,
1068,Theta C Maj,1617.0,,
1069,Chi Gemi,1912.0,,
1070,Fed 1384A,2113.0,M,
,,2113.0,A,
,,2113.0,B,
1071,Fed 1384B,2113.0,M,
,,2113.0,A,
,,2113.0,B,
,Mean Sigma 1280,0.0,,
1072,Theta Leon,2615.0,,
1073,4 Drac,2883.0,,
1074,Mu Cor B,3526.0,,
1075,Grb 2347,3737.0,,
1076,46 Drac,0.0,,
1077,Eta Scut,4391.0,,
1078,51 Drac,4448.0,,
1079,45 Aqil,0.0,,
1080,Delta Cygn,4647.0,M,
,,4647.0,A,
1081,21 Vulp,4809.0,,
1082,13 Dlph,4964.0,,
1083,Lal 41348,5124.0,,
1084,18 Ceph,5334.0,,
1085,Brad 2904,0.0,,
1086,95 Aqar,5641.0,,
1087,42 Pers,832.0,,
1088,Sigma 742 Bt,0.0,,
1089,Sigma 742 Ft,0.0,,
,M-Lal 10503,1275.0,A,
,,1275.0,B,
1090,2 Mono,1383.0,,
1091,Delta Hyda,2053.0,,
1092,Lal 19782,0.0,,
1093,Lal 20494,2479.0,,
1094,Grb 1723,2560.0,,
1095,56 U Maj,2635.0,,
1096,Pi Virg,2768.0,,
1097,5 H Drac,2837.0,,
3098,14 Coma,2866.0,,
1099,76 Virg,3091.0,,
3100,83 U Maj,3127.0,,
1101,Nu Boot,3156.0,,
1102,12 Boot,3221.0,,
1103,9 Serp,3486.0,,
1104,106 Herc,4214.0,,
1105,Sigma 2587Bt,4672.0,,
1106,Lal 38442,0.0,,
1107,Lal 38426,0.0,,
,Mean,0.0,,
1108,Lal 39934,4921.0,A,
1109,Grb 3500,5205.0,,
1110,Grb 3847,5483.0,,
1111,Sigma 3046Bt,0.0,,
1112,Sigma 3046Ft,0.0,,
,M-Lal 46916,5781.0,A,
,,5781.0,B,
1113,Lal 4718,5811.0,,
1114,Brad 3212,0.0,,
1115,Nu Andr,331.0,,
1116,Lal 3137 A,355.0,A,
,,355.0,B,
1117,Lal 3137 B,355.0,A,
,,355.0,B,
1118,30 Arie B,525.0,A,
,,525.0,B,
1119,30 Arie A,525.0,A,
,,525.0,B,
1120,Beta 306,553.0,,
1121,Rho Arie,609.0,,
1122,47 Arie,615.0,,
1123,Algol,646.0,A,
1124,Alpha Pers,707.0,,
1125,34 Pers,719.0,,
1126,WB 811,838.0,,
1127,Grb 745,0.0,,
1128,46 Taur,932.0,,
1129,Alpha Taur,1014.0,A,
,,1015.01,,
1130,Sigma 612 B,1094.0,A,
,,1094.0,B,
1131,Sigma 612 A,1094.0,A,
,,1094.0,B,
1132,WB 1189,1129.0,,
1133,Capella,1187.0,M,
,,1187.0,A,
,,1188.0,,
1134,Capella H,1193.0,A,
,,1193.0,B,
1135,Lal 9913,0.0,,
1136,Beta Auri,1373.0,A,
1137,Lal 12494,1515.0,,
1138,23 H Caml,1530.0,,
1139,Sirius,1577.0,A,
,,1577.0,B,
1140,Lal 13427,1640.0,,
1141,Lal 13972,0.0,,
1142,Procyon,1805.0,A,
1143,Pollux,1826.0,,
1144,Lal 15333,1862.0,,
1145,WB 181,1973.0,,
1146,Grb 1450,2029.0,,
1147,Lal 18522,2239.0,,
1148,Epsilon Leon,2310.0,,
1149,15 L Min,2316.0,,
1150,39 Leon,2413.0,,
1151,Mu U Maj,2430.0,,
1152,Grb 1646,2449.0,A,
1153,38 L Min,2490.0,,
1154,46 L Min,2532.0,,
1155,51 L Min,2580.0,,
1156,Delta Leon,2614.0,,
1157,Chi U Maj,2721.0,,
1158,Delta U Maj,2824.0,,
1159,7 C Ven,2882.0,,
1160,Mizar A,3062.0,A,
,,3062.0,B,
1161,Lal 25087,3099.0,M,
,,3099.0,A,
1162,84 Virg,3129.0,M,
1163,Eta Boot,3175.0,,
1164,Alpha Drac,3209.0,,
1165,Alpha Boot,3242.0,,
1166,Lal 26196,3255.0,A,
1167,Gamma Boot,3294.0,A,
1168,Grb 2146,0.0,,
1169,Pi 235,3382.0,,
1170,Lal 27744,0.0,,
1171,6 Serp,3468.0,M,
1172,53 Boot,3508.0,,
1173,Grb 2270,3565.0,,
1174,Theta Drac,3644.0,,
1175,Lal 30338,3790.0,,
1176,Lal 30664,3827.0,,
1177,52 Herc,3830.0,,
1178,Lal 31055,3878.0,A,
,,3878.0,B,
,,3880.0,,
1179,Sigma 2146,3915.0,,
1180,Brad 2228,4030.0,,
,,4031.0,,
1180a,Berl 6083,4030.0,,
,,4031.0,,
1181,95 Herc B,4119.0,A,
,,4119.0,B,
1182,95 Herc A,4119.0,A,
,,4119.0,B,
1183,Lal 33640,4190.0,,
1184,39 Drac,4244.0,,
1185,Alpha Scut,4275.0,,
1186,Vega,4293.0,,
1187,Lal 34968,4318.0,,
1188,N3 Aqil,4341.0,,
1189,19 Aqil,0.0,,
1190,Grb 2781,0.0,,
1191,Fed 3124,4485.0,,
1192,Lal 36546,4527.0,,
1193,RR Lyra,4550.0,,
1194,Grb 2877,4597.0,,
1195,Lal 37513,4633.0,,
1196,Sigma 2576m,4648.0,M,
,,4648.0,A,
,,4648.0,B,
1197,17 Cygn B,4654.0,A,
,,4654.0,B,
1198,N3 Cygn,4739.0,,
1199,Grb 3042,0.0,,
1200,Brad 2618,4841.0,M,
,,4841.0,B,
,,4841.0,C,
,,4841.0,D,
1201,S 749 B,4867.0,A,
,,4867.0,B,
1202,S 749 A,4867.0,A,
,,4867.0,B,
1203,WB 759,4870.0,A,
1204,Gamma Equl,5091.0,,
1205,6 Equl,5093.0,,
1206,Lal 43372,0.0,,
1207,33 Pegs,5416.0,,
1208,Lal 44356,5490.0,,
1209,Grb 3930,5564.0,,
1210,51 Pegs,5568.0,,
1211,Brad 3084,5633.0,,
1212,Omega Sigma 507 C,5761.0,,
1213,Sigma 3048 B,5791.0,A,
,,5791.0,B,
1213a,Sigma 3048 A,5791.0,A,
,,5791.0,B,
1214,Lal 1405,171.0,,
1215,Lal 5140,562.0,,
,,563.01,,
1216,32 Pers,696.0,,
1217,4 Taur,732.0,,
1218,Lal 7892,0.0,,
1219,Beta Erid,1158.0,,
1220,51 Orio,1310.0,,
1221,Omega Gemi,1645.0,,
1222,21 Lync,1741.0,,
1223,28 Mono,1904.0,,
1224,Zeta Mono,1932.0,,
1225,Chi U Maj,2162.0,,
1226,43 Lync,2297.0,,
1227,Lal 21008,2548.0,,
1228,Tau Leon,2650.0,,
1229,95 Leon,2758.0,,
1230,7 Virg,2766.0,,
1231,10 Virg,2801.0,,
1232,5 C Ven,2854.0,,
1233,16 Coma,2869.0,,
1234,49 Virg,2996.0,,
1235,Lal 25538,3165.0,,
1236,10 Drac,3169.0,,
1237,Pi 1 Boot,3316.0,A,
,,3316.0,B,
1238,Pi 2 Boot,3316.0,A,
,,3316.0,B,
,Sigma 1864 mean,0.0,,
1239,10    Serp,3494.0,,
1240,16    Serp,3527.0,,
1241,Pi 15h198,3583.0,,
1242,Lal 30540,3804.0,,
1243,Gr 2612,4282.0,,
1244,Lal 34931,4333.0,,
1245,Lal 35511,4409.0,,
1246,16 Lyra,4425.0,,
1247,Lal 35836,0.0,,
1248,20 Cygn,4684.0,,
1249,Phi Aqil,4711.0,,
1250,Lal 38100,4733.0,,
1251,26 Cygn,4752.0,,
1252,Eta Sgte,0.0,,
1253,22 Vuip,4816.0,,
1254,4 Aqar,4983.0,M,
1255,Lal 40484,5017.0,,
1256,3 Equl,5066.0,,
1257,Nu Aqar,0.0,,
1258,78 Drac,5259.0,,
1259,Theta Pegs,5362.0,,
1260,30 Ceph,5485.0,,
1261,11 Lacr,5491.0,,
1262,82 Pegs,5774.0,,
1263,Lal 46867,5777.0,,
1264,Lal 34,0.0,,
1265,Lal 2999,337.0,,
1266,Sigma 226 A,0.0,,
1267,Lal 6310,722.0,A,
1268,Pi Erid,820.0,,
1269,9 Caml,1075.0,,
1270,4 Orio,1090.0,,
1271,27 Orio,1227.0,,
1272,5 Lync,1480.0,,
1273,Gamma C Min,1762.0,,
1274,25 Mono,1798.0,,
1275,Zeta Canc AB,0.0,,
1276,Zeta Canc C,0.0,,
,Mean,0.0,,
1277,Rho Hyda,2105.0,,
1278,Iota U Maj,2143.0,A,
,,2143.0,B,
,,2143.0,C,
1279,Pi Leon,2364.0,,
1280,41 L Min,2506.0,,
1281,55 Leon,2546.0,,
1282,Alpha U Maj,2575.0,,
1283,Grb 1812,2695.0,A,
,,2695.0,B,
1284,4 Virg,2732.0,,
1285,4H Drac,0.0,,
1286,17 Coma,2876.0,,
1287,33 Virg,2940.0,,
1288,35 Coma,2961.0,M,
,,2961.0,A,
1289,Sigma Virg,3036.0,,
1290,Lal 24774,0.0,,
1291,74 Virg,3088.0,,
1292,2H U Min,3388.0,,
1293,11 U Min,3472.0,,
1294,18 Drac,3807.0,,
1295,27H Ophi,3959.0,,
1296,Grb 2517,0.0,,
1297,107 Herc,4220.0,,
1298,Pi 185,4595.0,A,
,,4595.0,B,
1299,Nu Aqil,4643.0,,
1300,Lal 27626,4653.0,A,
1301,PGC 5072,4682.0,,
1302,5 Capr,4822.0,,
1303,32 Cygn,4826.0,,
1304,6 Capr,4829.0,,
1305,Sigma 2741 A,5037.0,,
1306,15 Aqar,5125.0,,
1307,Sigma 2786 A,5134.0,,
1308,Beta Aqar,5188.0,,
1309,Br 2942,5391.0,,
1310,Br 3011pre,5523.0,M,
,,5523.0,A,
,,5523.0,B,
1311,Br 3011fol,5523.0,M,
,,5523.0,A,
,,5523.0,B,
,Mean,0.0,,
1312,Alpha Pegs,5587.0,,
1313,19 Pisc,5755.0,,
1314,Sigma 3060 A,0.0,,
1315,Sigma 3060 B,0.0,,
,Mean,0.0,,
1316,Sigma 3062,0.0,,
1317,Sigma 186,396.0,M,
,,396.0,A,
,,396.0,B,
1318,A 2329,500.0,M,
,,500.0,A,
1319,Lal 6788,764.0,,
1320,Epsilon Pers,869.0,M,
,,869.0,A,
,,869.0,B,
1321,Pi Taur,981.0,,
1322,7 Caml,1096.0,,
1323,Zeta Taur,1286.0,,
1324,52 Orio,1327.0,,
1325,37 Caml,1407.0,,
1326,U Mono,1777.0,,
1327,Lal 15046,1832.0,,
1328,Lal 15976,0.0,,
1329,30 Mono,2003.0,,
1330,Sigma 1329 B,0.0,,
1331,Sigma 1329 A,0.0,,
1332,24 U Maj,2261.0,,
1333,Omega Sigma 224,2493.0,,
1334,Omega U Maj,2533.0,,
1335,Iota Leon,2640.0,,
1336,Pi 12h122,2892.0,,
1337,Lal 23491,2894.0,,
1338,24 Coma A,2902.0,A,
,,2902.0,B,
1339,24 Coma B,2902.0,A,
,,2902.0,B,
,Mean,0.0,,
1340,Lal 24504,0.0,,
1341,Sigma 1819,3239.0,M,
,,3239.0,A,
1342,Alpha Cor B,3519.0,,
1343,Mu Serp,3580.0,,
1344,Nu Ophi,3739.0,,
1345,Chi Ophi,3855.0,,
1346,Br 2163,3872.0,,
1347,Zeta Drac,3905.0,,
1348,87 Herc,4073.0,,
1349,102 Herc,4160.0,,
1350,R Lyra,4396.0,,
1351,Lambda Lyra,4413.0,,
1352,Lal 36081,0.0,,
1353,WB 19h1199,4632.0,,
1354,Pi 19h371,4730.0,,
1355,Epsilon Dlph,4888.0,,
1356,X Cygn,4944.0,,
1357,Lal 40636,5038.0,,
1358,Sigma 2744,5051.0,M,
,,5051.0,A,
