Thaw Number,Thaw Name,YPC Number,YPC Component,Delta Pi
150,Omicron1 Cygni,4810.0,,
151,Omicron2 Cygni,4811.0,M,
,,4811.0,A,
152,B. D. + 41  3799,4893.0,,
153,B. D. + 57  2240,4963.0,,
154,B. D. + 17  4519,5098.0,,
155,B. D. + 45  3561,5186.0,,
156,Rho Cygni,5200.0,,
157,B. D. + 53  2735,5301.0,,
158,B. D. + 56  2727,5376.0,,
159,Beta Pegasi,5583.0,,
160,Lambda Andromedae,5716.0,,
161,Chi Pegasi,38.0,,
162,Nu Piscium,273.0,,
163,Gamma Andromedae (prec),424.0,A,
,,424.0,B,
164,Gamma Andromedae (fol),424.0,A,
,,424.0,B,
,Mean,0.0,,
165,16 Persei,576.0,,
166,Omicron Tauri,711.0,,
167,40 Orionis,1285.0,,
168,B. D. + 5  1168,1463.0,A,
169,8 Lyncis,1526.0,,
170,B. D. + 21  1528,1672.0,,
171,18 Lyncis,1683.0,,
172,38 Lyncis,2214.0,,
173,35 Leonis,2410.0,,
174,Omicron Virginis,2789.0,,
175,8 Canum Ven.,2895.0,,
176,B. D. + 10  2637,3216.0,,
177,Xi Bootis,3360.0,A,
,,3360.0,B,
,,3360.0,C,
178,45 Bootis,3416.0,,
,,3419.0,,
179,B. D. + 25  2874,3416.0,,
,,3419.0,,
180,Sigma Serpentis,3716.0,,
181,B. D. + 8  3689,4236.0,A,
182,B. D. + 52  2294,4371.0,,
183,Sigma Cygni,5126.0,,
184,72 Cygni,5202.0,,
185,16 Cephei,5321.0,,
186,Beta Cassiopeiae,16.0,,
187,Eta Cassiopeiae,155.0,A,
,,155.0,B,
188,Alpha Ceti,629.0,,
189,Lambda Tauri,883.0,A,
190,Zeta Aurigae,1127.0,,
191,16 Virginis,2842.0,,
192,Piazzi 243,2982.0,,
193,70 Virginis,3076.0,,
194,Tau Bootis,3144.0,A,
,,3144.0,B,
195,Kappa Bootis (fainter),3235.0,A,
,,3235.0,B,
196,Kappa Bootis (brighter),3235.0,A,
,,3235.0,B,
,Mean,0.0,,
197,Lambda Bootis,3246.0,,
198,Theta Bootis,3274.0,A,
,,3274.0,B,
199,Beta Serpentis,3569.0,A,
,,3569.0,B,
200,Groombridge 2354,3760.0,,
201,Eta Herculis,3803.0,,
202,Lalande 31528,3938.0,,
203,Beta Draconis,3982.0,,
204,Nu Draconis (prec.),3999.0,A,
,,3999.0,B,
205,Nu Draconis (fol.),3999.0,A,
,,3999.0,B,
,Mean,0.0,,
206,Piazzi 368,4145.0,,
207,Groombridge 2527,4181.0,,
208,Delta Draconis,4495.0,,
209,25 Aquilae,4501.0,,
210,Groombridge 2809,4511.0,,
211,16 Cygni (brighter),4634.0,A,
,,4634.0,B,
212,16 Cygni (fainter),4634.0,A,
,,4634.0,B,
,Mean,0.0,,
213,Kappa Pegasi,5250.0,,
,,5251.0,,
214,4 Camelopardi,1057.0,,
215,Omicron Ursae majoris,2010.0,,
216,36 Ursae majoris,2457.0,,
,,2459.0,,
217,Groombridge 1658,2466.0,,
218,Gamma Comae Berenices,2868.0,,
219,Delta Virginis,2968.0,,
220,Beta 612,3120.0,,
221,Piazzi 194,3140.0,A,
,,3140.0,B,
222,B. D. + 7  2692,0.0,,
,Mean,0.0,,
223,Rho Bootis,3291.0,,
224,Epsilon Bootis (prec.),3336.0,A,
,,3336.0,B,
225,Epsilon Bootis (fol.),3336.0,A,
,,3336.0,B,
,Mean,0.0,,
226,Beta Bootis,3399.0,,
227,Delta Bootis,3449.0,A,
,,3449.0,B,
228,5 Serpentis,3457.0,A,
229,Iota Draconis,3490.0,,
230,Lambda Serpentis,3570.0,,
231,Delta Coronae Borealis,3585.0,,
232,Kappa Coronae Borealis,3592.0,,
233,Groombridge 3100 (prec.),4814.0,A,
,,4814.0,B,
234,Groombridge 3100 (fol.),4814.0,A,
,,4814.0,B,
,Mean,0.0,,
235,611 Cygni,5077.0,A,
,,5077.0,B,
236,612 Cygni,5077.0,A,
,,5077.0,B,
,Mean,0.0,,
237,Delta Andromedae,108.0,,
238,Zeta Andromedae,151.0,,
239,Mu Andromedae,189.0,,
240,28 Cassiopeiae,186.0,,
241,Eta Andromedae,191.0,,
242,Chi Piscium,244.0,,
243,Zeta Piscium (prec.),0.0,,
244,Zeta Piscium (fol.),0.0,,
,Mean,0.0,,
245,38 Cassiopeiae,303.0,,
246,Eta Piscium,314.0,,
247,Chi Cassiopeiae,319.0,,
248,Upsilon Persei,335.0,,
249,Nu Piscium,353.0,,
250,65 Andromedae,490.0,,
251,Theta Persei,549.0,A,
,,549.0,B,
252,Zeta Arietis,672.0,,
253,Nu Persei,784.0,,
254,Nu Tauri,892.0,,
255,Beta 883,1084.0,M,
,,1084.0,A,
256,Tau Aurigae,1325.0,,
257,Lalande 11471,1402.0,,
258,Beta 895,1469.0,,
259,6 Lyncis,1499.0,,
260,Piazzi 305,1647.0,,
261,Alpha Geminorum (prec.),1785.0,M,
,,1785.0,A,
,,1785.0,B,
,,1785.0,C,
262,Alpha Geminorum (fol.),1785.0,M,
,,1785.0,A,
,,1785.0,B,
,,1785.0,C,
,Mean,0.0,,
263,Omicron  Geminorum,1800.0,,
264,Lalande 15565,1889.0,,
265,14 Cancri,1936.0,,
266,18 Cancri,1979.0,,
267,4 Ursae Majoris,2050.0,,
268,55 Cancri,2117.0,A,
269,Zeta Hydrae,2134.0,,
270,11 Leonis Minoris,2280.0,A,
271,78 Ursae Majoris,2986.0,,
272,59 Virginis,3034.0,,
273,24 Bootis,3284.0,,
274,Groombridge 2152,3348.0,,
275,Alpha Serpentis,3557.0,,
276,Epsilon Serpentis,3587.0,,
277,39 Serpentis,3595.0,,
278,Rho Coronae Borealis,3626.0,,
279,Lalande 29437,3659.0,,
280,Sigma 2107,3836.0,M,
,,3836.0,A,
281,Groombridge 2389,3848.0,,
282,Lalande 31065,3881.0,,
283,Alpha Herculis (prec.),3912.0,A,
,,3912.0,B,
284,Alpha Herculis (fol.),3912.0,A,
,,3912.0,B,
,Mean,0.0,,
285,Beta 637,0.0,,
286,Alpha Trianguli,390.0,,
287,Gamma Persei,632.0,A,
288,Lalande 6772,768.0,,
,,769.0,A,
,,769.0,B,
289,104 Tauri,1152.0,M,
,,1152.0,A,
290,18 Camelopardi,1245.0,,
291,Groombridge 990,1274.0,,
292,Piazzi 146,1289.0,A,
,,1291.0,,
293,Lalande 10797,1314.0,,
294,Delta Aurigae,1367.0,,
295,Lalande 16933,2052.0,,
296,81 Cancri,2193.0,A,
297,Theta Ursae Majoris,2266.0,,
298,Lalande 18721,2269.0,,
299,20 Leonis Minoris,2366.0,,
300,Groombridge 1603,2374.0,A,
,,2374.0,B,
301,37 Ursae Majoris,2472.0,,
302,47 Ursae Majoris,2556.0,,
303,Lalande 22908,2814.0,,
304,10 Canum Venaticorum,2935.0,,
305,Lalande 23900,2945.0,,
306,Piazzi 200,3138.0,,
307,B. D. +19  2881,3367.0,,
308,Lalande 27922,3460.0,,
309,Groombridge 2273. . . .,3571.0,,
310,12 Ophiuchi,3773.0,,
311,35 Draconis,4105.0,,
312,B. D. +8  3692,4236.0,B,
313,Weisse 1064,4314.0,A,
,,4314.0,B,
314,Lalande 39866,4920.0,M,
,,4920.0,A,
,,4920.0,B,
315,56 Cygni,4984.0,,
316,Fedorenko 3638,5020.0,,
317,Nu Pegasi,5331.0,,
318,Delta Cephei,5443.0,A,
,,5443.0,C,
319,Iota Cephei,5532.0,,
320,Piazzi 267,5819.0,,
321,Sigma 42 (brighter),98.0,M,
,,98.0,A,
,,98.0,B,
322,Sigma 42 (fainter),98.0,M,
,,98.0,A,
,,98.0,B,
,Mean,0.0,,
323,54 Piscium,110.0,,
324,55 Piscium,113.0,A,
,,113.0,B,
325,Lalande 1045,116.0,,
326,Beta Andromedae,238.0,,
327,Piazzi 142,350.0,,
328,9 Lambda Arietis,407.0,,
329,8 Delta Trianguli,464.0,,
330,Piazzi 123,520.0,M,
,,520.0,A,
,,520.0,B,
331,10 Tauri,753.0,,
332,38 Omicron Persei,776.0,,
333,Groombridge 864,1032.0,,
334,Companion to Capella,1193.0,A,
,,1193.0,B,
335,Eta Geminorum,1444.0,,
336,Lalande 12293,1498.0,,
337,19 Lyncis (fainter),1724.0,A,
,,1724.0,B,
338,19 Lyncis (brighter),1724.0,A,
,,1724.0,B,
,Mean,0.0,,
339,Omicron Leonis,2299.0,M,
,,2299.0,A,
340,60 Leonia,2572.0,,
341,Piazzi 40,2836.0,,
342,Lalande 24414,3002.0,,
343,Sigma 2106,3832.0,M,
,,3832.0,A,
344,Sigma 2128,3886.0,A,
,,3886.0,B,
345,Weisse 1805,4127.0,M,
346,Lalande 33439,4171.0,,
347,111 Herculis,4336.0,,
348,31 b Aquilae,4541.0,,
349,38 Mu Aquilae,4579.0,,
350,Groombridge 2875,4581.0,,
351,Lalande 37120,4585.0,,
352,17 Cygni,4654.0,A,
,,4654.0,B,
353,Lalande 38383,4762.0,,
354,Lalande 38380,4759.0,,
355,Groombridge 3243,4914.0,,
356,Oeltzen 21338,5010.0,,
,,5012.0,,
357,Lalande 40848,5061.0,A,
,,5064.0,,
358,Beta 1138,5061.0,A,
,,5064.0,,
359,Lalande 41685,5161.0,,
360,Lalande 41818,5179.0,,
361,Lalande 42286,5233.0,,
362,Mu Cephei,5252.0,,
363,Lalande 42843,5306.0,,
364,Lalande 43492,5398.0,,
365,Piazzi 218,5772.0,A,
366,22 Andr,20.0,,
367,Lal 617,76.0,,
368,Phi Pisc,0.0,,
369,Omega Andr.,298.0,,
370,Piazzi 145,351.0,,
371,Lal 4268,473.0,,
372,Lal 5376,603.0,M,
,,603.0,A,
,,603.0,B,
,,603.0,C,
373,Mayer 120,743.0,,
374,Lal 7036,848.0,,
,,850.01,,
375,Omega Sigma 531,0.0,,
376,49 Persei,910.0,,
377,Lal 8248,975.0,,
378,Bradley 671,1113.0,,
379,Piazzi 294,0.0,,
380,Lal 11499,1400.0,,
381,Lal 11774,0.0,,
382,Lal 13942,1687.0,,
383,Rho Gemi,1760.0,A,
384,Weisse 1029,1823.0,,
385,25 Cancri,1999.0,,
386,Gr. 1678,2505.0,,
,,2507.0,,
387,Sigma 1774,3125.0,A,
,,3125.0,B,
388,Rho Herc,3953.0,A,
,,3953.0,B,
389,Lal 32151,3988.0,,
390,Beta 1251,4037.0,,
391,Beta 1255,4395.0,,
392,Beta Sagittae,4624.0,,
393,Lal 38287,4747.0,,
394,Munich 25146,4896.0,,
395,Bradley 2725,5027.0,,
396,34 Vulpec,5142.0,,
397,Gr. 3703,0.0,,
398,14 Andr,5691.0,,
399,27 Pisc,5793.0,,
400,Omega Sigma 18 (Br),123.0,M,
401,Mu Pisc,309.0,,
402,1 Arietis,380.0,A,
,,380.0,B,
403,1 Arietis,380.0,A,
,,380.0,B,
,Mean (Sigma 174),0.0,,
