Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
524,72 Pegasi,23,29.0,30,46,23h33m57.4036s,+31d19m09.0796s,30,4978,5.2,K2,0.055,0.059,0.003,11.0,28.0,2.7,13
525,Lamda Piscium,23,36.9,1,14,23h41m07.0578s,+01d47m15.8156s,0,5037,4.6,A5,-0.135,-0.128,0.027,12.0,29.0,2.3,14
526,Anonymous,23,37.1,1,7,23h42m07.0974s,+01d40m16.6139s,,,10,,,0.194,0.018,9.0,22.0,2.4,15
527,Lal 7116,3,46.2,22,22,03h51m53.9767s,+22d40m04.7848s,22,583,7.8,G0,+ .193*,0.199,0.031,9.0,24.0,2.7,13
528,Lal 8758,4,35.0,38,5,04h41m45.8838s,+38d16m38.8738s,37,954,5.8,F5,+ .225*,0.245,0.02,10.0,32.0,3.3,14
529,Lal 11870,6,8.6,2,51,06h13m14.0027s,+02d49m27.1504s,2,1163,7.9,K0,+ .042*,0.074,0.004,6.0,20.0,3.2,18
530,58 Cancri,8,49.7,28,19,08h54m59.6331s,+27d56m12.8754s,28,1666,5.2,G5,-0.009,0,-0.008,8.0,21.0,2.7,17
531,Mu Virginis,14,37.8,-5,13,14h42m15.5372s,-05d38m37.6692s,-5,3936,4,F5,0.109,0.131,0.03,5.0,15.0,2.8,16
532,Lal 33251,18,1.2,33,16,18h04m39.7085s,+33d16m24.7824s,33,3019,7.6,G0,.000*,-0.01,0.007,7.0,19.0,2.7,17
533,Theta Cass,1,5.0,54,37,01h11m02.9679s,+55d08m56.9245s,54,236,4.5,A5,0.23,0.22,0.003,6.0,22.0,3.4,22
534,33 Arietis,2,34.8,26,38,02h39m50.1712s,+27d03m52.7778s,26,443,5.4,A2,0.073,0.069,-0.007,6.0,22.0,3.7,21
535,Rho Tauri,4,28.2,14,38,04h33m39.9165s,+14d50m40.3714s,14,720,4.8,A5,0.103,0.113,0.02,6.0,20.0,3.6,19
536,Lal 10262,5,23.2,12,28,05h28m36.7046s,+12d32m57.9558s,12,801,6.8,F8,+ .111*,0.088,0.036,6.0,23.0,3.6,19
537,Gr. 1216,6,38.2,44,20,06h45m15.5792s,+44d13m57.8502s,44,1528,7.8,G0,+ .166*,0.144,0.011,4.0,15.0,3.7,21
538,Rad 1805,6,39.9,55,49,06h47m20.2979s,+55d42m44.6107s,,,6.3,,0.067,0.066,0.028,7.0,23.0,3.4,18
539,Rad 1806,6,39.9,55,49,06h47m20.2979s,+55d42m44.6107s,,,6.3,,0.067,0.068,0.027,8.0,27.0,3.4,18
,Mean Sigma 958,,,,,0,0,55,1122,,F5,,,0.028,5.0,,,
540,Lal 16469,8,19.5,0,49,08h24m08.6333s,+00d29m38.9609s,0,1987,6.8,G0,+ .081*,0.106,0.038,6.0,20.0,3.3,20
541,Sigma 1311,9,1.7,23,23,09h06m47.1621s,+22d58m58.6541s,,,7.1,F4,,-0.155,0.003,7.0,23.0,3.4,18
542,Sigma 1311,9,1.7,23,23,09h06m47.1621s,+22d58m58.6541s,23,2048,6.7,F3,-0.159,-0.145,-0.012,6.0,19.0,3.4,18
,Mean,,,,,0,0,,,6.3,F5,,,0.006,5.0,,,
543,Lamda Leonis,9,26.0,23,25,09h31m42.4763s,+22d58m35.7627s,23,2107,4.5,K5,-0.02,-0.005,0.014,5.0,20.0,3.8,24
544,22 Leonis,9,46.2,24,52,09h51m40.5722s,+24d23m54.8199s,25,2169,5.3,A2,0.017,0.027,0.034,6.0,24.0,3.9,24
545,Nu Urs. Maj.,11,13.1,33,38,11h18m24.2867s,+33d05m12.7434s,33,2098,3.7,K0,-0.02,-0.012,0.003,9.0,29.0,3.2,21
546,Lambda Drac,11,25.5,69,53,11h30m57.4479s,+69d19m54.9481s,70,665,4.1,Ma,-0.037,-0.041,0.023,8.0,24.0,2.8,16
547,Nu Virginis,11,40.7,7,5,11h45m08.5985s,+06d31m41.212s,7,2479,4.2,Ma,-0.015,-0.003,0.003,10.0,23.0,2.4,15
548,Sigma 1678,12,40.4,14,55,12h45m00.9473s,+14d22m09.8051s,15,2503,7,,,0.109,0.011,8.0,24.0,3.1,19
549,Sigma 1678,12,40.4,14,55,12h45m00.9473s,+14d22m09.8051s,15,2504,6.8,AO,,-0.023,0 .000,10.0,31.0,3.1,19
550,Sigma 1788,13,49.7,-7,34,13h54m15.9697s,-08d03m31.436s,-7,3728,6.2,F8,-0.161,-0.123,0.017,7.0,19.0,2.8,16
551,Beta 1270,13,58.7,8,58,14h02m57.0942s,+08d29m06.0751s,9,2842,7.8,F5,,0.071,0.013,7.0,24.0,3.4,22
552,Beta 1085,14,53.7,-4,35,14h58m15.1432s,-04d59m04.2335s,-4,3783,6,F5,- .369*,-0.338,0.006,5.0,17.0,3.3,23
553,W1 583,15,33.2,10,35,15h37m47.5446s,+10d15m17.4805s,10,2886,7,F8,+ .139*,0.134,0.011,5.0,16.0,3.0,20
554,L Bo 2294,15,43.1,1,53,15h48m04.0272s,+01d34m30.2108s,2,3001,7.9,G5,- .192*,-0.174,0.031,8.0,24.0,3.0,18
555,Xi 2 Scorpii,15,58.9,-11,6,16h03m30.4276s,-11d22m36.5636s,-10,4237,4.8,F8,-0.072,-0.073,0.041,5.0,16.0,2.9,18
556,Phi Herc,16,5.6,45,12,16h08m09.5018s,+44d56m07.957s,45,2376,4.3,B9p,-0.018,-0.021,0.008,6.0,20.0,3.3,21
557,49 Serp,16,8.6,13,48,16h12m38.5308s,+13d32m36.8934s,,,6.9,G9,,0.217,0.034,6.0,18.0,2.8,17
558,49 Serp,16,8.6,13,48,16h12m38.5308s,+13d32m36.8934s,,,6.7,G9,,0.181,0.048,6.0,17.0,2.9,18
,Mean Sigma 2021,,,,,0,0,13,3091,6.8,K0,0.171,,0.041,4.0,,,
559,Eta Drac,16,22.6,61,44,16h23m21.9963s,+61d30m14.1433s,61,1591,2.9,G5,-0.015,-0.013,0.048,5.0,18.0,3.7,24
560,W1 906,16,50.1,-8,9,16h55m25.8905s,-08d18m40.076s,-8,4352,9.2,K5p,- .858*,-0.819,0.162,9.0,27.0,3.2,20
561,c Herc,17,4.5,36,4,17h07m32.9918s,+35d56m10.1412s,36,2827,5.4,A5,-0.015,-0.019,0.01,8.0,26.0,3.2,22
562,Gr 2433,17,15.3,60,47,17h16m13.4087s,+60d40m34.1797s,60,1743,var,K0,-0.04,-0.047,-0.002,5.0,17.0,3.1,19
563,Lal 32025,17,23.0,73,6,17h20m54.8036s,+73d00m28.7534s,73,767,8.3,K0,+ .052*,0.062,0.02,8.0,25.0,2.9,20
564,Lal 31842,17,23.6,26,52,17h27m00.5956s,+26d46m55.1179s,26,3023,8,G5,- .096*,-0.114,0.025,8.0,25.0,3.2,20
565,Alpha Ophiuc,17,30.3,12,38,17h34m37.7332s,+12d33m58.4529s,12,3252,2.1,A5,0.121,0.17,0.039,8.0,28.0,3.3,25
566,Lal 32769,17,43.0,72,27,17h41m06.6563s,+72d24m23.2084s,72,803,8.4,K0,- .099*,-0.117,0.026,6.0,16.0,2.8,20
567,Lal 32664,17,47.6,-7,53,17h52m25.9025s,-07d54m29.9003s,-7,4517,7.6,G5,- .071*,-0.067,0.011,9.0,26.0,2.7,20
568,Lal 33193,18,0.1,30,23,18h03m49.0287s,+30d23m16.7155s,30,3113,6.7,F5,- .078*,-0.033,0.022,5.0,16.0,3.1,20
569,40 Drac,18,7.5,79,59,17h59m30.4414s,+79d59m28.4906s,79,570,6.2,F5,0.057,0.059,0.018,7.0,22.0,3.1,21
570,41 Drac,18,7.6,79,59,17h59m30.4414s,+79d59m28.4906s,79,571,5.8,F5,0.05,0.052,0.006,7.0,22.0,3.1,21
,Mean Sigma 2308,,,,,0,0,,,,,,,0.012,5.0,,,
571,36 Drac,18,13.3,64,22,18h13m29.1354s,+64d23m55.794s,64,1252,5,F5,0.35,0.356,0.037,8.0,25.0,3.0,19
572,Lal 34175,18,24.7,-1,53,18h29m11.677s,-01d49m07.8615s,-1,3500,8.2,K5,+ .142*,0.178,0.056,7.0,19.0,2.9,18
573,Beta 971,18,44.9,49,20,18h46m34.5656s,+49d26m33.5753s,49,2871,7.2,F5,,-0.002,0.018,6.0,18.0,2.9,18
574,Beta 648,18,53.3,32,46,18h56m43.6133s,+32d53m55.327s,32,3267,5.2,G0,0.177,0.154,0.055,7.0,24.0,3.3,22
575,17 Lyrae,19,3.6,32,21,19h06m45.8655s,+32d30m19.9779s,32,3326,5,F0,0.124,0.176,0.004,6.0,18.0,3.0,17
576,Gr 2789,19,9.5,49,40,19h11m36.8913s,+49d50m05.3869s,,,6.8,G4,-0.167,-0.184,0.039,4.0,13.0,3.2,19
577,Dorpat 2258,19,9.5,49,40,19h11m36.8913s,+49d50m05.3869s,,,6.6,G6,-0.184,-0.209,0.035,6.0,19.0,3.3,20
,Mean Sigma 2486,,,,,0,0,49,2959,,G5,,0.037,0.037,3.0,,,
578,Alpha Vulpec,19,24.5,24,28,19h28m10.55s,+24d40m15.4232s,24,3759,4.6,Ma,-0.123,-0.133,0.014,7.0,18.0,2.7,16
579,8 Vulpec,19,24.8,24,34,19h28m10.2873s,+24d46m15.4054s,24,3761,6,K0,-0.007,0.005,0.002,6.0,17.0,2.7,16
580,Pi 182,19,30.9,0,7,19h35m06.9021s,+00d20m07.7634s,0,3788,7.9,G5,- .015*,-0.023,-0.005,8.0,22.0,2.9,17
581,15 Sagittae,19,59.6,16,48,20h03m32.2479s,+17d04m51.9104s,16,4121,5.9,G0,-0.401,-0.409,0.069,8.0,21.0,2.8,17
582,Theta Sagittae,20,5.5,20,37,20h09m24.3259s,+20d54m36.3709s,20,4453,6.3,F2,0.059,0.076,0.04,0.006,0.019,3.0,17
383,Sigma 2671,20,15.9,55,5,20h17m27.8539s,+55d23m42.6723s,,,7.5,B9,,-0.035,0.025,9.0,23.0,2.6,16
584,Sigma 2671,20,15.9,55,5,20h17m27.8539s,+55d23m42.6723s,,,6,B9,-0.004,-0.018,-0.004,7.0,20.0,3.0,18
,Mean,,,,,0,0,54,2329,5.7,A0,,,0.007,6.0,,,
585,39 Cygni,20,19.9,31,52,20h22m59.1179s,+32d11m16.9085s,31,4062,4.6,K2,0.045,0.053,0.008,7.0,20.0,3.1,18
586,Gr 3263,20,38.2,60,9,20h40m07.0846s,+60d30m22.2537s,59,2272,6,F5,0.007,0.022,0.013,6.0,17.0,2.7,15
587,4 Equulei,21,0.5,5,34,21h04m57.9496s,+05d57m52.7456s,5,4697,6,F8,-0.1,-0.092,0.008,8.0,24.0,2.9,17
588,Pulk 55 3131,21,23.3,48,24,21h26m32.3322s,+48d50m02.1053s,48,3390,5.3,A3,0.072,0.073,0,7.0,23.0,3.1,20
589,29 Pegasi,21,28.4,20,16,21h32m37.0433s,+20d42m32.001s,,,8,,,0.001,0.005,8.0,20.0,2.5,14
590,29 Pegasi,21,28.4,20,16,21h32m37.0433s,+20d42m32.001s,,,7.5,,,0.001,0.018,8.0,20.0,2.5,14
,Mean Sigma 2804,,,,,0,0,20,4955,7.1,F5,,,0.012,6.0,,,
591,Brad 3077,23,8.5,56,37,23h12m23.2067s,+57d09m37.4364s,56,2966,5.6,K2,2.083,2.07,0.137,6.0,19.0,3.2,21
592,Brad 3094,23,15.0,47,50,23h19m39.8121s,+48d22m49.9448s,47,4114,6.4,K0,0.206,0.193,-0.007,7.0,22.0,3.1,19
593,Lal 1677,0,54.1,31,57,00h59m28.0246s,+32d29m23.469s,31,153,7,F5,+ .355*,0.348,0.03,7.0,24.0,3.3,22
594,37 Ceti,1,9.4,-8,28,01h14m01.4736s,-07d56m12.2229s,-8,216,5.2,F0,0.128,0.081,0.035,8.0,27.0,3.3,20
595,Pi 171,1,43.0,32,11,01h48m45.2368s,+32d40m54.4418s,31,316,5.8,F5,-0.174,-0.179,0.028,7.0,27.0,3.7,23
596,48 Cass,1,53.7,70,25,02h01m13.6s,+70d54m08.5358s,70,153,4.6,A3,-0.061,-0.05,0.022,6.0,22.0,3.6,21
597,64 Ceti,2,6.1,8,6,02h11m17.8105s,+08d34m16.9599s,7,347,5.7,G0,-0.134,-0.188,0.03,6.0,21.0,3.6,21
598,Lal 5490,2,56.0,61,20,03h04m01.6623s,+61d43m37.3847s,61,513,6.7,G0,+ .734*,0.745,0.018,5.0,18.0,3.7,21
599,Sigma Aurigae,5,17.9,37,18,05h23m47.8515s,+37d23m44.6396s,37,1175,5.2,K5,0,-0.004,0.001,4.0,16.0,4.0,20
600,75 Orionis,6,11.6,9,59,06h16m30.8287s,+09d56m59.7229s,9,1173,5.3,A2,0.006,0.01,0.01,5.0,20.0,3.8,22
601,63 Aurigae,7,4.8,39,29,07h10m52.4514s,+39d19m18.5984s,39,1882,5.1,K2,0.048,0.018,0.019,6.0,23.0,3.9,21
602,51 Gem,7,7.6,16,20,07h12m44.5425s,+16d09m58.2602s,16,1417,5.3,Mb,0.014,0.012,0.006,6.0,24.0,3.9,22
603,65 Aurigae,7,15.4,36,57,07h21m41.7712s,+36d45m47.9591s,37,1707,5.2,K0,-0.078,-0.109,0.019,6.0,23.0,3.9,20
604,65 Gem,7,23.6,28,7,07h29m13.5275s,+27d54m44.3743s,28,1400,5.1,K0,-0.026,-0.052,0.013,5.0,18.0,3.7,22
605,68 Gem,7,27.9,16,2,07h32m42.6294s,+15d49m14.0245s,16,1510,5.1,A2,-0.012,-0.011,0.008,4.0,16.0,3.8,23
606,Lal 15307,7,48.6,50,48,07h55m31.4739s,+50d32m20.7053s,50,1489,8.5,G5,+ .177*,0.203,0.004,6.0,21.0,3.6,21
607,Lal 15882,8,3.7,35,45,08h09m28.9245s,+35d27m30.7838s,35,1767,6.6,F8,+ .223*,0.209,0.019,4.0,16.0,3.6,22
608,Lal 16530,8,20.5,7,53,08h25m22.1061s,+07d33m31.0437s,8,2053,5.2,K0,-0.04,-0.023,0.003,8.0,28.0,3.5,20
609,Sigma 1245,8,30.5,6,58,08h35m19.9057s,+06d37m21.2499s,7,1997,6,F5,-0.122,-0.114,0.048,7.0,27.0,3.6,20
610,7 Leonis,9,30.4,14,50,09h35m28.2625s,+14d23m15.19s,15,2077,6.2,A0,-0.036,-0.116,-0.001,6.0,21.0,3.2,18
611,Lal 19022,9,37.1,43,10,09h43m18.6429s,+42d42m37.1432s,43,1953,8.1,K2,+ .041*,0.041,0.064,6.0,21.0,3.5,22
612,Lal 19449,9,51.5,20,14,09h56m32.8369s,+19d45m31.8344s,20,2399,7.7,G0,- .242*,-0.247,0.02,5.0,20.0,3.8,24
613,,9,51.5,20,14,09h56m32.8369s,+19d45m31.8344s,20,2400,8.5,,,-0.24,0.031,6.0,24.0,3.7,23
,Mean,,,,,0,0,,,,,,,0.025,4.0,,,
614,Nu Bootis,15,27.3,41,10,15h30m35.6067s,+40d49m31.3608s,41,2609,5.2,K5,0.014,0.013,0.017,5.0,18.0,3.3,22
615,Iota Serp,15,37.1,20,0,15h41m27.982s,+19d40m44.7433s,20,3138,4.5,A2,-0.068,-0.057,0.001,7.0,26.0,3.6,23
616,Lal 29439,16,2.9,38,55,16h05m33.5216s,+38d38m46.4806s,39,2950,8.6,G5,+ .226*,0.24,0.05,9.0,30.0,3.4,22
617,Lal 29917,16,16.5,67,29,16h16m19.2714s,+67d14m22.4788s,67,935,8.9,K5,- .497*,-0.491,0.083,5.0,19.0,3.6,24
618,Gr 2624,18,34.9,42,35,18h37m05.8621s,+42d40m09.7143s,42,3123,8.7,G5,+ .295*,0.299,0.045,7.0,25.0,3.5,22
619,Gr 2686,18,48.0,38,30,18h51m23.3514s,+38d37m11.2898s,38,3327,7.2,F8,+ .311*,0.33,0.011,8.0,24.0,3.2,20
620,"Pi 18h, 273",18,49.8,74,36,18h46m10.7459s,+74d42m53.3499s,74,792,7.3,G0,+ .327*,0.339,-0.016,7.0,20.0,2.8,17
621,Pi Drac,19,20.2,65,31,19h20m30.4987s,+65d42m27.7553s,65,1345,4.6,A2,0.022,0.039,0.008,7.0,23.0,3.4,20
622,Lal 37272,19,31.7,51,1,19h33m34.8734s,+51d14m05.6283s,50,2815,5.6,F5,0.032,0.001,0.032,6.0,22.0,3.6,25
623,Phi Cygni,19,35.4,29,55,19h38m56.9471s,+30d08m43.1438s,29,3684,4.8,K0,0.001,-0.004,0.006,7.0,24.0,3.5,20
624,Alpha Sagittae,19,35.6,17,47,19h39m28.0544s,+18d00m45.2088s,17,4042,4.4,G0,0.02,0.011,-0.005,5.0,17.0,3.6,24
625,Psi Cygni,19,53.0,52,10,19h55m35.5389s,+52d25m58.818s,52,2572,4.8,A3,-0.037,-0.046,-0.004,6.0,21.0,3.6,23
626,15 Vulpec,19,57.0,27,29,20h01m06.6834s,+27d45m35.1557s,27,3587,4.7,A5,0.056,0.043,0.022,6.0,22.0,3.8,25
627,47 Cygni,20,30.0,34,54,20h33m53.4396s,+35d14m33.7933s,34,4079,4.8,K5,0.002,-0.016,-0.002,6.0,21.0,3.3,19
628,29 Vulpec,20,34.1,20,51,20h38m27.4996s,+21d12m03.1042s,20,4658,4.8,A0,0.062,0.078,-0.007,7.0,23.0,3.3,19
629,Omega Sigma 411,20,39.0,45,28,20h42m22.9433s,+45d49m33.1762s,45,3245,7.6,G0,,-0.048,0.006,6.0,19.0,3.1,18
630,31 Vulpec,20,47.8,26,43,20h51m17.2211s,+27d05m28.7659s,26,4017,4.8,G5,-0.071,-0.068,0.019,6.0,20.0,3.3,20
631,63 Cygni,21,3.2,47,15,21h06m26.5819s,+47d39m06.3809s,47,3292,4.9,K5,0.014,0.008,0.007,7.0,21.0,3.0,17
632,2 Pegasi,21,25.4,23,12,21h29m31.6046s,+23d38m15.675s,23,4325,4.8,K5,0.021,0.02,0.004,6.0,17.0,3.0,18
633,74 Cygni,21,32.9,39,58,21h36m00.2355s,+40d24m51.4276s,39,4612,5.1,A5,-0.002,-0.01,0.012,6.0,18.0,3.1,20
634,14 Pegasi,21,45.4,29,43,21h49m25.228s,+30d10m57.4276s,29,4525,5,A0,0.029,0.036,-0.002,8.0,26.0,3.3,21
635,14 Cephei,21,58.7,57,31,22h01m21.1958s,+57d59m54.6282s,57,2441,5.5,B0,-0.003,-0.013,-0.015,6.0,21.0,3.3,21
636,Piazzi 405,22,2.0,44,32,22h06m03.1142s,+45d01m13.3735s,44,4043,5.3,K5,0.002,-0.027,-0.001,5.0,18.0,3.4,21
637,Lal 43671-2,22,18.1,8,57,22h22m58.2787s,+09d27m18.5691s,8,4856,7.8,G5,+ .276*,0.273,0.018,8.0,25.0,3.2,19
638,Kappa Aquarii,22,32.6,-4,45,22h37m11.2083s,-04d13m52.998s,-4,5716,5.3,K0,-0.075,-0.067,0.016,8.0,28.0,3.3,23
639,9 Lacertae,22,33.3,51,2,22h37m06.9855s,+51d33m08.4828s,50,3770,4.8,A5,-0.054,-0.055,0.015,6.0,19.0,3.4,21
640,Rho Pegasi,22,50.2,8,17,22h55m01.5561s,+08d48m58.3036s,8,4961,5,A0,0.074,0.078,-0.003,7.0,26.0,3.5,22
641,Rad 5911,22,55.9,56,25,22h59m12.285s,+56d57m09.5719s,56,2923,5.5,GOp,0.005,-0.014,-0.004,5.0,16.0,3.4,20
642,Brad 3109,23,18.9,31,59,23h22m52.9013s,+32d31m54.7959s,31,4901,6.5,F5,0.233,0.241,0.001,8.0,26.0,3.4,23
643,,,,,,0,0,,,,,,,,,,,
644,Xi Ursae Majoris,,,,,0,0,,,4.4,F9,,-0.406,0.12,7.0,19.0,2.8,18
645,Xi Ursae Majoris,,,,,0,0,,,4.9,G2,,-0.404,0.164,8.0,23.0,2.8,18
,Mean,11,12.9,32,6,11h17m23.6758s,+31d33m14.4509s,32,2132,,G0,-0.421,,,,,,
646,Alpha Orion,5,49.8,7,23,05h54m24.7168s,+07d24m12.5077s,7,1055,0.9,Ma,0.031,0.007,0.013,7.0,18.0,2.7,14
647,Theta Aurigae,5,52.9,37,12,05h58m48.8254s,+37d12m40.1504s,37,1380,2.7,A0p,0.055,0.058,0.014,7.0,21.0,2.8,15
648,38 Gem,6,49.0,13,18,06h54m38.0242s,+13d10m30.6036s,13,1462,4.7,F0,0.076,0.064,0.044,10.0,27.0,2.7,14
649,Lal 13792,7,3.5,25,54,07h09m09.3816s,+25d44m29.9865s,25,1594,7,G0,- .127*,-0.129,0.026,8.0,21.0,2.7,15
650,P.G.C. 2006,7,33.8,48,22,07h40m23.9987s,+48d08m19.0392s,48,1561,5.8,G5,-0.053,-0.075,0.006,6.0,18.0,2.9,14
651,Epsilon Hydrae,8,41.5,6,47,08h46m19.0735s,+06d25m07.1077s,6,2036,3.5,F8,-0.186,-0.146,0.026,9.0,24.0,2.8,16
652,37 Leo Min,10,33.1,32,30,10h38m37.6563s,+31d58m49.1371s,32,2061,4.8,G0,0.008,0.023,0.018,8.0,21.0,2.7,16
653,54 Herc,16,51.0,18,36,16h55m24.5077s,+18d26m24.0145s,18,3266,5.6,K2,-0.103,-0.136,0.003,10.0,27.0,2.7,15
654,"W, 17h, 517",17,29.9,6,4,17h33m53.3747s,+05d59m50.9036s,6,3455,8.5,G,- .473*,-0.456,0.002,10.0,26.0,2.6,14
655,Bu 8068A,17,30.0,6,6,17h34m53.2863s,+06d01m59.5785s,6,3456,7.9,F8,,0.022,0.005,7.0,18.0,2.6,14
656,Barnard's Star..,17,52.9,4,25,17h56m57.0836s,+04d24m11.7071s,,,9.7,Mb,,-0.739,0.55,7.0,19.0,2.6,17
657,Xi Herc,17,53.9,29,16,17h56m52.5311s,+29d15m15.7474s,29,3156,3.8,K0,0.09,0.081,0.018,8.0,23.0,2.9,15
658,70 Ophiuc,18,0.4,2,31,18h05m01.5064s,+02d31m21.998s,2,3482,4.1,K0,0.253,0.132,0.184,0.009,0.025,2.9,16
659,Gr 2571,18,23.9,46,1,18h25m49.5605s,+46d04m33.154s,45,2716,8.3,G5,- .340*,-0.356,0.013,7.0,17.0,2.3,13
660,Kappa Cygni,19,14.8,53,11,19h16m17.8143s,+53d21m45.6179s,53,2216,4,K0,0.068,0.061,0.027,8.0,23.0,2.8,17
661,Beta 1 Cygni,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3410,3.2,K0,0.001,-0.024,-0.01,8.0,20.0,2.7,15
662,Beta 2 Cygni,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3411,5.4,B9,-0.007,-0.028,0.014,10.0,27.0,2.5,15
663,Beta Aquilae,19,50.4,6,9,19h54m54.413s,+06d24m44.6183s,6,4357,3.9,K0,0.036,0.022,0.078,5.0,18.0,2.6,14
664,Gamma Sagittae,19,54.3,19,13,19h58m26.3581s,+19d29m13.5454s,19,4229,3.7,K5,0.064,0.02,0.003,11.0,25.0,2.3,12
665,Epsilon Cygni,20,42.2,33,36,20h45m59.9123s,+33d57m55.1441s,33,4018,2.6,K0,0.364,0.349,0.054,5.0,14.0,2.6,15
666,Eta Cephei,20,43.3,61,27,20h45m00.6013s,+61d48m55.2083s,61,2050,3.6,K0,0.103,0.087,0.066,7.0,17.0,2.4,17
667,P.G.C. 5511,21,21.7,46,17,21h24m38.2035s,+46d42m51.3529s,46,3305,5.5,F0,0.203,0.182,0.016,11.0,27.0,2.5,15
668,Omicron Cephei,23,14.5,67,34,23h18m04.8373s,+68d06m47.8269s,67,1514,4.9,G5+,0.065,0.06,0.027,1.0,26.0,2.4,14
669,Kappa Andr,23,35.5,43,47,23h39m54.6873s,+44d20m14.8915s,43,4522,4.3,A0,0.081,0.085,0.005,8.0,23.0,2.7,17
670,Lal 1299,0,43.1,4,46,00h48m09.7156s,+05d18m45.0608s,4,123,5.8,G5,0.751,0.72,0.137,5.0,17.0,3.8,26
671,Wolf 28,0,43.1,4,55,00h48m09.7853s,+05d27m45.0598s,,,12.3,F,,1.202,0.239,9.0,34.0,3.6,24
672,"Weisse 3h, 113",3,9.4,8,37,03h14m22.7487s,+08d59m23.3319s,8,482,7.7,K0,.426*,0.386,0.038,5.0,20.0,3.7,21
673,Omicron 2 Eridani,4,10.7,-7,49,04h14m51.2919s,-07d33m53.2863s,-7,780,4.5,G5,-2.194,-2.233,0.198,6.0,24.0,4.1,25
674,Delta 1 Tauri,4,17.1,17,18,04h22m45.3754s,+17d32m08.1244s,17,712,3.9,K0,0.113,0.105,0.013,7.0,27.0,3.9,22
675,132 Tauri,5,42.9,24,32,05h48m08.3057s,+24d34m10.4812s,24,970,5,K0,0.006,0.003,0.002,4.0,14.0,3.7,19
676,136 Tauri,5,47.0,27,35,05h53m17.1737s,+27d36m26.167s,27,899,4.5,A0,0.014,0.027,0.016,6.0,22.0,3.7,19
677,38 Aurigae,5,56.1,42,55,06h03m11.6475s,+42d55m03.5025s,42,1473,6.1,G5,0.125,0.11,0.011,4.0,17.0,4.1,22
678,Psi Aurigae,6,17.0,49,20,06h24m42.1594s,+49d16m57.8466s,49,1488,5.1,K2,0.013,0 .000,0 .000,5.0,19.0,3.8,20
679,17 Monoc,6,41.9,8,9,06h46m26.0552s,+08d02m39.9128s,8,1496,5,K0,-0.018,-0.022,0.012,5.0,21.0,4.3,26
680,56 Gem,7,16.0,20,38,07h21m54.5152s,+20d26m42.969s,20,1775,5.2,K2,-0.058,-0.062,-0.001,4.0,18.0,4.1,24
681,74 Gem,7,33.7,17,54,07h38m46.562s,+17d40m25.5328s,18,1701,5.2,K5,0.006,-0.002,0 .000,4.0,19.0,4.4,28
682,Alpha Lyncis,9,15.0,34,49,09h21m07.2526s,+34d23m35.3396s,35,1979,3.3,K5,-0.214,-0.223,0.022,7.0,27.0,3.7,23
683,Lal 19267,9,44.5,11,34,09h49m22.1044s,+11d06m05.0977s,11,2108,7.5,F8,- .341*,-0.299,0.012,7.0,24.0,3.4,23
684,Lal 19821,10,6.3,24,15,10h11m35.143s,+23d45m26.802s,24,2193,8.6,G0,- .409*,-0.396,0.015,4.0,16.0,3.8,22
685,Lal 20253,10,21.8,20,20,10h26m27.3086s,+19d49m29.6841s,20,2488,8.9,F8,- .184*,-0.172,0.033,7.0,25.0,3.7,24
686,6 Comae,12,10.9,18,27,12h15m04.9872s,+17d53m38.4223s,15,2436,5.1,A2,-0.069,-0.042,0.018,4.0,16.0,3.6,22
687,Lal 24760,13,15.5,38,41,13h19m32.3212s,+38d09m28.2805s,38,2431,7.9,K0,- .389*,-0.418,0.02,7.0,25.0,3.6,25
688,69 H. Urs. Maj.,13,24.8,60,28,13h27m41.9783s,+59d56m54.42s,60,1461,5.4,A0,-0.082,-0.057,0.017,5.0,17.0,3.5,23
689,Rad 3328,15,3.4,54,56,15h05m51.1657s,+54d32m50.1802s,55,1730,5.2,G5,0.047,0.049,0.025,5.0,19.0,3.5,22
690,Lal 29644,16,9.3,39,36,16h12m29.6009s,+39d20m40.1939s,39,2963,8.2,G0,- .258*,-0.271,0.006,7.0,24.0,3.6,22
691,Nu 1 Cor. Bor,16,18.6,34,1,16h21m46.0208s,+33d46m51.9153s,34,2773,5.4,Ma,0.009,0.022,-0.003,6.0,19.0,3.5,21
692,Nu 2 Cor. Bor,16,18.7,33,56,16h21m46.2759s,+33d41m51.9322s,34,2774,5.3,K5,0.008,0.006,0.022,7.0,24.0,3.6,22
693,Beta Herc,16,25.9,21,24,16h29m19.5235s,+21d10m50.0259s,21,2934,2.8,K0,-0.101,-0.092,0.009,5.0,23.0,4.3,36
694,Lal 30189,16,30.6,9,2,16h34m47.9043s,+08d49m32.3249s,9,3230,9.4,G,+ .064*,0.075,0.004,5.0,20.0,3.8,28
695,51 Herc,16,47.6,24,49,16h51m08.7537s,+24d38m49.498s,24,3069,5.2,K0,0.02,0.022,0.007,7.0,24.0,3.4,20
