Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
404,Eta Persei (Br),2,43.4,55,29,02h50m17.573s,+55d53m57.5962s,55,714,3.9,K0,0.026,0.026,0.021,9.0,28.0,3.2,17
405,Kappa Ceti,3,14.1,3,0,03h19m13.0073s,+03d21m51.0912s,2,518,5,G5,0.268,0.268,0.112,8.0,24.0,3.2,17
406,Sigma 422,3,31.7,0,16,03h36m08.1972s,+00d35m55.3912s,0,616,6.2,G8,-0.018,-0.038,0.036,6.0,18.0,3.1,17
407,Sigma 422,3,31.7,0,16,03h36m08.1972s,+00d35m55.3912s,0,616,6.2,G8,-0.018,-0.022,0.043,10.0,29.0,2.9,17
,Mean,,,,,0,0,,,,,,,0.037,5.0,,,
408,Pi 3 Orionis,4,44.4,6,47,04h49m22.6735s,+06d57m30.3288s,6,762,3.3,F8,0.474,0.45,0.123,7.0,21.0,3.2,16
409,i Tauri.,4,45.5,18,40,04h50m50.5335s,+18d50m20.0897s,18,743,5.1,FO,0.086,0.073,0.006,4.0,14.0,3.3,15
410,Iota Aurigae,4,50.5,33,0,04h56m30.7739s,+33d09m35.5499s,32,855,2.9,K2,0.011,-0.001,0.016,7.0,23.0,3.4,17
411,Epsilon Aurigae,4,54.8,43,41,05h01m10.641s,+43d49m59.1549s,43,1166,Var.,F5p,0.006,-0.01,-0.001,7.0,25.0,3.5,17
412,P. M. 572,5,23.3,54,35,05h31m13.6647s,+54d39m46.6438s,54,902,7.6,GO,- .129*,-0.145,0.022,7.0,24.0,3.3,17
413,Psi 7 Aurigae,6,43.7,41,54,06h50m04.6001s,+41d47m15.71s,41,1536,5,KO,-0.017,-0.022,-0.008,7.0,24.0,3.2,15
414,Psi 8 Aurigae,6,46.4,38,34,06h52m51.2526s,+38d26m50.9954s,38,1636,6.3,F5,0.031,0.063,-0.006,5.0,17.0,3.2,16
415,Rumk 2024,6,49.5,40,13,06h55m57.1927s,+40d05m24.9785s,40,1758,8.4,K5,.126*,0.12,0.02,6.0,18.0,3.0,15
416,B.D. + 40  1759,6,49.6,40,12,06h55m57.128s,+40d04m24.9831s,40,1759,9.5,F5,,-0.017,-0.013,6.0,19.0,3.0,15
417,Lal 13784,7,2.3,15,41,07h07m43.229s,+15d31m40.2086s,15,1473,7.5,F8,- .060*,-0.078,0.035,8.0,25.0,3.0,15
418,Lal 13791,7,2.5,15,41,07h07m43.229s,+15d31m40.2086s,15,1476,7.4,F8,- .050*,-0.077,0.025,8.0,25.0,3.0,15
