Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
409,2_Camel,5.4/7.4,04 45 59,+53 22 36,1950,,,,
410,91_Tauri,5.2,04 36 18,+15 42 11,1950,,,,
411,Porter_288,7.5,04 38 03,+42 01 43,1950,,,,
412,Amb._1334,6.1,04 38 26,+38 11 11,1950,,,,
413,59_Persei,5.2,04 39 18,+43 52 33,1950,,,,
414,27o688,8.0,04 40 29,+27 35 54,1950,,,,
415,Lal_8943,5.4,04 43 15,+11 36 57,1950,,,,
416,4_Camel,5.4,04 43 49,+56 40 15,1950,,,,
417,43o1069,7.7,04 45 12,+43 12 00,1950,,,,
418,GC_5843,5.6,04 45 21,-17 01 30,1950,,,,
419,1_Aurigae,5.1,04 46 32,+37 24 06,1950,,,,
420,pi_Orionis,3.3,04 47 07,+6 52 32,1950,,,,
421,beta_883,7.0,04 48 26,+10 59 04,1950,,,,
422,iota_Tauri,5.1,04 48 27,+18 45 23,1950,,,,
,,,,,,,,,
424,9_Camel,4.4,04 49 03,+66 15 38,1950,,,,
425,LP_359-2,12.7,04 49 24,+25 16 00,1950,,,,
426,Wolf_1539,11.8,04 49 25,+06 23 48,1950,,,,
427,Sigma_612,"7.6/7.9<17""",04 49 34,+07 17 28,1950,,,,
428,7_Camel,4.5,04 53 16,+53 40 28,1950,,,,
429,9_Orionis,4.3,04 53 33,+13 26 13,1950,,,,
430,iota_Aurigae,2.9,04 53 44,+33 05 19,1950,,,,
431,GD_64,14.0,04 53 50,+41 51 30,1950,,,,
432,4_Aurigae,"5.0/7.7<6""",04 55 51,+37 48 59,1950,,,,
433,Porter_306,6.5,04 58 19,-05 48 38,1950,,,,
434,HR_1614,6.4,04 58 19,-05 48 48,1950,,,,
435,beta_Camel,4.2,04 58 57,+60 22 18,1950,,,,
436,iota_Tauri,4.7,05 00 06,+21 31 13,1950,,,,
437,11_Orionis,4.6,05 01 42,+15 20 10,1950,,,,
438,9_Aurigae,5.0,05 02 45,+51 32 01,1950,,,,
439,eta_Aurigae,3.3,05 03 00,+41 10 08,1950,,,,
440,G191-B2,11.0/11.5,05 03 _,+52 48 00,1975,,,,
441,66_Erid,5.2,05 04 17,-04 43 13,1950,,,,
,,,,,,,,,
443,106_Tauri,5.3,05 04 50,+20 21 14,1950,,,,
444,13_Orionis,6.3,05 04 53,+09 24 44,1950,,,,
445,14_Ori,"6.0/6.8<0"".9",05 05 09,+08 26 05,1950,,,,
446,beta_Eridani,2.9,05 05 23,-05 08 58,1950,,,,
447,15_Orionis,4.9,05 06 50,+15 32 06,1950,,,,
448,Porter_319,5.9,05 06 59,_46 54 09,1950,,,,
449,40o1196,8.1,05 07 17,+40 56 30,1950,,,,
450,mu_Aurigae,4.8,05 10 00,+38 25 38,1950,,,,
451,Sigma_634,5.2/8.0,05 10 16,+79 10 43,1950,,,,
452,Rigel,0.3,05 12 08,-08 15 28,1950,,,,
453,Capella,0.2,05 12 59,+45 56 37,1950,,,,
454,lambda_Aurigae,4.8,05 15 37,+40 03 24,1950,,,,
455,109_Tauri,5.1,05 16 16,+22 02 47,1950,,,,
456,Lal_9913,"6.2/10.<9""",05 16 17,+20 05 02,1950,,,,
457,21_Orionis,5.4,05 16 34,+02 32 44,1950,,,,
458,A_53,"8.6/12.5<4""",05 16 40,-03 07 35,1950,,,,
459,Ambr_1543,5.5,05 16 43,+41 02 12,1950,,,,
460,Lal_9828,7.3,05 17 54,+59 14 01,1950,,,,
461,16_Camel,5.2,05 19 10,+57 29 54,1950,,,,
462,21_Aurigae,5.2,05 21 15,+37 20 26,1950,,,,
463,111_Tauri,5.1,05 21 30,+17 20 19,1950,,,,
464,29_Orionis,4.2,05 21 32,-07 51 09,1950,,,,
465,27_Orionis,5.2,05 21 56,-00 56 16,1950,,,,
466,eta_Ori,"4.0/5.0<1"".3",05 21 57,-02 26 30,1950,,,,
467,beta_Tauri,1.8,05 23 07,+28 34 01,1950,,,,
468,phi_Aurigae,5.3,05 24 19,+34 26 06,1950,,,,
469,Ross_41,12.5,05 25 16,+09 36 54,1950,,,,
470,Porter_337,6.8,05 26 03,+12 30 52,1950,,,,
471,p.m_572,7.5,05 27 21,+54 37 14,1950,,,,
472,18_Camel,6.5,05 28 16,+57 11 18,1950,,,,
473,-3o1123,8.8,05 28 55,-03 41 06,1950,,,,
474,pi_2_Orionis,4.4,05 29 27,+09 20 04,1950,,,,
475,delta_Orionis,2.5,05 29 27,-00 19 11,1950,,,,
476,chi_Aurigae,4.9,05 29 28,+32 09 25,1950,,,,
477,Ross_42,11.4,05 29 30,+09 47 12,1950,,,,
478,Wachmann_Flare_Star,11.7,05 31 09,+01 54 48,1950,,,,
479,phi_Ori,4.5,05 32 04,09 27 26,1950,,,,
480,19_Camel,6.0,05 32 24,+64 07 30,1950,,,,
481,Sigma_742,"7.2/7.8<4""",05 33 26,+21 57 50,1950,,,,
482,122_Tauri,5.4,05 34 09,+17 00 40,1950,,,,
483,gr_990,7.9,05 34 17,+51 24 55,1950,,,,
484,zeta_Tauri,3.0,05 34 39,+21 06 49,1950,,,,
485,Ambr_1695,6.4,05 37 16,+53 27 47,1950,,,,
486,HR_1925,"6.3/9.8<97""",05 37 16,+53 28 18,1950,,,,
487,126_Tauri,4.9,05 38 24,+16 30 35,1950,,,,
488,Ross_47,11.7,05 39 14,+12 29 18,1950,,,,
489,51_Orionis,5.2,05 39 53,+01 27 08,1950,,,,
490,Zeta_Orionis,1.77,05 40 45.5,-01 56 34,2000,,,,
491,o_Aurigae,5.5,05 42 01,+49 48 24,1950,,,,
492,Ross_47,13.3,05 42 09,+12 29 24,2000,,,,
493,Lal_10797,7.5,05 42 35,+37 16 21,1950,,,,
494,Lal_10940,6.1,05 44 00,+01 09 07,1950,,,,
495,131_Tauri,5.7,05 44 22,+14 28 17,1950,,,,
496,133_Tauri,5.2,05 44 52,+13 52 59,1950,,,,
497,52_Orionis,"5.3/6.5<1"".5",05 45 18,+06 27 17,1950,,,,
498,tau_Aurigae,"4.7/12<40""",05 45 42,+39 09 58,1950,,,,
499,132_Tauri,5.0,05 45 56,+24 33 09,1950,,,,
500,nu_Aurigae,5.0,05 47 37,+37 17 35,1950,,,,
501,nu_Aurigae,4.2,05 48 01,+39 08 09,1950,,,,
502,56_Orionis,5.0,05 49 50,+01 50 40,1950,,,,
503,136_Tauri,4.5,05 50 11,+27 36 08,1950,,,,
504,31_Camel,5.3,05 50 29,+59 52 47,1950,,,,
505,xi_Aurigae,4.9,05 50 39,+55 41 52,1950,,,,
506,G99-37,15.0,05 51 20,+00 12 06,2000,,,,
507,chi_Orionis,4.5,05 51 25,+20 16 06,1950,,,,
508,54_Orionis,4.7,05 51 25,+20 16 07,1950,,,,
509,alpha_Orionis(var),0.9-1.2,05 52 27,+07 23 57,1950,,,,
510,G99-44,15.2,05 52 40,-04 08 48,1950,,,,
511,Lal_11196,6.5,05 53 11,+13 55 30,1950,,,,
512,G102-40,14.7,05 53 47,+05 21 54,1950,,,,
513,eta_Lep,3.8,05 54 07,-14 10 18,1950,,,,
514,Lal_11218,8.0,05 54 09,+15 44 22,1950,,,,
515,delta_Aurigae,3._,05 55 24,+54 17 00,1950,,,,
516,beta_Aurigae,2.1,05 55 51,+44 56 40,1950,,,,
517,pi_Aurigae,4.6,05 56 13,+45 56 04,1950,,,,
518,io_Orionis,5.2,05 56 15,+00 32 59,1950,,,,
519,theta_Aurigae,2.7,05 56 18,+37 12 40,1950,,,,
520,2_Mono.,5.1,05 56 41,-09 33 36,1950,,,,
521,Lal_11382,4.7,05 57 32,-03 04 28,1950,,,,
522,Wolf_261,15.4,05 58 57,+48 33 __,1950,,,,
523,mu_Orionis,4.2,05 59 37,+09 38 56,1950,,,,
524,Lal_11374,6.2,05 59 38,+32 38 24,1950,,,,
525,38_Aurigae,6.2,05 59 41,+42 54 55,1950,,,,
526,1_Gemini,4.3,06 00 01,+23 16 04,1950,,,,
527,1395,9.7,06 00 16,+19 22 12,1950,,,,
528,Lund_3093,6.4,06 01 _,+35 24 _,_,,,,
529,1_Gem,4.3,06 01 04,23 16 00,1950,,,,
530,39_Aurigae,5.9,06 01 27,+42 59 18,1950,,,,
531,Lal_11499,6.7,06 02 07,+14 23 44,1950,,,,
532,40_Aurigae,5.3,06 03 08,+38 29 21,1950,,,,
533,AC_72o3130,10.0,06 04 _,72 12 00,1975,,,,
534,beta_1058,7.2,06 05 _,23 01 _,_,,,,
535,37_Camel,5.4,06 05 34,+58 56 41,1950,,,,
536,36_Camel,5.4,06 07 49,+65 43 53,1950,,,,
537,Ross_79,"10.4/12.4<1""",06 08 09,+10 20 36,1950,,,,
538,Porter_371,8.0,06 09 _,+02 50 _,_,,,,
539,Porter_369,8.0,06 09 18,+06 47 58,1950,,,,
540,G222-11,10.5,06 10 17,+82 06 48,2000,,,,
541,Lal_11803,6.5,06 10 26,+10 38 44,1950,,,,
542,eta_Gemini(var),"8.8<1"".2",06 11 51,+22 31 24,1950,,,,
543,71_Orionis,5.5,06 11 54,+19 10 30,1950,,,,
544,pi_Aurigae,4.5,06 12 11,+29 31 06,1950,,,,
545,55_Mono,4.1,06 12 29,-06 15 28,1950,,,,
546,L_1244-26,12.9,06 12 30,+17 44 _,1950,,,,
547,Lal_11936,5.7,06 13 01,-00 29 30,1950,,,,
548,CGA_7512,6.0,06 13 03,-09 01 05,1950,,,,
549,1_Lyncis,5.3,06 13 18,+61 32 03,1950,,,,
550,22_H.Camel,4.7,06 13 20,+69 20 27,1950,,,,
551,74_Orionis,5.1,06 13 38,+12 17 16,1950,,,,
552,beta_895,7.5,06 14 _,+28 28 _,_,,,,
553,75_Orionis,5.3,06 14 21,+09 57 44,1950,,,,
554,G249-43,14.5,06 14 31,+63 32 00,2000,,,,
555,Paris_7527,6.0,06 14 37,+05 07 02,1950,,,,
556,2_Lyncis,4.4,06 15 12,+59 01 54,1950,,,,
557,Lal_12104,5.2,06 17 29,-02 55 18,1950,,,,
558,45_Aurigae,5.4,06 17 42,+53 28 38,1950,,,,
559,mu_Gemini,3.2,06 19 56,+22 32 27,1950,,,,
560,46_Aurigae,5.1,06 21 02,+49 18 56,1950,,,,
561,8_Monoc,4.5,06 21 07,+09 37 11,1950,,,,
562,R64,15.2,06 21 37,+23 28 00,1950,,,,
563,Lal_12278,5.4,06 21 50,-11 30 06,19,,,,
564,Gr.1149,5.5,06 22 12,+56 18 51,1950,,,,
565,5_Lyncis,5.5,06 22 27,+58 26 49,1950,,,,
566,LTT_2535,13.3,06 22 38,-12 52 06,2000,,,,
567,Lal_12283,5.8,06 24 _,-00 54 _,1970,,,,
568,77_Orionis,5.3,06 24 39,+00 19 50,1950,,,,
569,RT_Aurigae(var),5.0-5.6,06 25 21,+30 31 33,1950,,,,
570,Porter_385,7.1,06 25 24,+36 30 57,1950,,,,
571,nu_Gem,4.1,06 25 59,+20 14 42,1950,,,,
572,6_Lyncis,6.0,06 26 26,+58 12 07,1950,,,,
573,Ross_614,11.6,06 26 51,-02 46 24,1950,,,,
574,Ross_614,11.07,06 29 24,-02 49 00,2000,,,,
575,Ambr_2065,5.1,06 29 00,+11 34 51,1950,,,,
576,Lal_12541,5.3,06 29 _,-12 20 _,_,,,,
577,13_Monoc,4.5,06 30 11,+07 22 16,1950,,,,
578,49_Aurigae,5.0,06 32 03,+28 03 47,1950,,,,
579,W_Gem(var),6.7-7.5,06 32 05,+15 22 16,1950,,,,
580,Rad_1742,6.2,06 33 -3,+73 44 _,_,,,,
581,8_Lyncis,6.0,06 33 07,+61 31 40,1950,,,,
582,O_Sigma_149,6.5,06 33 18,+27 19 19,1950,,,,
583,Lal_12702,5.5,06 34 _,-05 08 _,_,,,,
584,Wolf_287,9.5,06 34 19,+17 36 12,1950,,,,
585,gamma_Gemini,1.9,06 34 49,+16 26 37,1950,,,,
586,50_Aurigae,5.1,06 35 45,+42 32 06,1950,,,,
587,23_H.Camel,5.6,06 37 44,+79 37 26,1950,,,,
588,LP161-12,14.8,06 37.5 _,+47 48 _,1950,,,,
589,55_Aurigae,5.2,06 39 26,+44 34 29,1950,,,,
590,Lal_12907,5.3,06 40 _,-09 06 _,_,,,,
591,26_Gem,5.1,06 40 _,+17 44 _,_,,,,
592,Gr_1214,7.0,06 40 47,+40 40 35,1950,,,,
593,epsilon_Gemini,3.2,06 40 51,+25 10 56,1950,,,,
594,30_Gem,4.6,06 41 10,+13 15 48,1950,,,,
595,Gr_1216,7.8,06 41 50,+44 17 19,1950,,,,
596,+79o-212,6.0,06 37.5 _,+79 36 _,1950,,,,
597,xi_Gemini,3.4,06 42 29,+12 57 04,1950,,,,
598,Sirius,-1.6,06 42 56,-16 38 45,1950,,,,
599,13_Lyncis,5.5,06 43 _,+57 15 _,_,,,,
600,56_Aurigae,5.5,06 43 08,+43 37 45,1950,,,,
601,Sirius_B,_,06 44 _,-16 40 _,_,,,,
602,Sirius_A,-1.46,06 45 09,-17 03 00,2000,,,,
603,Sigma_958,"6.7/6.9<5""",06 44 02,+55 45 40,1950,,,,
604,He_3,11.7,06 44 15,+37 34 54,1950,,,,
605,17_Monoc,5.0,06 44 36,+08 05 34,1950,,,,
606,57_Aurigae,5.3,06 45 _,+48 50 _,_,,,,
607,Lal_13100,5.3,06 45 13,-08 56 32,1950,,,,
608,18_Monoc.,4.7,06 45 15,+02 28 06,1950,,,,
609,18_Monoc,4.7,06 46 _,+02 29 _,1950,,,,
610,58_Aurigae,5.2,06 47 13,+41 50 32,1950,,,,
611,36_Gem,5.2,06 48 16,+20 28 42,1950,,,,
612,L_1815-5,13.3,06 49 24,+60 58 00,1950,,,,
613,theta_Gemini,3.6,06 49 29,+34 01 24,1950,,,,
614,60_Aurigae,6.5,06 49 47,+38 30 08,1950,,,,
615,Lal_13284,6.8,06 49 52,-05 06 42,1950,,,,
616,47o1355,8.9,06 50 _,+47 24 00,1975,,,,
617,Wolf_294,10.5,06 51 35,33 20 18,1950,,,,
618,38_Gem,4.8,06 51 49,+13 14 34,1950,,,,
619,theta_Canis_Major,4.2,06 51 51,-11 58 28,1950,,,,
620,Paris_5347,5.3,06 52 _,-01 01 _,_,,,,
621,Sigma_981,"8.0/8.0<3""",06 52 16,30 13 48,1950,,,,
622,15_Lyncis,4.5,06 52 57,+58 29 26,1950,,,,
623,Maan_137,8.3,06 52 59,+40 08 45,1950,,,,
624,Br_1006,4.8,06 53 58,+45 09 40,1950,,,,
625,Maan_139,7.7,06 53 59,+01 14 12,1950,,,,
626,24_H_Camel,4.8,06 54 _,+77 0 00,_,,,,
627,Ru_2024,8.3,06 52 59,+40 08 45,1950,,,,
628,39_Gem,6.1,06 55 42,+26 08 54,1950,,,,
629,Lal_13427,8.2,06 57 49,+48 27 22,1950,,,,
630,42_Gem,5.2,06 59 22,+24 17 18,1950,,,,
631,Ambr_2295,5.4,06 59 29,-05 38 57,1950,,,,
632,Cambr_3695,6.2,07 00 19,+29 25 22,1950,,,,
633,Lal_13648,5.2,07 00 51,+11 01 35,1950,,,,
634,zeta_Gemini(var),3.7-4.3,07 01 08,+20 38 43,1950,,,,
635,27o1311,10.6,07 02 38,+27 32 42,1950,,,,
636,Porter_410,"8.0/8.0<180""",07 05 09,+15 36 40,1950,,,,
,,,,,,,,,
638,Porter_412,7.0,07 06 31,+25 48 45,1950,,,,
639,Ross_986,12.0,07 06 39,+38 37 30,1950,,,,
640,Porter_413,6.5,07 07 08,+21 20 08,1950,,,,
641,20_Monoc,5.0,07 07 44,-04 09 27,1950,,,,
642,tau_Gemini,4.5,07 07 57,+30 19 44,1950,,,,
643,63_Aurigae,5.1,07 08 13,+39 24 14,1950,,,,
644,21_Monoc.,5.4,07 08 50,-00 13 04,1950,,,,
645,22_Monoc,4.1,07 09 18,-00 24 30,1950,,,,
646,Sigma_1037,6.4,07 09 42,+27 18 40,1950,,,,
647,Ross_986,11.47,07 10 02,+38 31 48,2000,,,,
648,51_Gem,5.3,07 10 30,+16 14 43,1950,,,,
649,Porter_416,8.4,07 10 51,+25 05 56,1950,,,,
650,18_Lyncis,5.3,07 11 33,+59 43 44,1950,,,,
651,Ambr_2364,5.0,07 12 07,+47 19 51,1950,,,,
652,GD_294,12.0,07 13 20,+58 29 48,1950,,,,
653,Lal_14028,4.8,07 14 44,+49 33 21,1950,,,,
654,lambda_Gemini,3.6,07 15 13,+16 37 55,1950,,,,
655,delta_Gemini,3.5,07 17 08,+22 04 34,1950,,,,
656,R_C_Maj(var),5.4-6.0,07 17 12,-16 18 00,1950,,,,
657,Sigma_1065,"6.6/6.8<15""",07 18 24,+50 14 37,1950,,,,
658,65_Aurigae,5.2,97 18 42,+36 51 23,1950,,,,
659,Sigma_1062,5.3,07 18 46,+55 22 51,1950,,,,
660,56_Gemini,5.2,07 18 59,+20 32 22,1950,,,,
661,57_Gem,5.1,07 20 25,+25 08 54,1950,,,,
662,Sigma_1051,"7.0/7.8<31""",07 20 35,+73 10 54,1950,,,,
663,66_Aurigae,5.3,07 20 40,+40 46 14,1950,,,,
664,25_H.Camel,5.1,07 20 41,+82 30 50,1950,,,,
665,1_Canis_Minor,5.3,07 22 12,+11 46 08,1950,,,,
666,iota_Gemin,3.9,07 22 37,+27 53 57,1950,,,,
667,epsilon_Canis_Minor,5.1,07 22 54,+9 22 34,1950,,,,
668,21_Lyncis,4.4,07 22 56,+49 18 46,1950,,,,
669,Porter_423,6.5,07 23 53,+21 38 14,1950,,,,
670,beta_Canis_Minor,3.1,07 24 26,+08 23 29,1950,,,,
671,+5o1668,11.5,07 24 43,05 22 42,1950,,,,
672,63_Gem,5.3,07 24 46,+21 32 56,1950,,,,
673,beta_758,5.6/10.5<1'.0,07 25 08,+48 17 15,1950,,,,
674,eta_Canis_Minor,5.3,07 25 20,+07 02 43,1950,,,,
675,gamma_Canis_Minor,4.6,07 25 26,+09 01 42,1950,,,,
676,L817-67,14.5,07 25 51,-12 57 54,1950,,,,
677,rho_Gemini,4.2,07 25 53,+31 53 08,1950,,,,
678,22_Lyncis,5.4,07 26 08,+49 46 40,1950,,,,
679,64_Gem,5.0,07 26 13,+28 13 22,1950,,,,
680,Sigma_1093,7.5,07 26 28,+50 05 01,1950,,,,
681,65_Gemini,5.1,07 26 42,+28 01 15,1950,,,,
682,6_Canis_Minor,4.8,07 27 00,+12 06 41,1950,,,,
683,BD_+5o1668,9.82,07 27 24,+05 13 30,2000,,,,
684,G_87-38,14.8,07 28 19,+37 56 36,2000,,,,
685,U_Monoc(var),6.7-7.5,07 28 24,-09 40 15,1950,,,,
686,Ross_989,12.2,07 28 39,+36 20 24,1950,,,,
687,36o1638,"10.8/12.2<38"".6",07 28 40,36 18 48,1950,,,,
688,7_Canis_Minor,5.3,07 29 30,+02 01 18,1950,,,,
689,Lal_14706,"6.0/9.0<24""",07 30 _,-08 46 _,_,,,,
690,68_Gemini,5.1,07 30 45,+15 56 08,1950,,,,
691,Castor,"2.0/2.8<4"".4",07 31 24,+31 59 58,1950,,,,
692,nu_Gemini,4.2,07 32 50,+27 00 31,1950,,,,
693,25_Monoc.,5.2,07 34 47,-03 59 52,1950,,,,
694,G88-42,14.9,07 35 54,+19 12 06,2000,,,,
695,71_Gemini,5.1,07 35 54,+34 42 03,1950,,,,
696,74_Gemini,5.2,07 36 35,+17 47 24,1950,,,,
697,Procyon,0.5,07 36 41,+05 21 16,1950,,,,
698,Ambr_2547,5.8,07 37 31,+48 15 00,1950,,,,
699,L745-46,13.1,07 38 02,-17 17 24,1950,,,,
700,24_Lyncis,5.0,07 38 47,+58 49 46,1950,,,,
701,26_Monoc,4.1,07 38 51,-09 25 59,1950,,,,
702,sigma_Gemini,4.3,07 40 11,+29 00 22,1950,,,,
703,Br_1104,5.3,07 40 17,+50 33 14,1950,,,,
704,76_Gem,5.4,07 41 04,+25 54 17,1950,,,,
705,GD_87,13.0,07 41 17,+42 52 42,2000,,,,
706,kappa_Gemini,"3.7/8.5<6"".8",07 41 25,+24 31 10,1950,,,,
707,Ross_882,11.4,07 42 04,+03 40 48,1950,,,,
708,Pollux,1.2,07 42 15,+28 08 55,1950,,,,
709,81_Gemini,5.0,07 43 13,+18 38 00,1950,,,,
710,Lal_15046,5.4,07 43 19,+37 38 24,1950,,,,
711,11_Canis_Minor,5.3,07 43 31,+10 53 29,1950,,,,
712,pi_Gemini,5.3,07 44 18,+33 32 24,1950,,,,
713,Wolf_1421,11.4,07 45 16,+20 30 12,1950,,,,
714,Pi_132,6.5,07 48 07,+80 23 43,1950,,,,
715,13_Canis_Minor,5.1,07 49 06,+01 53 45,1950,,,,
716,9_Puppis,5.3,07 49 27,-13 45 51,1950,,,,
717,Lal_15290,8.2,07 50 21,+30 45 39,1950,,,,
718,Porter_444,7.7,07 51 34,+34 45 15,1950,,,,
719,Porter_447,8.0,07 51 59,+19 22 29,1950,,,,
720,Porter_446,8.5,07 52 23,+50 40 34,1950,,,,
721,85_Gemini,5.4,07 52 44,+20 01 03,1950,,,,
722,O_Sigma_185,6.4,07 54 41,+01 15 42,1950,,,,
723,14_Canis_Minor,"5.5/7.8<76""",07 55 46,+02 21 34,1950,,,,
724,Porter_450,8.0,07 56 37,+20 59 20,1950,,,,
725,Grb_1368,5.3,07 57 00,+79 37 13,1950,,,,
726,27_Mono,5.1,07 57 14,-03 32 30,1950,,,,
727,1890,10.5,07 57 23,+29 09 00,1950,,,,
728,+14o1802,10.3,07 57 24,+13 57 24,1950,,,,
729,Lal_15565,7.5,07 57 27,+29 22 00,1950,,,,
730,28_Monoc,4.9,07 58 40,-01 15 08,1950,,,,
731,13_Canis_Minor,4.5,07 59 06,+01 53 45,1950,,,,
732,Sigma_1175,"7.8/9.7<1"".5",07 59 48,+04 17 37,1950,,,,
733,Ambr_2716,5.0,08 00 27,+27 56 10,1950,,,,
734,Fed_1217,8.0,08 00 46,+68 31 38,1950,,,,
735,beta_581,7.3,08 01 36,+12 26 01,1950,,,,
736,Fed_1221,8.0,08 02 44,+72 04 32,1950,,,,
737,75o325,9.1,08 04 43,+75 06 48,1950,,,,
738,10_Cancri,5.4,08 04 49,+21 43 42,1950,,,,
739,29_Monoc.,4.4,08 06 04,-02 50 12,1950,,,,
740,Lal_15882,6.6,08 06 56,+35 36 23,1950,,,,
741,14_Cancri,6.0,08 07 26,+25 39 38,1950,,,,
742,55_Camelopardi,5.5,08 07 51,+68 37 25,1950,,,,
743,18_Puppis,5.6,08 08 21,-13 39 03,1950,,,,
744,Porter_457,7.0,08 08 30,+32 36 56,1950,,,,
745,19_Puppis,4.7,08 08 55,-12 46 38,1950,,,,
746,Ross_619,12.5,08 09 11,+08 59 36,1950,,,,
747,zeta_Cancri,"5.6/6.0<0"".7",08 09 20,+17 48 00,1950,,,,
748,LPM_283,9.7,08 10 45,-13 44 48,1950,,,,
749,Porter_460,7.8,08 12 08,+57 15 02,1950,,,,
750,beta_Cancri,3.8,08 13 48,+09 20 27,1950,,,,
751,Fed_1265(6),8.6/8.6<5',08 15 _,+73 30 _,_,,,,
752,Porter_462,8.5,08 15 05,+30 46 07,1950,,,,
753,Lal_16304,6.0,08 16 01,-12 27 41,1950,,,,
754,18_Cancri,5.3,08 16 29,+57 59 03,1950,,,,
755,G111-72,14.7,08 16 47,+38 44 12,1950,,,,
756,8_Cancri,5.1,08 17 47,+13 15 43,1950,,,,
757,31_Lyncis,4.4,08 19 25,+43 21 00,1950,,,,
758,GD_90,15.5,08 19 47,+37 31 24,2000,,,,
759,AO_8869,8.9,08 21 02,+66 37 55,1950,,,,
760,Porter_467,6.8,08 22 00,-00 59 00,1950,,,,
761,1_Hydrae,5.7,08 22 05,-03 35 16,1950,,,,
762,25_Cancri,6.4,08 23 00,+17 12 44,1950,,,,
763,30_Monoc,4.0,08 23 09,-03 44 31,1950,,,,
764,Lal_16530,5.2,08 23 13,+07 43 43,1950,,,,
765,2_Hydrae,5.4,08 23 57,-03 49 18,1950,,,,
766,Gr_1437,6.5,08 24 08,+45 49 23,1950,,,,
767,omicron_Ursa_Major,3.5,08 26 07,+60 53 14,1950,,,,
768,Porter_472,7.5,08 28 16,+50 47 28,1950,,,,
769,Grb_1450,6.0,08 29 40,+38 11 22,1950,,,,
770,G51-15,15.8,08 29 48,+26 46 30,2000,,,,
771,eta_Cancri,5.5,08 29 49,+20 36 44,1950,,,,
772,2_Ursa_Major,5.4,08 30 08,+65 19 03,1950,,,,
773,32_Lyncis,6.1,08 30 09,+36 36 26,1950,,,,
774,67o552,9.2,08 31 52,+67 38 06,1950,,,,
775,Sigma_1245,"6.0/7.2<10""",08 33 11,06 47 44,1950,,,,
776,3_Ursa_Major,5.7,08 34 54,+65 11 44,1950,,,,
777,4_Hyrdrae,4.2,08 35 00,+05 52 45,1950,,,,
778,Porter_475,7.5,08 35 10,+26 13 38,1950,,,,
779,4_Ursa_Major,4.8,08 35 57,+64 30 16,1950,,,,
780,sigma_Hydrae,4.5,08 36 08,+03 31 05,1950,,,,
781,Porter_477,8.1,08 36 54,+55 51 02,1950,,,,
782,Porter_479,"7.0/8.0<26""",08 37 04,+05 56 44,1950,,,,
783,Sigma_1255,"7.8/8.8<27""",08 37 04,+05 56 44,1950,,,,
784,Porter_478,7.9,08 37 07,+11 42 25,1950,,,,
785,34_Lyncis,5.5,08 37 34,+46 00 39,1950,,,,
786,6_Hydrae,5.2,08 37 39,-12 17 51,1950,,,,
787,Lal_17081,7.4,08 39 22,+34 22 17,1950,,,,
788,+10o1857,"9.5/13.0<2""",08 40 02,+09 44 36,1950,,,,
789,gamma_Cancri,4.7,08 40 27,+21 38 58,1950,,,,
790,Br_1238,4.7,08 41 13,-07 03 09,1950,,,,
791,delta_Cancri,4.2,08 41 50,+18 20 21,1950,,,,
792,Porter_484,8.2,08 41 52,+41 57 47,1950,,,,
793,27_Lyncis,4.9,08 42 33,+51 39 09,1950,,,,
794,iota_Cancri,4.2,08 43 40,+28 56 39,1950,,,,
795,epsilon_Hydrae,3.5,08 44 08,+06 36 12,1950,,,,
,,,,,,,,,
797,LDS_235A,12,08 45 18,-18 48 00,1950,,,,
798,LDS_235B,12,08 45 18,-18 48 00,1950,,,,
799,13_Hydrae,4.4,08 45 47,+06 01 25,1950,,,,
800,35_Lyncis,5.2,08 48 35,+43 54 51,1950,,,,
801,Lal_17480,6.5,08 49 35,+08 15 18,1950,,,,
802,55_Cancri,6.2,08 49 37,+28 31 23,1950,,,,
803,Porter_490,8.4,08 50 19,+09 22 42,1950,,,,
804,Fed_1384,"8.5/8.6<3""",08 50 40,+70 59 24,1950,,,,
805,57_Cancri,"5.9/6.5<1"".5",08 51 11,+30 46 12,1950,,,,
806,Porter_493,7.6,08 51 25,+22 24 17,1950,,,,
807,LPM_299,11.5,08 51 36,-12 57 00,1950,,,,
808,WB_1219,6.0,08 51 51,-05 14 38,1950,,,,
809,A2131,"6.7/8.0<0"".3",08 51 58,+26 23 42,1950,,,,
810,+2o2098,9.9,08 52 32,+01 44 54,1950,,,,
811,58_Cancri,5.5,08 52 40,+28 07 10,1950,,,,
812,zeta_Hydrae,3.3,08 52 45,+06 08 13,1950,,,,
813,59_Cancri,5.5,08 53 51,+33 06 14,1950,,,,
814,alpha_Cancri,4.3,08 55 45,+12 03 08,1950,,,,
815,iota_Ursa_Major,3.1,08 55 48,+48 14 22,1950,,,,
816,10_Ursa_Major,4.1,08 57 24,+41 58 55,1950,,,,
817,8_Ursa_Major,5.0,08 58 03,+67 49 35,1950,,,,
818,Ross_686-7,12.1,08 58 11,+05 26 36,1950,,,,
819,69_Cancri,5.4,08 59 49,+24 39 03,1950,,,,
820,kappa_Ursa_Major,3.7,09 00 13,+47 21 21,1950,,,,
821,Sigma_1284,7.8,09 00 28,+81 14 30,1950,,,,
822,Lal_17890,4.7,09 02 21,+38 39 12,1950,,,,
