Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
97,18_Cass,_,00 50 04,60 51 01,1950,,,,
98,Br_90,4.9,00 50 04,+60 51 01,1950,,,,
99,Porter_77,7.2,00 50 51,+43 05 39,1950,,,,
100,20_Ceti,4.9,00 51 _,-1 30 _,_,,,,
101,HI_5223,8.8,00 51 53,+23 48 _,1950,,,,
102,36_Andromedae,_,00 52 _,23 21 _,2000,,,,
103,26_Cass,5.0,00 52 01,+58 42 09,1950,,,,
104,36_And,6.2,00 52 17,+23 21 28,1950,,,,
105,L796-10,15.1,00 53 18,-11 45 00,1950,,,,
106,28_Cass,4.8,00 53 40,+58 54 41,1950,,,,
107,28_Cass,4.8,00 52 _,+58 43 _,_,,,,
108,gamma_Cass,2.5,00 53 40,+60 27 _,1950,,,,
109,mu_Andr,3.9,00 53 58,+38 13 43,1950,,,,
110,22_Ceti,5.5,00 5.4 _,-11 32 _,_,,,,
111,eta_Andr,4.6,00 54 32,+23 09 _,1950,,,,
112,G243-47,9.7,00 53 45,+6 46.5 _,1950,,,,
113,A818,7.8,00 56 49,+00 31 _,1950,,,,
114,Porter_80,7.0,00 56 50,+32 13 _,1950,,,,
115,Lal_1677,7.0,00 56 50,+32 13 _,1950,,,,
116,+70^o_68b,9.9,00 58 53,+71 25 _,1950,,,,
117,61^o_195,9.5,00 59 28,+62 04 30,1950,,,,
118,LPM53,10.7,01 00 _,-10 06 _,1950,,,,
119,epsilon_Piscium,4.4,01 00 _,+07 37 _,1950,,,,
120,Omicron_Sigma_21,6.9,01 00 08,+47 06 58,1950,,,,
121,epsilon_Pisc.,4.4,01 00 21,+07 37 17,1950,,,,
122,G_2-17,14.4,01 01 14,+04 48 _,_,,,,
,mu_Cass,"5.3,5.12","01,01 04,08 56,17","54,54 40,55 33,18","1950,2000",,,,
124,41_Andr.,5.2,01 05 08,+43 40 35,1950,,,,
125,31_Ceti,3.6,01 06 04,-10 26 49,1950,,,,
126,beta_Andr.,2.4,01 06 55,+35 21 22,1950,,,,
127,31_Cass,5.3,01 07 15,+68 30 48,1950,,,,
128,theta_Cass,4.5,01 08 03,+54 53 04,1950,,,,
129,AO_25734,7.4,01 08 21,+37 27 31,1950,,,,
130,45_Andr.,5.75,01 08 21,+37 27 31,1950,,,,
131,chi_Piscium,4.9,01 08 46,+20 46 09,1950,,,,
132,tau_Piscium,4.7,01 08 54,+29 49 29,1950,,,,
133,82_Pisc.,5.0,01 09 _,+31 05 _,_,,,,
134,Sigma_96,7.8,01 09 24,+64 44 39,1950,,,,
135,phi_Piscium,4.6,01 11 02,+24 19 09,1950,,,,
136,xi_Pisc.,5.6,01 11 06,+07 18 41,1950,,,,
137,zeta_Piscium,5.6,01 11 07,+07 18 41,1950,,,,
138,delta_Leonis,_,0_ _ _,_ _ _,_,,,,
139,theta_Leonis,_,0_ _ _,_ _ _,_,,,,
140,L_725-32,11.6,01 11 32,-16 59 36,2000,,,,
